typePeriode;source_indicatorName;source_indicatorId;source_dataElementName;source_dataElementId;source_categorieComboName;source_categorieComboId;source_categorieComboOptionName;source_categorieComboOptionId;source_dimensionName;source_dimensionId;source_orgUnitName;source_orgUnitId;source_orgUnitGroupName;source_orgUnitGroupId;source_orgUnitOfProgramName;source_orgUnitOfProgramId;source_orgUnitOfDataSetName;source_orgUnitOfDataSetId;destination_dataElementName;destination_dataElementId;destination_categorieComboName;destination_categorieComboId;destination_categorieComboOptionName;destination_categorieComboOptionId;destination_orgUnitName;destination_orgUnitId;destination_orgUnitGroupName;destination_orgUnitGroupId;destination_orgUnitOfProgramName;destination_orgUnitOfProgramId;destination_orgUnitOfDataSetName;destination_orgUnitOfDataSetId
ANNUELLE;EFFECTIF DISPONIBLE ASSOG;S3KfbguckOA;;;;;;;;;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;gratuite_ effectif disponible assog;WYT1v20jqWM;;;;;;;;;;;;
ANNUELLE;EFFECTIF DISPONIBLE ATTACHE EN ANESTHESIE;yHATi1fMkGj;;;;;;;;;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;gratuite_ effectif disponible attache en anesthesie;osgsDXdGwmv;;;;;;;;;;;;
ANNUELLE;EFFECTIF DISPONIBLE ATTACHE EN CHIRURGIE;mxoJNJGikU3;;;;;;;;;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;gratuite_ effectif disponible attache en chirurgie;vd8wcKeR6Xp;;;;;;;;;;;;
ANNUELLE;EFFECTIF DISPONIBLE ATTACHE EN PEDIATRIE;Fgiw9Ya5XIC;;;;;;;;;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;gratuite_ effectif disponible attache en pediatrie;vrPMta5Y64s;;;;;;;;;;;;
ANNUELLE;EFFECTIF DISPONIBLE IDE+IB;fFH8ygImFyd;;;;;;;;;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;gratuite_ effectif disponible ide+ib;X4V5SczTIEg;;;;;;;;;;;;
ANNUELLE;EFFECTIF DISPONIBLE MEDECIN GENERALISTE;TFwp2IhelvC;;;;;;;;;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;gratuite_ effectif disponible medecin generaliste;rHoMT7cY4WU;;;;;;;;;;;;
ANNUELLE;EFFECTIF DISPONIBLE MEDECIN GYNECO;mZbE0vInWxG;;;;;;;;;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;gratuite_ effectif disponible medecin gyneco;ifBQoiHzhjo;;;;;;;;;;;;
ANNUELLE;EFFECTIF DISPONIBLE MEDECIN PEDIATRE;N9dDCAbi4Fn;;;;;;;;;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;gratuite_ effectif disponible medecin pediatre;yWlWWmuomG4;;;;;;;;;;;;
ANNUELLE;EFFECTIF DISPONIBLE SFE+AA+AB;BAHHl9gWQeJ;;;;;;;;;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;gratuite_ effectif disponible sfe+aa+ab;us2rAmAHMJX;;;;;;;;;;;;
ANNUELLE;EFFECTIF DISPONIBLE TBM;nPqFmSmNrew;;;;;;;;;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;gratuite_ effectif disponible tbm;h9HvesJsZVP;;;;;;;;;;;;
ANNUELLE;WISN ZONE RURALE EFFECTIF REQUIS ASSOG CMA;epsKE3CDcUz;;;;;;;;;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;gratuite_ wisn zone rurale effectif requis assog cma;cFWZAr0Mo5o;;;;;;;;;;;;
ANNUELLE;WISN ZONE RURALE EFFECTIF REQUIS ATTACHE SANTE ANESTHESIE CMA;cTvOZAMe6A6;;;;;;;;;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;gratuite_ wisn zone rurale effectif requis attache sante anesthesie cma;HRhFCZzhR3c;;;;;;;;;;;;
ANNUELLE;WISN ZONE RURALE EFFECTIF REQUIS ATTACHE SANTE CHIRURGIE CMA;dffzqUBbuio;;;;;;;;;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;gratuite_ wisn zone rurale effectif requis attache sante chirurgie cma;rKoIP3xbP1g;;;;;;;;;;;;
ANNUELLE;WISN ZONE RURALE EFFECTIF REQUIS ATTACHE SANTE PEDIATRIE CMA;WAyQvoZ7EUF;;;;;;;;;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;gratuite_ wisn zone rurale effectif requis attache sante pediatrie cma;FQQhU3WYQmS;;;;;;;;;;;;
ANNUELLE;WISN ZONE RURALE EFFECTIF REQUIS IDE CM;eOpxo1oEzIn;;;;;;;;;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;gratuite_ wisn zone rurale effectif requis ide cm;IbsTp5YVpiL;;;;;;;;;;;;
ANNUELLE;WISN ZONE RURALE EFFECTIF REQUIS IDE CMA;mKqa07XdqsF;;;;;;;;;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;gratuite_ wisn zone rurale effectif requis ide cma;LmYUDzTMml8;;;;;;;;;;;;
ANNUELLE;WISN ZONE RURALE EFFECTIF REQUIS IDE CSPS;hqWm6twOFEZ;;;;;;;;;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;gratuite_ wisn zone rurale effectif requis ide csps;Q0hwHSQFcHW;;;;;;;;;;;;
ANNUELLE;WISN ZONE RURALE EFFECTIF REQUIS MEDECIN GENERALISTE CM;fmf8YCXugFe;;;;;;;;;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;gratuite_ wisn zone rurale effectif requis medecin generaliste cm;TRlTgRU8K0X;;;;;;;;;;;;
ANNUELLE;WISN ZONE RURALE EFFECTIF REQUIS MEDECIN GENERALISTE CMA;n9yGSnwez1b;;;;;;;;;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;gratuite_ wisn zone rurale effectif requis medecin generaliste cma;PBwGbKklgT0;;;;;;;;;;;;
ANNUELLE;WISN ZONE RURALE EFFECTIF REQUIS MEDECIN GYNECOLOGUE CMA;Z3oURns04uI;;;;;;;;;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;gratuite_ wisn zone rurale effectif requis medecin gynecologue cma;XQZspNiwQGA;;;;;;;;;;;;
ANNUELLE;WISN ZONE RURALE EFFECTIF REQUIS MEDECIN PEDIATRE CMA;itnzFx7DwCL;;;;;;;;;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;gratuite_ wisn zone rurale effectif requis medecin pediatre cma;hVcVRoFAsGR;;;;;;;;;;;;
ANNUELLE;WISN ZONE RURALE EFFECTIF REQUIS SFE/ME CM;P027lIHnHJd;;;;;;;;;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;gratuite_ wisn zone rurale effectif requis sfe/me cm;nQ8w5DU4Hwq;;;;;;;;;;;;
ANNUELLE;WISN ZONE RURALE EFFECTIF REQUIS SFE/ME CMA;czPXy65xhyT;;;;;;;;;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;gratuite_ wisn zone rurale effectif requis sfe/me cma;ljURpMurXiW;;;;;;;;;;;;
ANNUELLE;WISN ZONE RURALE EFFECTIF REQUIS SFE/ME CSPS;OaVc7Mi3kRw;;;;;;;;;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;gratuite_ wisn zone rurale effectif requis sfe/me csps;xSO7EKBxvpy;;;;;;;;;;;;
ANNUELLE;WISN ZONE RURALE EFFECTIF REQUIS TBM CM;B9EUcHYgrzE;;;;;;;;;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;gratuite_ wisn zone rurale effectif requis tbm cm;Lsjdoj3u4gk;;;;;;;;;;;;
ANNUELLE;WISN ZONE RURALE EFFECTIF REQUIS TBM CMA;MaeRls2eCae;;;;;;;;;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;gratuite_ wisn zone rurale effectif requis tbm cma;YSv0EVJzvX0;;;;;;;;;;;;
ANNUELLE;WISN ZONE RURALE RATIO ASSOG CMA;uUmBlfJyT6W;;;;;;;;;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;gratuite_ wisn zone rurale ratio assog cma;i7Izx2wxb59;;;;;;;;;;;;
ANNUELLE;WISN ZONE RURALE RATIO ATTACHE SANTE ANESTHESIE CMA;sqUfIHs4cSb;;;;;;;;;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;gratuite_ wisn zone rurale ratio attache sante anesthesie cma;BO1ImM83b84;;;;;;;;;;;;
ANNUELLE;WISN ZONE RURALE RATIO ATTACHE SANTE CHIRURGIE CMA;Y6ktWiUWcpH;;;;;;;;;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;gratuite_ wisn zone rurale ratio attache sante chirurgie cma;fIY7DN3NhRG;;;;;;;;;;;;
ANNUELLE;WISN ZONE RURALE RATIO ATTACHE SANTE PEDIATRIE CMA;kqYxDZi5xl0;;;;;;;;;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;gratuite_ wisn zone rurale ratio attache sante pediatrie cma;LCP4arK4gRt;;;;;;;;;;;;
ANNUELLE;WISN ZONE RURALE RATIO IDE CM;rChRmZcTiZJ;;;;;;;;;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;gratuite_ wisn zone rurale ratio ide cm;TfJxnKZwPJ4;;;;;;;;;;;;
ANNUELLE;WISN ZONE RURALE RATIO IDE CMA;eI5klobDOi8;;;;;;;;;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;gratuite_ wisn zone rurale ratio ide cma;xB5KSZYBDuW;;;;;;;;;;;;
ANNUELLE;WISN ZONE RURALE RATIO IDE CSPS;nnuj0vGvw1V;;;;;;;;;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;gratuite_ wisn zone rurale ratio ide csps;es2zwWK73C2;;;;;;;;;;;;
ANNUELLE;WISN ZONE RURALE RATIO MEDECIN GENERALISTE CM;KsHZH51gUj6;;;;;;;;;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;gratuite_ wisn zone rurale ratio medecin generaliste cm;BhH2HSxh9Dz;;;;;;;;;;;;
ANNUELLE;WISN ZONE RURALE RATIO MEDECIN GENERALISTE CMA;Hv78N5nUTS5;;;;;;;;;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;gratuite_ wisn zone rurale ratio medecin generaliste cma;KFYxyvULpBJ;;;;;;;;;;;;
ANNUELLE;WISN ZONE RURALE RATIO MEDECIN GYNECOLOGUE CMA;AkblY0LOAVF;;;;;;;;;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;gratuite_ wisn zone rurale ratio medecin gynecologue cma;rGG9TAE4lfJ;;;;;;;;;;;;
