ordreExecution;description;typePeriode;source_name;source_indicatorName;source_indicatorId;source_dataElementName;source_dataElementId;source_categorieComboName;source_categorieComboId;source_categorieComboOptionName;source_categorieComboOptionId;source_specifique;source_orgUnitName;source_orgUnitId;source_orgUnitGroupName;source_orgUnitGroupId;source_orgUnitOfProgramName;source_orgUnitOfProgramId;source_orgUnitOfDataSetName;source_orgUnitOfDataSetId;destination_name;destination_dataElementName;destination_dataElementId;destination_categorieComboName;destination_categorieComboId;destination_categorieComboOptionName;destination_categorieComboOptionId;destination_orgUnitName;destination_orgUnitId;destination_orgUnitGroupName;destination_orgUnitGroupId;destination_orgUnitOfProgramName;destination_orgUnitOfProgramId;destination_orgUnitOfDataSetName;destination_orgUnitOfDataSetId
1;ENDOS_edm;MENSUELLE;ENDOS_BF;CE-Proportion d’enfants PEC selon l’approche PCIME;A7nw0yIxsrh;;;;;;;;;;;;;;CSPS 01 Santé maternelle et infantile - AELB;bJWWNnhNhBr;EDM;endos_CE-Proportion d’enfants PEC selon l’approche PCIME;jDr3MHHHhBX;;;;;;;;;;;;
1;ENDOS_edm;MENSUELLE;ENDOS_BF;Nombre de enfants pris en charge selon approche PCIME;OzHsKkABkDe;;;;;;;;;;;;;;CSPS 01 Santé maternelle et infantile - AELB;bJWWNnhNhBr;EDM;endos_Nombre de enfants pris en charge selon approche PCIME;nqZRQbIzzv3;;;;;;;;;;;;
1;ENDOS_edm;MENSUELLE;ENDOS_BF;CE-Nouveaux consultants moins de cinq ans;yFjBW0chlWG;;;;;;;;;;;;;;CSPS 01 Santé maternelle et infantile - AELB;bJWWNnhNhBr;EDM;endos_CE-Nouveaux consultants moins de cinq ans;U6qMxvIxIua;;;;;;;;;;;;
1;ENDOS_edm;MENSUELLE;ENDOS_BF;Nouveaux consultants-Auto orientes < 5ans;gV7xlQiecX1.Vs325b9gx8H;;;;;;;;;;;;;;CSPS 01 Santé maternelle et infantile - AELB;bJWWNnhNhBr;EDM;endos_Nouveaux consultants-Auto orientes < 5ans;mqvmHh4CBLv;;;;;;;;;;;;
1;ENDOS_edm;MENSUELLE;ENDOS_BF;Nouveaux consultants-Auto orientes;gV7xlQiecX1;;;;;;;;;;;;;;CSPS 01 Santé maternelle et infantile - AELB;bJWWNnhNhBr;EDM;endos_Nouveaux consultants-Auto orientes;TZAQ4ffwLQa;;;;;;;;;;;;
1;ENDOS_edm;MENSUELLE;ENDOS_BF;PF-Utilisatrices des methodes contraceptives;rNU2thylDAf;;;;;;;;;;;;;;CSPS 01 Santé maternelle et infantile - AELB;bJWWNnhNhBr;EDM;endos_PF-Utilisatrices des methodes contraceptives;pfDsMx41rUD;;;;;;;;;;;;
1;ENDOS_edm;MENSUELLE;ENDOS_BF;GEN - Femme en age de procréer;z5RZXtOLz15;;;;;;;;;;;;;;CSPS 01 Santé maternelle et infantile - AELB;bJWWNnhNhBr;EDM;endos_GEN - Femme en age de procréer;Z9ngI8tVbUn;;;;;;;;;;;;
1;ENDOS_edm;MENSUELLE;ENDOS_BF;Nombre de CPN4;XZVXhX92Ln3;;;;;;;;;;;;;;CSPS 01 Santé maternelle et infantile - AELB;bJWWNnhNhBr;EDM;endos_Nombre de CPN4;npPd22Kfc4l;;;;;;;;;;;;
1;ENDOS_edm;MENSUELLE;ENDOS_BF;Grossesses attendues;Kd2LVT61jZH;;;;;;;;;;;;;;CSPS 01 Santé maternelle et infantile - AELB;bJWWNnhNhBr;EDM;endos_Grossesses attendues;dGwbQE0wzcj;;;;;;;;;;;;
1;ENDOS_edm;MENSUELLE;ENDOS_BF;SMI-Accouchement total;M7VlZFIleHC;;;;;;;;;;;;;;CSPS 01 Santé maternelle et infantile - AELB;bJWWNnhNhBr;EDM;endos_SMI-Accouchement total;poGFwSyfCbf;;;;;;;;;;;;
