typePeriode;source_indicatorName;source_indicatorId;source_dataElementName;source_dataElementId;source_categorieComboName;source_categorieComboId;source_categorieComboOptionName;source_categorieComboOptionId;source_dimensionName;source_dimensionId;source_orgUnitName;source_orgUnitId;source_orgUnitGroupName;source_orgUnitGroupId;source_orgUnitOfProgramName;source_orgUnitOfProgramId;source_orgUnitOfDataSetName;source_orgUnitOfDataSetId;destination_dataElementName;destination_dataElementId;destination_categorieComboName;destination_categorieComboId;destination_categorieComboOptionName;destination_categorieComboOptionId;destination_orgUnitName;destination_orgUnitId;destination_orgUnitGroupName;destination_orgUnitGroupId;destination_orgUnitOfProgramName;destination_orgUnitOfProgramId;destination_orgUnitOfDataSetName;destination_orgUnitOfDataSetId
MENSUELLE;CE-Proportion d’enfants PEC selon l’approche PCIME;A7nw0yIxsrh;;;;;;;;;;;;;;;2021-CSPS 01- Santé maternelle et infantile - AELB;bJWWNnhNhBr;endos_CE-Proportion d’enfants PEC selon l’approche PCIME;jDr3MHHHhBX;;;;;;;;;;;;
MENSUELLE;Nombre de enfants pris en charge selon approche PCIME;OzHsKkABkDe;;;;;;;;;;;;;;;2021-CSPS 01- Santé maternelle et infantile - AELB;bJWWNnhNhBr;endos_Nombre de enfants pris en charge selon approche PCIME;nqZRQbIzzv3;;;;;;;;;;;;
MENSUELLE;CE-Nouveaux consultants moins de cinq ans;yFjBW0chlWG;;;;;;;;;;;;;;;2021-CSPS 01- Santé maternelle et infantile - AELB;bJWWNnhNhBr;endos_CE-Nouveaux consultants moins de cinq ans;U6qMxvIxIua;;;;;;;;;;;;
MENSUELLE;Nouveaux consultants-Auto orientes < 5ans;gV7xlQiecX1.Vs325b9gx8H;;;;;;;;;;;;;;;2021-CSPS 01- Santé maternelle et infantile - AELB;bJWWNnhNhBr;endos_Nouveaux consultants-Auto orientes < 5ans;mqvmHh4CBLv;;;;;;;;;;;;
MENSUELLE;Nouveaux consultants-Auto orientes;gV7xlQiecX1;;;;;;;;;;;;;;;2021-CSPS 01- Santé maternelle et infantile - AELB;bJWWNnhNhBr;endos_Nouveaux consultants-Auto orientes;TZAQ4ffwLQa;;;;;;;;;;;;
MENSUELLE;PF-Utilisatrices des methodes contraceptives;rNU2thylDAf;;;;;;;;;;;;;;;2021-CSPS 01- Santé maternelle et infantile - AELB;bJWWNnhNhBr;endos_PF-Utilisatrices des methodes contraceptives;pfDsMx41rUD;;;;;;;;;;;;
MENSUELLE;GEN - Femme en age de procréer;z5RZXtOLz15;;;;;;;;;;;;;;;2021-CSPS 01- Santé maternelle et infantile - AELB;bJWWNnhNhBr;endos_GEN - Femme en age de procréer;Z9ngI8tVbUn;;;;;;;;;;;;
MENSUELLE;Nombre de CPN4;XZVXhX92Ln3;;;;;;;;;;;;;;;2021-CSPS 01- Santé maternelle et infantile - AELB;bJWWNnhNhBr;endos_Nombre de CPN4;npPd22Kfc4l;;;;;;;;;;;;
MENSUELLE;Grossesses attendues;Kd2LVT61jZH;;;;;;;;;;;;;;;2021-CSPS 01- Santé maternelle et infantile - AELB;bJWWNnhNhBr;endos_Grossesses attendues;dGwbQE0wzcj;;;;;;;;;;;;
MENSUELLE;SMI-Accouchement total;M7VlZFIleHC;;;;;;;;;;;;;;;2021-CSPS 01- Santé maternelle et infantile - AELB;bJWWNnhNhBr;endos_SMI-Accouchement total;poGFwSyfCbf;;;;;;;;;;;;
MENSUELLE;Accouchements attendus;QYRjQFoCXcc;;;;;;;;;;;;;;;2021-CSPS 01- Santé maternelle et infantile - AELB;bJWWNnhNhBr;endos_Accouchements attendus;ZJZGNW26gOG;;;;;;;;;;;;
MENSUELLE;Femmes vues en CPN au cours du mois et ayant beneficie d’un test VIH;RRdnVH2yxrM;;;;;;;;;;;;;;;2021-CSPS 01- Santé maternelle et infantile - AELB;bJWWNnhNhBr;endos_Femmes vues en CPN au cours du mois et ayant beneficie d’un test VIH;hQyxEjBhlXa;;;;;;;;;;;;
MENSUELLE;Nombre de CPN1;QNpudMTFyvu;;;;;;;;;;;;;;;2021-CSPS 01- Santé maternelle et infantile - AELB;bJWWNnhNhBr;endos_Nombre de CPN1;R1Bwbvtd38F;;;;;;;;;;;;
MENSUELLE;Femmes vues en CPN au cours du mois testees VIH+;YigwQLLb66Z;;;;;;;;;;;;;;;2021-CSPS 01- Santé maternelle et infantile - AELB;bJWWNnhNhBr;endos_Femmes vues en CPN au cours du mois testees VIH+;ffRqvlCNUnP;;;;;;;;;;;;
MENSUELLE;Femmes vues en CPN testees VIH+ nouvellement mises sous TARV;Q5Bnpil8h0z;;;;;;;;;;;;;;;2021-CSPS 01- Santé maternelle et infantile - AELB;bJWWNnhNhBr;endos_Femmes vues en CPN testees VIH+ nouvellement mises sous TARV;Zoc38eugsVd;;;;;;;;;;;;
