ordreExecution;description;typePeriode;source_name;source_indicatorName;source_indicatorId;source_dataElementName;source_dataElementId;source_categorieComboName;source_categorieComboId;source_categorieComboOptionName;source_categorieComboOptionId;source_specifique;source_orgUnitName;source_orgUnitId;source_orgUnitGroupName;source_orgUnitGroupId;source_orgUnitOfProgramName;source_orgUnitOfProgramId;source_orgUnitOfDataSetName;source_orgUnitOfDataSetId;destination_name;destination_dataElementName;destination_dataElementId;destination_categorieComboName;destination_categorieComboId;destination_categorieComboOptionName;destination_categorieComboOptionId;destination_orgUnitName;destination_orgUnitId;destination_orgUnitGroupName;destination_orgUnitGroupId;destination_orgUnitOfProgramName;destination_orgUnitOfProgramId;destination_orgUnitOfDataSetName;destination_orgUnitOfDataSetId
1;QUALITE_edm;MENSUELLE;EQUALITE;Nombre CHR/polyclinique ayant otenu 2 cauris;qpn5a4Hoe38;;;;;;;;;;;;Checklist niveau CHR - domaine 1;mxVaxV2ZxGr;;;EDM;qualité_Nombre CHR/polyclinique ayant otenu 2 cauris;GZYcdz0X0yO;;;;;;;;;;;;
1;QUALITE_edm;MENSUELLE;EQUALITE;Nombre de CHR/Polyclinique audité;hTqpb4Yoiyb;;;;;;;;;;;;Checklist niveau CHR - domaine 1;mxVaxV2ZxGr;;;EDM;qualité_Nombre de CHR/Polyclinique audité;WP5e0EznEK9;;;;;;;;;;;;
1;QUALITE_edm;MENSUELLE;EQUALITE;Nombre de CHR/Polyclinique audités;B3iIkYYJFdG;;;;;;;;;;;;Checklist niveau CHR - domaine 1;mxVaxV2ZxGr;;;EDM;qualité_Nombre de CHR/Polyclinique audités;WP5e0EznEK9;;;;;;;;;;;;
1;QUALITE_edm;MENSUELLE;EQUALITE;Nombre de CHR/Polyclinique ayant obtenu 1 Cauri;p2T0WwsCzts;;;;;;;;;;;;Checklist niveau CHR - domaine 1;mxVaxV2ZxGr;;;EDM;qualité_Nombre de CHR/Polyclinique ayant obtenu 1 Cauri;CPhyK87KNXS;;;;;;;;;;;;
1;QUALITE_edm;MENSUELLE;EQUALITE;"Nombre de CHR/Polyclinique ayant obtenu 4 cauris
";FU1nRiU8c31;;;;;;;;;;;;Checklist niveau CHR - domaine 1;mxVaxV2ZxGr;;;EDM;"qualité_Nombre de CHR/Polyclinique ayant obtenu 4 cauris
";q5LIeoF3FxE;;;;;;;;;;;;
2;QUALITE_edm;MENSUELLE;EQUALITE;Nombre de CHU/hôpital prive;zrahEkojBa0;;;;;;;;;;;;Checklist niveau CHU – HOPITAL PRIVE - domaine 1;ARCxqnz5o3C;;;EDM;qualité_Nombre de CHU/hôpital prive;qDUcNTTbNcj;;;;;;;;;;;;
2;QUALITE_edm;MENSUELLE;EQUALITE;Nombre de CHU/hôpital prive audité;zrahEkojBa0;;;;;;;;;;;;Checklist niveau CHU – HOPITAL PRIVE - domaine 1;ARCxqnz5o3C;;;EDM;qualité_Nombre de CHU/hôpital prive audité;xNtLYscyGme;;;;;;;;;;;;
2;QUALITE_edm;MENSUELLE;EQUALITE;Nombre de CHU/hôpital prive ayant obtenu 1 cauri;iV6nw55Av4d;;;;;;;;;;;;Checklist niveau CHU – HOPITAL PRIVE - domaine 1;ARCxqnz5o3C;;;EDM;qualité_Nombre de CHU/hôpital prive ayant obtenu 1 cauri;jmgVMRdYHwT;;;;;;;;;;;;
2;QUALITE_edm;MENSUELLE;EQUALITE;Nombre de CHU/hôpital prive ayant obtenu 2 cauris;UtGefp7m74V;;;;;;;;;;;;Checklist niveau CHU – HOPITAL PRIVE - domaine 1;ARCxqnz5o3C;;;EDM;qualité_Nombre de CHU/hôpital prive ayant obtenu 2 cauris;DGkWciyMZus;;;;;;;;;;;;
2;QUALITE_edm;MENSUELLE;EQUALITE;Nombre de CHU/hôpital prive ayant obtenu 3 cauris;NVuyclW1yDj;;;;;;;;;;;;Checklist niveau CHU – HOPITAL PRIVE - domaine 1;ARCxqnz5o3C;;;EDM;qualité_Nombre de CHU/hôpital prive ayant obtenu 3 cauris;OyS9qg6yf5v;;;;;;;;;;;;
2;QUALITE_edm;MENSUELLE;EQUALITE;Nombre de CHU/hôpital prive ayant obtenu 4 cauris;Q1qdVRqI4LF;;;;;;;;;;;;Checklist niveau CHU – HOPITAL PRIVE - domaine 1;ARCxqnz5o3C;;;EDM;qualité_Nombre de CHU/hôpital prive ayant obtenu 4 cauris;oeMa2cReiTA;;;;;;;;;;;;
2;QUALITE_edm;MENSUELLE;EQUALITE;Nombre de CHU/hôpital prive ayant obtenu 5 cauris;DwLtFXL1JgN;;;;;;;;;;;;Checklist niveau CHU – HOPITAL PRIVE - domaine 1;ARCxqnz5o3C;;;EDM;qualité_Nombre de CHU/hôpital prive ayant obtenu 5 cauris;Zg31H6k4MXc;;;;;;;;;;;;
3;QUALITE_edm;MENSUELLE;EQUALITE;Nombre de CM audités;IUGOhDC0knw;;;;;;;;;;;;ChecklistNiveauCM_ - domaine 1;DRBbWpq86uz;;;EDM;qualité_Nombre de CM audités;cComDs10V90;;;;;;;;;;;;
