description;fis_indicateur;fis_description;fis_id;fis_groupe;fis_key;dhis_dataElementName;dhis_dataElementId;dhis_categorieComboName;dhis_categorieComboId;dhis_categorieComboOptionName;dhis_categorieComboOptionId
;duree-moyenne-prestation;Accouchement et intervention obstétricale;2;;cout_mise_en_observation;FIS_Coût total des hospitalisation/meo pour accouchement et intervention obstétricale;ZzqBRSdyeBR;;;;
;duree-moyenne-prestation;Dépistage des lésions précancéreuse;3;;cout_mise_en_observation;FIS_Coût total des hospitalisation/meo pour Dépistage des lésions précancéreuse;f23jMwsiKOC;;;;
;duree-moyenne-prestation;Enfants moins de cinq (05) ans;4;;cout_mise_en_observation;FIS_Coût total des hospitalisation/meo pour Enfants moins de cinq (05) ans;OJwBiTzPWZG;;;;
;duree-moyenne-prestation;Planification familiale;5;;cout_mise_en_observation;FIS_Coût total des hospitalisation/meo pour Planification familiale;bT5mFPYJKU0;;;;
;duree-moyenne-prestation;Soins pendant la grossesse;1;;cout_mise_en_observation;FIS_Coût total des hospitalisation/meo pour Soins pendant la grossesse;Emx7Kgd1LqW;;;;
;duree-moyenne-prestation;Accouchement et intervention obstétricale;2;;nombre_facture;FIS_Nombre de factures (Bénéficiaire) en hospitalisation/meo pour accouchement et intervention obstétricale;v5nU8dFayRI;;;;
;duree-moyenne-prestation;Dépistage des lésions précancéreuse;3;;nombre_facture;FIS_Nombre de factures (Bénéficiaire) en hospitalisation/meo pour Dépistage des lésions précancéreuse;toaPHIHNKAV;;;;
;duree-moyenne-prestation;Enfants moins de cinq (05) ans;4;;nombre_facture;FIS_Nombre de factures (Bénéficiaire) en hospitalisation/meo pour Enfants moins de cinq (05) ans;v9Y3ztMvqg3;;;;
;duree-moyenne-prestation;Planification familiale;5;;nombre_facture;FIS_Nombre de factures (Bénéficiaire) en hospitalisation/meo pour Planification familiale;rmWKN2HKezW;;;;
;duree-moyenne-prestation;Soins pendant la grossesse;1;;nombre_facture;FIS_Nombre de factures (Bénéficiaire) en hospitalisation/meo pour Soins pendant la grossesse;DGDtuLnqwA0;;;;
;duree-moyenne-prestation;Accouchement et intervention obstétricale;2;;nbre_jours;FIS_Nombre de jours d'hospitalisation/meo pour accouchement et intervention obstétricale;ACi1gQo3pSF;;;;
;duree-moyenne-prestation;Dépistage des lésions précancéreuse;3;;nbre_jours;FIS_Nombre de jours d'hospitalisation/meo pour Dépistage des lésions précancéreuse;jcuJLRF0vB3;;;;
;duree-moyenne-prestation;Enfants moins de cinq (05) ans;4;;nbre_jours;FIS_Nombre de jours d'hospitalisation/meo pour Enfants moins de cinq (05) ans;CMnHLIAEzxJ;;;;
;duree-moyenne-prestation;Planification familiale;5;;nbre_jours;FIS_Nombre de jours d'hospitalisation/meo pour Planification familiale;ZJMK5AE0ZGt;;;;
;duree-moyenne-prestation;Soins pendant la grossesse;1;;nbre_jours;FIS_Nombre de jours d'hospitalisation/meo pour Soins pendant la grossesse;QBzRSZylzK2;;;;
