description;typePeriode;fis_typeData;fis_slug;fis_elementKey;fis_elementName;fis_elementId;fis_groupeCode;fis_valueKey;fis_structureKey;dhis_dataElementName;dhis_dataElementId;dhis_categorieComboName;dhis_categorieComboId;dhis_categorieComboOptionName;dhis_categorieComboOptionId;dhis_orgUnitKey
;;;;;;;quantite_cout_examens-pvvih;quanite_ex;;;;Quantite_Cout-examens-pvvih;UMaU0DHlm3l;Quantite;Gv3JNxYAwVb;
;;;;;;;quantite_cout_examens-pvvih;cout_total_ex;;;;Quantite_Cout-examens-pvvih;UMaU0DHlm3l;Cout;dNttMsO2HVn;
;MENSUELLE;indicateurs;examens-pvvih;libelle;I.10. Glycémie;Glycémie;quantite_cout_examens-pvvih;;id_structure;VII.1.10. GLYCEMIE PVVIH;PzyfR6tYOWw;Quantite_Cout-examens-pvvih;UMaU0DHlm3l;;;uuid_fs
;MENSUELLE;indicateurs;examens-pvvih;libelle;I.11. Dépistage des lésions précancéreuses du col de l’utérus à IVA/IVL;Dépistage des lésions précancéreuses du col de l’utérus à IVA/IVL;quantite_cout_examens-pvvih;;id_structure;VII.1.11. IVA/IVL PVVIH;MMm9QzfFzWW;Quantite_Cout-examens-pvvih;UMaU0DHlm3l;;;uuid_fs
;MENSUELLE;indicateurs;examens-pvvih;libelle;I.1. Triglycéride;Triglycéride ;quantite_cout_examens-pvvih;;id_structure;VII.1.1. TRIGLYCERIDE PVVIH;dlVmwnX299n;Quantite_Cout-examens-pvvih;UMaU0DHlm3l;;;uuid_fs
;MENSUELLE;indicateurs;examens-pvvih;libelle;I.2. Protéinurie de 24 Heures;Protéinurie de 24 Heures;quantite_cout_examens-pvvih;;id_structure;VII.1.2. PROTEINURIE 24 HEURES PVVIH;wQx9ueRSLFw;Quantite_Cout-examens-pvvih;UMaU0DHlm3l;;;uuid_fs
;MENSUELLE;indicateurs;examens-pvvih;libelle;I.3. Transaminase ASAT/ALAT;Transaminase ASAT/ALAT;quantite_cout_examens-pvvih;;id_structure;VII.1.3. TRANSAMINASE ASAT/ALAT PVVIH;TCzCZZvp3O0;Quantite_Cout-examens-pvvih;UMaU0DHlm3l;;;uuid_fs
;MENSUELLE;indicateurs;examens-pvvih;libelle;I.4. Radiologie pulmonaire face;Radiologie pulmonaire face;quantite_cout_examens-pvvih;;id_structure;VII.1.4. RADIOLOGIE PULMONAIRE FACE PVVIH;WoUc3AG5tGi;Quantite_Cout-examens-pvvih;UMaU0DHlm3l;;;uuid_fs
;MENSUELLE;indicateurs;examens-pvvih;libelle;I.5. Créatininémie;Créatininémie ;quantite_cout_examens-pvvih;;id_structure;VII.1.5. CREATININEMIE PVVIH;HX4gRrw6Ll0;Quantite_Cout-examens-pvvih;UMaU0DHlm3l;;;uuid_fs
;MENSUELLE;indicateurs;examens-pvvih;libelle;I.6. Ag HBS (Hépatite virale B);Ag HBS (Hépatite virale B);quantite_cout_examens-pvvih;;id_structure;VII.1.6. AG HBS (HEPATITE VIRALE B) PVVIH;RKCyBIUeVLU;Quantite_Cout-examens-pvvih;UMaU0DHlm3l;;;uuid_fs
