description;fis_description;fis_id;fis_groupe;fis_key;dhis_dataElementName;dhis_dataElementId;dhis_categorieComboName;dhis_categorieComboId;dhis_categorieComboOptionName;dhis_categorieComboOptionId
;;;quantite_cout;quantite;;;Quantite_Cout;UMaU0DHlm3l;Quantite;V3e0z6sQSCv
;;;quantite_cout;cout;;;Quantite_Cout;UMaU0DHlm3l;Cout;fsJKcn32fLi
;Accouchements normaux;6;quantite_cout;;I.1.1. ACCOUCHEMENTS NORMAUX ACCOUCHEMENTS;C67octzpAFq;Quantite_Cout;UMaU0DHlm3l;;
;Accouchements assistés à l'aide d'instruments/produits;7;quantite_cout;;I.1.2. ACCOUCHEMENTS ASSISTES A L'AIDE D'INSTRUMENTS ET/OU DE PRODUITS  ACCOUCHEMENT;ECCUlUYDsB4;Quantite_Cout;UMaU0DHlm3l;;
;Soins d’urgence aux nouveau-nés;8;quantite_cout;;I.1.3. SOINS D_URGENCE AUX NOUVEAU-NES ACCOUCHEMENT;Hw8coXjWZeu;Quantite_Cout;UMaU0DHlm3l;;
;Soins obstétricaux d’urgence;9;quantite_cout;;I.1.4. SOINS OBSTETRICAUX D_URGENCE ACCOUCHEMENT;EZxbRgA5BZq;Quantite_Cout;UMaU0DHlm3l;;
;Soins curatifs du post partum;11;quantite_cout;;I.1.5. SOINS CURATIFS DU POST PARTUM ACCOUCHEMENT;Aj5ekblACXc;Quantite_Cout;UMaU0DHlm3l;;
;Césariennes;12;quantite_cout;;I.1.6. CESARIENNES ACCOUCHEMENT;L2GKaySzx81;Quantite_Cout;UMaU0DHlm3l;;
;Laparatomie pour rupture utérine;93;quantite_cout;;I.1.7. LAPAROTOMIE POUR RUPTURE UTERINE ACCOUCHEMENT;EqG1g7F8N6Q;Quantite_Cout;UMaU0DHlm3l;;
;Laparotomie pour GEU;14;quantite_cout;;I.1.8. LAPAROTOMIE POUR GEU ACCOUCHEMENT;VVKi9MjBzmt;Quantite_Cout;UMaU0DHlm3l;;
;Cure de fistules obstétricales;15;quantite_cout;;I.1.9. CURE DE FISTULES OBSTETRICALES ACCOUCHEMENT;UE15LtMhNLd;Quantite_Cout;UMaU0DHlm3l;;
;II.2.1.Carburant évacuation;150;quantite_cout;;I.2.1. CARBURANT EVACUATION ACCOUCHEMENT;tlFGVNO6JDp;Quantite_Cout;UMaU0DHlm3l;;
;II.2.2.Montant total des médicaments et consommables médicaux;151;quantite_cout;;I.2.2. MONTANT TOTAL DES MEDICAMENTS ACCOUCHEMENT;b5zddUTPqbx;Quantite_Cout;UMaU0DHlm3l;;
;II.2.4.Actes (consultations);153;quantite_cout;;I.2.3. ACTES CONSULTATION_ACCOUCHEMENT_INTERVENTION_OBSTETRICALES;HWni6oxix39;Quantite_Cout;UMaU0DHlm3l;;
