ordreExecution;description;typePeriode;source_name;source_indicatorName;source_indicatorId;source_dataElementName;source_dataElementId;source_categorieComboName;source_categorieComboId;source_categorieComboOptionName;source_categorieComboOptionId;source_orgUnitName;source_orgUnitId;source_orgUnitGroupName;source_orgUnitGroupId;source_orgUnitOfProgramName;source_orgUnitOfProgramId;source_orgUnitOfDataSetName;source_orgUnitOfDataSetId;destination_name;destination_dataElementName;destination_dataElementId;destination_categorieComboName;destination_categorieComboId;destination_categorieComboOptionName;destination_categorieComboOptionId;destination_orgUnitName;destination_orgUnitId;destination_orgUnitGroupName;destination_orgUnitGroupId;destination_orgUnitOfProgramName;destination_orgUnitOfProgramId;destination_orgUnitOfDataSetName;destination_orgUnitOfDataSetId
1;EGRATUITE To EDM;MENSUELLE;EGRATUITE;;;I.1.1. ACCOUCHEMENTS NORMAUX ACCOUCHEMENTS;C67octzpAFq;;;COÛT;dNttMsO2HVn;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;EDM;gratuite_Cout accouchements normaux accouchements;DFjEuXrCn4N;;;;;;;;;;;;
1;EGRATUITE To EDM;MENSUELLE;EGRATUITE;;;I.1.2. ACCOUCHEMENTS ASSISTES A L'AIDE D'INSTRUMENTS ET/OU DE PRODUITS  ACCOUCHEMENT;ECCUlUYDsB4;;;COÛT;dNttMsO2HVn;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;EDM;gratuite_Cout accouchements assistes a l'aide d'instruments et/ou de produits accouchement;oCbJyE7LgPN;;;;;;;;;;;;
1;EGRATUITE To EDM;MENSUELLE;EGRATUITE;;;I.1.3. SOINS D_URGENCE AUX NOUVEAU-NES ACCOUCHEMENT;Hw8coXjWZeu;;;COÛT;dNttMsO2HVn;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;EDM;gratuite_Cout soins d_urgence aux nouveau-nes accouchement;XmeWxDrqWsZ;;;;;;;;;;;;
1;EGRATUITE To EDM;MENSUELLE;EGRATUITE;;;I.1.4. SOINS OBSTETRICAUX D_URGENCE ACCOUCHEMENT;EZxbRgA5BZq;;;COÛT;dNttMsO2HVn;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;EDM;gratuite_Cout soins obstetricaux d_urgence accouchement;FYSjioegR7C;;;;;;;;;;;;
1;EGRATUITE To EDM;MENSUELLE;EGRATUITE;;;I.1.5. SOINS CURATIFS DU POST PARTUM ACCOUCHEMENT;Aj5ekblACXc;;;COÛT;dNttMsO2HVn;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;EDM;gratuite_Cout soins curatifs du post partum accouchement;zBOPGCibTf9;;;;;;;;;;;;
1;EGRATUITE To EDM;MENSUELLE;EGRATUITE;;;I.1.6. CESARIENNES ACCOUCHEMENT;L2GKaySzx81;;;COÛT;dNttMsO2HVn;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;EDM;gratuite_Cout cesariennes accouchement;lUixoe3TacD;;;;;;;;;;;;
1;EGRATUITE To EDM;MENSUELLE;EGRATUITE;;;I.1.7. LAPAROTOMIE POUR RUPTURE UTERINE ACCOUCHEMENT;EqG1g7F8N6Q;;;COÛT;dNttMsO2HVn;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;EDM;gratuite_Cout laparotomie pour rupture uterine accouchement;fHGrnTBqOjX;;;;;;;;;;;;
1;EGRATUITE To EDM;MENSUELLE;EGRATUITE;;;I.1.8. LAPAROTOMIE POUR GEU ACCOUCHEMENT;VVKi9MjBzmt;;;COÛT;dNttMsO2HVn;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;EDM;gratuite_Cout laparotomie pour geu accouchement;hyprmMDJuTE;;;;;;;;;;;;
1;EGRATUITE To EDM;MENSUELLE;EGRATUITE;;;I.1.9. CURE DE FISTULES OBSTETRICALES ACCOUCHEMENT;UE15LtMhNLd;;;COÛT;dNttMsO2HVn;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;EDM;gratuite_Cout cure de fistules obstetricales accouchement;FuNC86vw3Lf;;;;;;;;;;;;
1;EGRATUITE To EDM;MENSUELLE;EGRATUITE;;;I.2.1. CARBURANT EVACUATION ACCOUCHEMENT;tlFGVNO6JDp;;;COÛT;dNttMsO2HVn;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;EDM;gratuite_Cout carburant evacuation accouchement;RxtIjsexA63;;;;;;;;;;;;
