ordreExecution;description;typePeriode;source_name;source_indicatorName;source_indicatorId;source_dataElementName;source_dataElementId;source_categorieComboName;source_categorieComboId;source_categorieComboOptionName;source_categorieComboOptionId;source_specifique;source_orgUnitName;source_orgUnitId;source_orgUnitGroupName;source_orgUnitGroupId;source_orgUnitOfProgramName;source_orgUnitOfProgramId;source_orgUnitOfDataSetName;source_orgUnitOfDataSetId;destination_name;destination_dataElementName;destination_dataElementId;destination_categorieComboName;destination_categorieComboId;destination_categorieComboOptionName;destination_categorieComboOptionId;destination_orgUnitName;destination_orgUnitId;destination_orgUnitGroupName;destination_orgUnitGroupId;destination_orgUnitOfProgramName;destination_orgUnitOfProgramId;destination_orgUnitOfDataSetName;destination_orgUnitOfDataSetId
1;EGRATUITE To EDM;MENSUELLE;EGRATUITE;NOMBRE DE SATISFAITS ET TRES SATISFAITS DE LA POLITIQUE DE GRATUITE EN EFSM;SFEGmSBa0hD;;;;;;;;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;EDM;gratuite_ Nombre de satisfaits et très satisfaits de la politique de gratuité en EFSM;QnogOusdjlr;;;;;;;;;;;;
1;EGRATUITE To EDM;MENSUELLE;EGRATUITE;NOMBRE DE SATISFAITS ET TRES SATISFAITS DE LA POLITIQUE DE GRATUITE ENQUETE ASBC;v4CLQzXaQRh;;;;;;;;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;EDM;gratuite_ Nombre de satisfaits et très satisfaits de la politique de gratuité enquête ASBC;lPDffxCyqTj;;;;;;;;;;;;
1;EGRATUITE To EDM;MENSUELLE;EGRATUITE;NOMBRE DE SATISFAITS ET TRES SATISFAITS DE L'ACCUEIL EN EFSM;TDKx4yBju0E;;;;;;;;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;EDM;gratuite_ Nombre de satisfaits et très satisfaits de l'accueil en EFSM;tcSgkCoeBOA;;;;;;;;;;;;
1;EGRATUITE To EDM;MENSUELLE;EGRATUITE;NOMBRE DE SATISFAITS ET TRES SATISFAITS DE L'ACCUEIL ENQUETE ASBC;jpHjypWvtuH;;;;;;;;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;EDM;gratuite_ Nombre de satisfaits et très satisfaits de l'accueil enquête ASBC;pzWyHKRsfsk;;;;;;;;;;;;
1;EGRATUITE To EDM;MENSUELLE;EGRATUITE;NOMBRE DE SATISFAITS ET TRES SATISFAITS DE L'HYGIENE EN EFSM;s4L4IuiShjq;;;;;;;;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;EDM;gratuite_ Nombre de satisfaits et très satisfaits de l'hygiène en EFSM;SXKIxuh7BGR;;;;;;;;;;;;
1;EGRATUITE To EDM;MENSUELLE;EGRATUITE;NOMBRE DE SATISFAITS ET TRES SATISFAITS DE L'HYGIENE ENQUETE ASBC;AZqVfM8kTb2;;;;;;;;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;EDM;gratuite_ Nombre de satisfaits et très satisfaits de l'hygiène enquête ASBC;z6MiAWPiztr;;;;;;;;;;;;
1;EGRATUITE To EDM;MENSUELLE;EGRATUITE;NOMBRE DE SATISFAITS ET TRES SATISFAITS DU TEMPS D'ATTENTE EN EFSM;klngV8KwAWV;;;;;;;;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;EDM;gratuite_ Nombre de satisfaits et très satisfaits du temps d'attente en EFSM;JdgJzxr034q;;;;;;;;;;;;
1;EGRATUITE To EDM;MENSUELLE;EGRATUITE;NOMBRE DE SATISFAITS ET TRES SATISFAITS DU TEMPS D'ATTENTE ENQUETE ASBC;HspfkrqIGxb;;;;;;;;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;EDM;gratuite_ Nombre de satisfaits et très satisfaits du temps d'attente enquête ASBC;bgNA81tnxPx;;;;;;;;;;;;
1;EGRATUITE To EDM;MENSUELLE;EGRATUITE;NOMBRE DE SATISFAITS ET TRES SATISFAITS DU TRAITEMENT REÇU EN EFSM;"uriEkbFkPMW
";;;;;;;;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;EDM;gratuite_ Nombre de satisfaits et très satisfaits du traitement reçu en EFSM;IZtZ8oPTEwv;;;;;;;;;;;;
1;EGRATUITE To EDM;MENSUELLE;EGRATUITE;NOMBRE DE SATISFAITS ET TRES SATISFAITS DU TRAITEMENT REÇU ENQUETE ASBC;"e8AFNrZeL2n
";;;;;;;;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;EDM;gratuite_ Nombre de satisfaits et très satisfaits du traitement reçu enquête ASBC;MS1etKqQwOg;;;;;;;;;;;;
1;EGRATUITE To EDM;MENSUELLE;EGRATUITE;NOMBRE D'ENQUETES SUR LA CONFIDENTIALITE EN EFSM;TvrjOISPccA;;;;;;;;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;EDM;gratuite_ Nombre d'enquêtés sur la confidentialité en EFSM;NBbEv4ydYWr;;;;;;;;;;;;
1;EGRATUITE To EDM;MENSUELLE;EGRATUITE;NOMBRE D'ENQUETES SUR LA CONFIDENTIALITE ENQUETE ASBC;ittB7in2UuX;;;;;;;;;;;;Formulaire de revue documentaire;uyjsNEHy5v6;;;EDM;gratuite_ Nombre d'enquêtés sur la confidentialité enquête ASBC;OLkXeXe6IfR;;;;;;;;;;;;
