source_dhis_programName;source_dhis_programId;source_dhis_attributName;source_dhis_attributId;source_dhis_programStageName;source_dhis_programStageId;source_dhis_programStageDataElementName;source_dhis_programStageDataElementId;source_dhis_programMasterName;source_dhis_programMasterId;source_dhis_attributValueUniqueName;source_dhis_attributValueUniqueId;source_dhis_dataElementValueUniqueName;source_dhis_dataElementValueUniqueId;destination_dhis_programName;destination_dhis_programId;destination_dhis_attributName;destination_dhis_attributId;destination_dhis_programStageName;destination_dhis_programStageId;destination_dhis_programStageDataElementName;destination_dhis_programStageDataElementId;destination_dhis_programMasterName;destination_dhis_programMasterId;destination_dhis_attributValueUniqueName;destination_dhis_attributValueUniqueId;destination_dhis_dataElementValueUniqueName;destination_dhis_dataElementValueUniqueId;AllAttributValueMatching;AllDataElementValueMatching;changeValue
Gestion intrant;XzFxUYlBIkN;;;Gestion intrant;HzNOhsk9b94;1. Type d'opération;k3StAHJLRVj;;;;;;;Gestion intrant;XzFxUYlBIkN;;;Gestion intrant;HzNOhsk9b94;1. Type d'opération;k3StAHJLRVj;;;;;;;;;
Gestion intrant;XzFxUYlBIkN;;;Gestion intrant;HzNOhsk9b94;Indiv_1.9 Paracetamol 500mg;HBdqe0zxKdR;;;;;;;Gestion intrant;XzFxUYlBIkN;;;Gestion intrant;HzNOhsk9b94;Indiv_1.9 Paracetamol 500mg;HBdqe0zxKdR;;;;;;;;;
Gestion intrant;XzFxUYlBIkN;;;Gestion intrant;HzNOhsk9b94;Indiv_1.1 Artemether-Lumefantrine 20/120mg comp (plaquette de 6);je9EZjk1J95;;;;;;;Gestion intrant;XzFxUYlBIkN;;;Gestion intrant;HzNOhsk9b94;Indiv_1.1 Artemether-Lumefantrine 20/120mg comp (plaquette de 6);je9EZjk1J95;;;;;;;;;
Gestion intrant;XzFxUYlBIkN;;;Gestion intrant;HzNOhsk9b94;Indiv_1.2 Artemether-Lumefantrine 20/120mg comp (plaquette de 12);b2jXscnYzU7;;;;;;;Gestion intrant;XzFxUYlBIkN;;;Gestion intrant;HzNOhsk9b94;Indiv_1.2 Artemether-Lumefantrine 20/120mg comp (plaquette de 12);b2jXscnYzU7;;;;;;;;;
Gestion intrant;XzFxUYlBIkN;;;Gestion intrant;HzNOhsk9b94;Indiv_1.3 Artemether-Lumefantrine 20/120mg comp (plaquette de 18);KS0NpR8CFq9;;;;;;;Gestion intrant;XzFxUYlBIkN;;;Gestion intrant;HzNOhsk9b94;Indiv_1.3 Artemether-Lumefantrine 20/120mg comp (plaquette de 18);KS0NpR8CFq9;;;;;;;;;
Gestion intrant;XzFxUYlBIkN;;;Gestion intrant;HzNOhsk9b94;Indiv_1.4 Artemether-Lumefantrine 20/120mg comp (plaquette de 24);KfFBHoy6pK4;;;;;;;Gestion intrant;XzFxUYlBIkN;;;Gestion intrant;HzNOhsk9b94;Indiv_1.4 Artemether-Lumefantrine 20/120mg comp (plaquette de 24);KfFBHoy6pK4;;;;;;;;;
Gestion intrant;XzFxUYlBIkN;;;Gestion intrant;HzNOhsk9b94;Indiv_1.5 Dihydroartemisinine 20mg-Piperaquine 160mg;WINtPvor73n;;;;;;;Gestion intrant;XzFxUYlBIkN;;;Gestion intrant;HzNOhsk9b94;Indiv_1.5 Dihydroartemisinine 20mg-Piperaquine 160mg;WINtPvor73n;;;;;;;;;
Gestion intrant;XzFxUYlBIkN;;;Gestion intrant;HzNOhsk9b94;Indiv_1.6 Dihydroartemisinine 40mg-Piperaquine 320mg;pfErpI465XJ;;;;;;;Gestion intrant;XzFxUYlBIkN;;;Gestion intrant;HzNOhsk9b94;Indiv_1.6 Dihydroartemisinine 40mg-Piperaquine 320mg;pfErpI465XJ;;;;;;;;;
Gestion intrant;XzFxUYlBIkN;;;Gestion intrant;HzNOhsk9b94;Indiv_1.7 Artesunate rectal 50mg;mAxCBjMDS2d;;;;;;;Gestion intrant;XzFxUYlBIkN;;;Gestion intrant;HzNOhsk9b94;Indiv_1.7 Artesunate rectal 50mg;mAxCBjMDS2d;;;;;;;;;
Gestion intrant;XzFxUYlBIkN;;;Gestion intrant;HzNOhsk9b94;Indiv_1.8 Artesunate rectal 100mg;oU6XAVIG2jN;;;;;;;Gestion intrant;XzFxUYlBIkN;;;Gestion intrant;HzNOhsk9b94;Indiv_1.8 Artesunate rectal 100mg;oU6XAVIG2jN;;;;;;;;;
