KOBOTOOLBOX_NAME;KOBOTOOLBOX_LABEL;RESUREPMRAH_NAME;RESUREPMRAH_ID
ARBINDA;ARBINDA;PV ARBINDA;ERDor9ajtvN
BAGASSI;BAGASSI;PV Bagassi;wwopxkORdvK
BANH;BANH;PV BANH;gzshOnVJeIp
BANI;BANI;PV BANI;rfVM1bv1wAa
BARABOULE;BARABOULE;PV BARABOULE;q8JYUcamDP0
BARANI;BARANI;PV BARANI;qJihvqF6qb5
BARSALOGHO;BARSALOGHO;PV BARSALOGHO;QOd336E4vfo
BATIE;BATIE;PV BATIE;JPi7BkPOAN4
BEREBA;BEREBA;PV BEREBA;QV2cfz7xftJ
BIEHA;BIEHA;PV Biéha;u1RXZ8zm7hQ
BINDE (KAIBO);BINDE (KAIBO);PV Bindé;X8rOON7tNDt
BITTOU;BITTOU;PCVF BITTOU;uxTBujoDXbf
BOBO DIOULASSO;BOBO DIOULASSO;PV BOBO DIOULASSO;hgkq0hRLMCp
BOKIN;BOKIN;PV BOKIN;nG4ov8PwlS6
BOTOU;BOTOU;PV BOTOU;aZc0EfyaoSQ
BOUGNOUNOU;BOUGNOUNOU;PV Bougnounou;xrpFgKcZG2x
BOUNDORE;BOUNDORE;PV BOUNDORE;npnN8ZAbM10
BOURA;BOURA;PV Boura;nJ3xMr1nrOA
BOURZANGA;BOURZANGA;PV BOURZANGA;d3YaReMLuQi
CINKANSE;CINKANSE;PCVF CINKANSE;uxCmlZOn9bQ
DAKOLA;DAKOLA;PCVF Dakola;ILV3GyFf1sd
DAPELOGO;DAPELOGO;PV Dapelogo;K19xAmYvn0s
DARGO;DARGO;PV DARGO;qZ7L8BiOSh7
DEOU;DEOU;PV DEOU;tP0ZQhIIf8H
DIABO;DIABO;PV DIABO;MyiISHyqHBL
DIDYR;DIDYR;PV Didyr;WzZV5YZPm0Y
DJIBASSO;DJIBASSO;PCVF DJIBASSO;UP2KM0Xw3qW
DOLO;DOLO;PV DOLO;YrqXcJM9JDC
FADA N’GOURMA;FADA N’GOURMA;PV FADA N’GOURMA;IPGXRK86HAq
FALAGOUNTOU;FALAGOUNTOU;PV FALAGOUNTOU;oKb16bVPpOx
FARA;FARA;PV Fara;K466gyASr5f
FARAMANA;FARAMANA;PCVF FARAMANA;ht1IL6DpMUw
GARANGO;GARANGO;PV GARANGO;nhKpl6azxDM
GASSAN;GASSAN;PV Gassan;a8MJmZBVolV
GAYERI;GAYERI;PV GAYERI;FB7A0iEDKi0
GON-BOUSSOUGOU;GON-BOUSSOUGOU;PV Gomboussougou;V9dleH2Jo9R
GORGADJI;GORGADJI;PV GORGADJI;un9dlY10Vus
GOURCY;GOURCY;PV GOURCY;iBWPia41p2B
KAMPTI;KAMPTI;PCVF KAMPTI;SjbtkKby2IL
