EDM_id;EDM_Region;EDM_DS;EDM_commune;EDM_FS;EGRATUITE_id;EGRATUITE_Region;EGRATUITE_DS;EGRATUITE_commune;EGRATUITE_FS;EQUALITE_id;EQUALITE_Region;EQUALITE_DS;EQUALITE_commune;EQUALITE_FS
I0IyBB3Lvup;Boucle du Mouhoun;DS Boromo;Bagassi;CSPS Bagassi;rUI2Sg9TDL4;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE BAGASSI ;CSPS BAGASSI ;I0IyBB3Lvup;Boucle du Mouhoun;DS Boromo;Bagassi;CSPS Bagassi
YXTb2aCZjF3;Boucle du Mouhoun;DS Boromo;Bagassi;CSPS Bandio;xpNq5leGX65;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE BAGASSI ;CSPS BANDIO ;YXTb2aCZjF3;Boucle du Mouhoun;DS Boromo;Bagassi;CSPS Bandio
jjxBW5hdtGB;Boucle du Mouhoun;DS Boromo;Bagassi;CSPS de Kahin;Kxycqa9zydo;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE BAGASSI ;CSPS KAHIN ;jjxBW5hdtGB;Boucle du Mouhoun;DS Boromo;Bagassi;CSPS de Kahin
qoy4ApRBTtx;Boucle du Mouhoun;DS Boromo;Bagassi;CSPS Mana;oEnRl9M31C8;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE BAGASSI ;CSPS MANA ;qoy4ApRBTtx;Boucle du Mouhoun;DS Boromo;Bagassi;CSPS Mana
L1CBQQUbVhT;Boucle du Mouhoun;DS Boromo;Bagassi;CSPS Pahin;IzWHrCVYeen;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE BAGASSI ;CSPS PAHIN ;L1CBQQUbVhT;Boucle du Mouhoun;DS Boromo;Bagassi;CSPS Pahin
grmUevrZQzE;Boucle du Mouhoun;DS Boromo;Bagassi;CSPS Vy;HmZuDee39Oz;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE BAGASSI ;CSPS VY ;grmUevrZQzE;Boucle du Mouhoun;DS Boromo;Bagassi;CSPS Vy
Sw820gEd1XY;Boucle du Mouhoun;DS Boromo;Bana;CSPS Bana;WSEUBoUhvJ7;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE BANA ;CSPS BANA ;Sw820gEd1XY;Boucle du Mouhoun;DS Boromo;Bana;CSPS Bana
vbc9BdMuEH1;Boucle du Mouhoun;DS Boromo;Bana;CSPS Wona;X7KX5iHYZNX;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE BANA ;CSPS WONA ;vbc9BdMuEH1;Boucle du Mouhoun;DS Boromo;Bana;CSPS Wona
YlyF7Cdu3wA;Boucle du Mouhoun;DS Boromo;Bana;CSPS Yona;KDczocHUYmJ;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE BANA ;CSPS YONA ;YlyF7Cdu3wA;Boucle du Mouhoun;DS Boromo;Bana;CSPS Yona
KvNOePwHFyH;Boucle du Mouhoun;DS Boromo;Boromo;CMA Boromo;Bivjv8T5VGf;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE BOROMO ;CMA BOROMO ;KvNOePwHFyH;Boucle du Mouhoun;DS Boromo;Boromo;CMA Boromo
