EDM_id;EDM_Region;EDM_DS;EDM_commune;EDM_FS;EGRATUITE_id;EGRATUITE_Region;EGRATUITE_DS;EGRATUITE_commune;EGRATUITE_FS
I0IyBB3Lvup;Boucle du Mouhoun;DS Boromo;Bagassi;CSPS Bagassi;rUI2Sg9TDL4;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE BAGASSI ;CSPS BAGASSI 
YXTb2aCZjF3;Boucle du Mouhoun;DS Boromo;Bagassi;CSPS Bandio;xpNq5leGX65;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE BAGASSI ;CSPS BANDIO 
jjxBW5hdtGB;Boucle du Mouhoun;DS Boromo;Bagassi;CSPS de Kahin;Kxycqa9zydo;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE BAGASSI ;CSPS KAHIN 
qoy4ApRBTtx;Boucle du Mouhoun;DS Boromo;Bagassi;CSPS Mana;oEnRl9M31C8;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE BAGASSI ;CSPS MANA 
L1CBQQUbVhT;Boucle du Mouhoun;DS Boromo;Bagassi;CSPS Pahin;IzWHrCVYeen;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE BAGASSI ;CSPS PAHIN 
grmUevrZQzE;Boucle du Mouhoun;DS Boromo;Bagassi;CSPS Vy;HmZuDee39Oz;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE BAGASSI ;CSPS VY 
Sw820gEd1XY;Boucle du Mouhoun;DS Boromo;Bana;CSPS Bana;WSEUBoUhvJ7;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE BANA ;CSPS BANA 
vbc9BdMuEH1;Boucle du Mouhoun;DS Boromo;Bana;CSPS Wona;X7KX5iHYZNX;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE BANA ;CSPS WONA 
YlyF7Cdu3wA;Boucle du Mouhoun;DS Boromo;Bana;CSPS Yona;KDczocHUYmJ;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE BANA ;CSPS YONA 
KvNOePwHFyH;Boucle du Mouhoun;DS Boromo;Boromo;CMA Boromo;Bivjv8T5VGf;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE BOROMO ;CMA BOROMO 
ISCDCdUH7uy;Boucle du Mouhoun;DS Boromo;Boromo;CSPS Boromo;fsTV2DaZnWr;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE BOROMO ;CSPS BOROMO 
F2vZovH4IOR;Boucle du Mouhoun;DS Boromo;Boromo;CSPS Koho;VNXcIsoEO4Z;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE BOROMO ;CSPS KOHO DS BOROMO 
xgRTn9AjUup;Boucle du Mouhoun;DS Boromo;Boromo;CSPS Nanou;tKCsJrh2Zfk;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE BOROMO ;CSPS NANOU 
f7S9Gl3DQKe;Boucle du Mouhoun;DS Boromo;Boromo;CSPS Ouahabou;yJl5LAu7G4T;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE BOROMO ;CSPS OUAHABOU 
IT2zpPMrkEk;Boucle du Mouhoun;DS Boromo;Boromo;CSPS Ourobonon;qD41p4Mlton;BOUCLE DU MOUHOUN ;DS BOROMO ;COMMUNE BOROMO ;CSPS OUROUBONON 
