typePeriode;source_indicatorName;source_indicatorId;source_dataElementName;source_dataElementId;source_categorieComboName;source_categorieComboId;source_categorieComboOptionName;source_categorieComboOptionId;source_orgUnitName;source_orgUnitId;source_orgUnitGroupName;source_orgUnitGroupId;source_orgUnitOfProgramName;source_orgUnitOfProgramId;source_orgUnitOfDataSetName;source_orgUnitOfDataSetId;destination_dataElementName;destination_dataElementId;destination_categorieComboName;destination_categorieComboId;destination_categorieComboOptionName;destination_categorieComboOptionId;destination_orgUnitName;destination_orgUnitId;destination_orgUnitGroupName;destination_orgUnitGroupId;destination_orgUnitOfProgramName;destination_orgUnitOfProgramId;destination_orgUnitOfDataSetName;destination_orgUnitOfDataSetId
MENSUELLE;;;Mois_1.9 Paracetamol 500mg;q4l3wnubLQL;;;;;;;;;;;Gestion intrant;nf6bFxkSUW5;Mois_1.9 Paracetamol 500mg;q4l3wnubLQL;;;;;;;;;;;;
MENSUELLE;;;Mois_1.1 Artemether-Lumefantrine 20/120mg comp (plaquette de 6);yYZEfCwHJBR;;;;;;;;;;;Gestion intrant;nf6bFxkSUW5;Mois_1.1 Artemether-Lumefantrine 20/120mg comp (plaquette de 6);yYZEfCwHJBR;;;;;;;;;;;;
MENSUELLE;;;Mois_1.2 Artemether-Lumefantrine 20/120mg comp (plaquette de 12);kcWB2k49KRt;;;;;;;;;;;Gestion intrant;nf6bFxkSUW5;Mois_1.2 Artemether-Lumefantrine 20/120mg comp (plaquette de 12);kcWB2k49KRt;;;;;;;;;;;;
MENSUELLE;;;Mois_1.3 Artemether-Lumefantrine 20/120mg comp (plaquette de 18);Z3NzxPy2Sz6;;;;;;;;;;;Gestion intrant;nf6bFxkSUW5;Mois_1.3 Artemether-Lumefantrine 20/120mg comp (plaquette de 18);Z3NzxPy2Sz6;;;;;;;;;;;;
MENSUELLE;;;Mois_1.4 Artemether-Lumefantrine 20/120mg comp (plaquette de 24);dkN2M0LYGmG;;;;;;;;;;;Gestion intrant;nf6bFxkSUW5;Mois_1.4 Artemether-Lumefantrine 20/120mg comp (plaquette de 24);dkN2M0LYGmG;;;;;;;;;;;;
MENSUELLE;;;Mois_1.5 Dihydroartemisinine 20mg-Piperaquine 160mg;BaMNw1apYnt;;;;;;;;;;;Gestion intrant;nf6bFxkSUW5;Mois_1.5 Dihydroartemisinine 20mg-Piperaquine 160mg;BaMNw1apYnt;;;;;;;;;;;;
MENSUELLE;;;Mois_1.6 Dihydroartemisinine 40mg-Piperaquine 320mg;iKaSdvvOadw;;;;;;;;;;;Gestion intrant;nf6bFxkSUW5;Mois_1.6 Dihydroartemisinine 40mg-Piperaquine 320mg;iKaSdvvOadw;;;;;;;;;;;;
MENSUELLE;;;Mois_1.7 Artesunate rectal 50mg;cgNqRS0ZqQv;;;;;;;;;;;Gestion intrant;nf6bFxkSUW5;Mois_1.7 Artesunate rectal 50mg;cgNqRS0ZqQv;;;;;;;;;;;;
MENSUELLE;;;Mois_1.8 Artesunate rectal 100mg;ap1EZBonghw;;;;;;;;;;;Gestion intrant;nf6bFxkSUW5;Mois_1.8 Artesunate rectal 100mg;ap1EZBonghw;;;;;;;;;;;;
MENSUELLE;;;Mois_1.10 Amoxicilline dispersible250 mg;GDm41cJfXtD;;;;;;;;;;;Gestion intrant;nf6bFxkSUW5;Mois_1.10 Amoxicilline dispersible250 mg;GDm41cJfXtD;;;;;;;;;;;;
