ordreExecution;rapidpro_flowUuid;rapidpro_flowName;rapidpro_declancheur;rapidpro_position;rapidpro_name;dhis_orgUnitCode;dhis_periode;dhis_TypePeriode;dhis_promptitude;dhis_reference;dhis_dataSetName;dhis_dataSetId;dhis_dataElementName;dhis_dataElementId;dhis_categorieComboName;dhis_categorieComboId;dhis_categorieComboOptionName;dhis_categorieComboOptionId;;;;;;;;
2;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;rapstmens;1;1 = stock debut de mois;;;;;1;I- GESTION INTRANTS MENSUELLE;nf6bFxkSUW5;;;;;;;;;;;;;;
2;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;rapstmens;2;Code ASBC;oui;;;;;I- GESTION INTRANTS MENSUELLE;nf6bFxkSUW5;;;;;;;;;;;;;;
2;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;rapstmens;3;date de l'operation;;;;oui;;I- GESTION INTRANTS MENSUELLE;nf6bFxkSUW5;;;;;;;;;;;;;;
2;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;rapstmens;4;Mois du rapport;;oui;MENSUELLE;;;I- GESTION INTRANTS MENSUELLE;nf6bFxkSUW5;;;;;;;;;;;;;;
2;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;rapstmens;5;Paracetamol 500mg;;;;;;I- GESTION INTRANTS MENSUELLE;nf6bFxkSUW5;Mois_1.9 Paracetamol 500mg;q4l3wnubLQL;;;quantité en début du mois;fi4BhHYXAQF;;;;;;;;
2;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;rapstmens;6;Artéméther+ Luméfantrine 20/120mg comp (plaquette de 6);;;;;;I- GESTION INTRANTS MENSUELLE;nf6bFxkSUW5;Mois_1.1 Artemether-Lumefantrine 20/120mg comp (plaquette de 6);yYZEfCwHJBR;;;quantité en début du mois;fi4BhHYXAQF;;;;;;;;
2;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;rapstmens;7;Artéméther+ Luméfantrine 20/120mg comp (plaquette de 12);;;;;;I- GESTION INTRANTS MENSUELLE;nf6bFxkSUW5;Mois_1.2 Artemether-Lumefantrine 20/120mg comp (plaquette de 12);kcWB2k49KRt;;;quantité en début du mois;fi4BhHYXAQF;;;;;;;;
2;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;rapstmens;8;Artéméther+ Luméfantrine 20/120mg comp (plaquette de 18);;;;;;I- GESTION INTRANTS MENSUELLE;nf6bFxkSUW5;Mois_1.3 Artemether-Lumefantrine 20/120mg comp (plaquette de 18);Z3NzxPy2Sz6;;;quantité en début du mois;fi4BhHYXAQF;;;;;;;;
2;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;rapstmens;9;Artéméther+ Luméfantrine 20/120mg comp (plaquette de 24);;;;;;I- GESTION INTRANTS MENSUELLE;nf6bFxkSUW5;Mois_1.4 Artemether-Lumefantrine 20/120mg comp (plaquette de 24);dkN2M0LYGmG;;;quantité en début du mois;fi4BhHYXAQF;;;;;;;;
2;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;rapstmens;10;Dihydroartemisinine 20mg+ Pipéraquine 160mg;;;;;;I- GESTION INTRANTS MENSUELLE;nf6bFxkSUW5;Mois_1.5 Dihydroartemisinine 20mg-Piperaquine 160mg;BaMNw1apYnt;;;quantité en début du mois;fi4BhHYXAQF;;;;;;;;
2;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;rapstmens;11;Dihydroartemisinine 20mg+ Pipéraquine 320mg;;;;;;I- GESTION INTRANTS MENSUELLE;nf6bFxkSUW5;Mois_1.6 Dihydroartemisinine 40mg-Piperaquine 320mg;iKaSdvvOadw;;;quantité en début du mois;fi4BhHYXAQF;;;;;;;;
2;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;rapstmens;12;Artésunate rectal 50mg;;;;;;I- GESTION INTRANTS MENSUELLE;nf6bFxkSUW5;Mois_1.7 Artesunate rectal 50mg;cgNqRS0ZqQv;;;quantité en début du mois;fi4BhHYXAQF;;;;;;;;
2;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;rapstmens;13;Artésunate rectal 100mg;;;;;;I- GESTION INTRANTS MENSUELLE;nf6bFxkSUW5;Mois_1.8 Artesunate rectal 100mg;ap1EZBonghw;;;quantité en début du mois;fi4BhHYXAQF;;;;;;;;
2;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;rapstmens;14;Amoxiciline Dispersible 250 Mg;;;;;;I- GESTION INTRANTS MENSUELLE;nf6bFxkSUW5;Mois_1.10 Amoxicilline dispersible250 mg;GDm41cJfXtD;;;quantité en début du mois;fi4BhHYXAQF;;;;;;;;
2;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;rapstmens;15;Sulfadoxine pyriméthamine;;;;;;I- GESTION INTRANTS MENSUELLE;nf6bFxkSUW5;Mois_1.11 Sulfadoxine pyrimethamine;gbveYC7Eg90;;;quantité en début du mois;fi4BhHYXAQF;;;;;;;;
2;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;rapstmens;16;Fer acide folique;;;;;;I- GESTION INTRANTS MENSUELLE;nf6bFxkSUW5;Mois_1.12 Fer acide folique;AIfj9lssXYy;;;quantité en début du mois;fi4BhHYXAQF;;;;;;;;
2;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;rapstmens;17;Micronutriments multiples (MMS);;;;;;I- GESTION INTRANTS MENSUELLE;nf6bFxkSUW5;Mois_1.13 Micronutriments multiples;GbI7Z9Nkquy;;;quantité en début du mois;fi4BhHYXAQF;;;;;;;;
2;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;rapstmens;18;Poudre de micronutiments multiples (MNP);;;;;;I- GESTION INTRANTS MENSUELLE;nf6bFxkSUW5;Mois_1.14 Poudre de micronutriments multiples;ko2P8ZiGOQZ;;;quantité en début du mois;fi4BhHYXAQF;;;;;;;;
2;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;rapstmens;19;Contraceptif oraux combiné (COC);;;;;;I- GESTION INTRANTS MENSUELLE;nf6bFxkSUW5;Mois_1.16 Contraceptifs oraux combines (COC);Jpkl21VAq1s;;;quantité en début du mois;fi4BhHYXAQF;;;;;;;;
2;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;rapstmens;20;Contraceptif oraux progestatif (COP);;;;;;I- GESTION INTRANTS MENSUELLE;nf6bFxkSUW5;Mois_1.17 Contraceptifs oraux progestatifs (COP);BqV4KYpu2ev;;;quantité en début du mois;fi4BhHYXAQF;;;;;;;;
2;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;rapstmens;21;Condom masculin;;;;;;I- GESTION INTRANTS MENSUELLE;nf6bFxkSUW5;Mois_1.18 Condom masculin;syQjWEkRSEl;;;quantité en début du mois;fi4BhHYXAQF;;;;;;;;
2;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;rapstmens;22;Condom feminin;;;;;;I- GESTION INTRANTS MENSUELLE;nf6bFxkSUW5;Mois_1.19 Condom feminin;C2c1P33Rnha;;;quantité en début du mois;fi4BhHYXAQF;;;;;;;;
2;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;rapstmens;23;Sayana Press;;;;;;I- GESTION INTRANTS MENSUELLE;nf6bFxkSUW5;Mois_1.20 DMPA sc (Sayana press);QF2MPmxEtj3;;;quantité en début du mois;fi4BhHYXAQF;;;;;;;;
2;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;rapstmens;24;TDR pour paludisme;;;;;;I- GESTION INTRANTS MENSUELLE;nf6bFxkSUW5;Mois_1.21 TDR pour Paludisme;RVcODmzXx8f;;;quantité en début du mois;fi4BhHYXAQF;;;;;;;;
2;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;rapstmens;25;Kit SRO/ZINC;;;;;;I- GESTION INTRANTS MENSUELLE;nf6bFxkSUW5;Mois_1.15 Kit sro zinc;jXgb8mmiKzp;;;quantité en début du mois;fi4BhHYXAQF;;;;;;;;
