ordreExecution;rapidpro_flowUuid;rapidpro_flowName;rapidpro_declancheur;rapidpro_position;rapidpro_name;dhis_eventName;dhis_eventId;dhis_eventOrgUnitCode;dhis_eventDate;dhis_eventDataElementName;dhis_eventDataElementId;dhis_valueUnique;dhis_assignValue;;;;;;;;;;;;
2;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;asbcvad;1;Code ASBC;Visite à domicile;Kr6VEh1NeYb;oui;;;;;;;;;;;;;;;;;
2;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;asbcvad;2;Code Opération;Visite à domicile;Kr6VEh1NeYb;;;Code Opération;QEpj5yfYAej;oui;;;;;;;;;;;;;
2;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;asbcvad;3;date de l'operation;Visite à domicile;Kr6VEh1NeYb;;oui;;;;;;;;;;;;;;;;
2;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;asbcvad;4;Sujet de visite;Visite à domicile;Kr6VEh1NeYb;;;Sujet de visite;epuxvq3U569;;;;;;;;;;;;;;
2;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;asbcvad;5;Participants Femmes 6 - 14 ans;Visite à domicile;Kr6VEh1NeYb;;;Participants Femmes 6 - 14 ans;Z9NE4mIvkr3;;;;;;;;;;;;;;
2;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;asbcvad;6;Participants Femmes 15 - 19 ans;Visite à domicile;Kr6VEh1NeYb;;;Participants Femmes 15 - 19 ans;Sh1AkjL9trT;;;;;;;;;;;;;;
2;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;asbcvad;7;Participants Femmes 20 et plus;Visite à domicile;Kr6VEh1NeYb;;;Participants Femmes 20 et plus;ngsBWiX9f5m;;;;;;;;;;;;;;
2;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;asbcvad;8;Participants Hommes 6 - 14 ans;Visite à domicile;Kr6VEh1NeYb;;;Participants Hommes 6 - 14 ans;NEBfSLZEZ3C;;;;;;;;;;;;;;
2;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;asbcvad;9;Participants Hommes 15 - 19 ans;Visite à domicile;Kr6VEh1NeYb;;;Participants Hommes 15 - 19 ans;NOBkiX1mk3N;;;;;;;;;;;;;;
2;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;asbcvad;10;Participants Hommes 20 et plus;Visite à domicile;Kr6VEh1NeYb;;;Participants Hommes 20 et plus;KZJu2qzPmr7;;;;;;;;;;;;;;
