ordreExecution;rapidpro_flowUuid;rapidpro_flowName;rapidpro_declancheur;rapidpro_position;rapidpro_name;dhis_programName;dhis_programId;dhis_programEnrolmentDate;dhis_programIncidentDate;dhis_programOrgUnitCode;dhis_attributName;dhis_attributId;dhis_programStageName;dhis_programStageId;dhis_programStageOrgUnitCode;dhis_programStageEventDate;dhis_programStageDataElementName;dhis_programStageDataElementId;dhis_programMasterName;dhis_programMasterId;dhis_attributValueUniqueName;dhis_attributValueUniqueId;dhis_dataElementValueUniqueName;dhis_dataElementValueUniqueId;dhis_assignValue;changeValue;;;;;;;;;;;;;;;;;;
24;cf92abae-5147-4c42-b903-81d8a3245b5d;ENREGISTREMENT DES AUTRES INFORMATIONS ASBC;modifasbcau;1;Code ASBC;Suivi des ASBC;Lzj3xUBjleF;;;oui;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;cf92abae-5147-4c42-b903-81d8a3245b5d;ENREGISTREMENT DES AUTRES INFORMATIONS ASBC;modifasbcau;2;Date opération;Suivi des ASBC;Lzj3xUBjleF;;;;Date de l'opération;vO7kFnxcrNj;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;cf92abae-5147-4c42-b903-81d8a3245b5d;ENREGISTREMENT DES AUTRES INFORMATIONS ASBC;modifasbcau;3;Distance Aller village-Csps (KM);Suivi des ASBC;Lzj3xUBjleF;;;;Distance Aller village-Csps (KM);FM7oH13RmA4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;cf92abae-5147-4c42-b903-81d8a3245b5d;ENREGISTREMENT DES AUTRES INFORMATIONS ASBC;modifasbcau;4;Date de naissance;Suivi des ASBC;Lzj3xUBjleF;;;;Date de naissance;AplXoOwAEHl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;cf92abae-5147-4c42-b903-81d8a3245b5d;ENREGISTREMENT DES AUTRES INFORMATIONS ASBC;modifasbcau;5;Genre;Suivi des ASBC;Lzj3xUBjleF;;;;Sexe;VZqQqA074nT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;cf92abae-5147-4c42-b903-81d8a3245b5d;ENREGISTREMENT DES AUTRES INFORMATIONS ASBC;modifasbcau;6;Niveau d'instruction;Suivi des ASBC;Lzj3xUBjleF;;;;Niveau d'instruction;GHllhivKzJs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;cf92abae-5147-4c42-b903-81d8a3245b5d;ENREGISTREMENT DES AUTRES INFORMATIONS ASBC;modifasbcau;7;Date recrutement;Suivi des ASBC;Lzj3xUBjleF;;;;Date recrutement;pge3HzKUChn;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;cf92abae-5147-4c42-b903-81d8a3245b5d;ENREGISTREMENT DES AUTRES INFORMATIONS ASBC;modifasbcau;8;Numéro CNIB;Suivi des ASBC;Lzj3xUBjleF;;;;Numéro CNIB;TJbbGBzhHhE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;cf92abae-5147-4c42-b903-81d8a3245b5d;ENREGISTREMENT DES AUTRES INFORMATIONS ASBC;modifasbcau;9;Date établissement. CNIB;Suivi des ASBC;Lzj3xUBjleF;;;;Date établissement. CNIB;AcpJzSj1O7h;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;cf92abae-5147-4c42-b903-81d8a3245b5d;ENREGISTREMENT DES AUTRES INFORMATIONS ASBC;modifasbcau;10;Lieu étab. CNIB;Suivi des ASBC;Lzj3xUBjleF;;;;Lieu établissement de la CNIB;esJx2VQSnFb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
