ordreExecution;rapidpro_flowUuid;rapidpro_flowName;rapidpro_declancheur;rapidpro_position;rapidpro_name;dhis_programName;dhis_programId;dhis_programEnrolmentDate;dhis_programIncidentDate;dhis_programOrgUnitCode;dhis_attributName;dhis_attributId;dhis_programStageName;dhis_programStageId;dhis_programStageOrgUnitCode;dhis_programStageEventDate;dhis_programStageDataElementName;dhis_programStageDataElementId;dhis_programMasterName;dhis_programMasterId;dhis_attributValueUniqueName;dhis_attributValueUniqueId;dhis_dataElementValueUniqueName;dhis_dataElementValueUniqueId;;;;;;;;;;;;;;;;;;;;
10;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;modifpers;1;Code ASBC;Registre PRISE EN CHARGE;kFjVC6CTFrK;;;oui;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;modifpers;2;date de l'operation;Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;modifpers;3;Code personne;Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;Code personne;vadegRbcklv;;;;;;;Registre PRISE EN CHARGE;kFjVC6CTFrK;Code personne;vadegRbcklv;;;;;;;;;;;;;;;;;;;;;;
10;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;modifpers;4;Date de naissance;Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;Date de naissance;AplXoOwAEHl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;modifpers;5;Nom;Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;Nom;jJZYzvVCZnA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;modifpers;6;Prénom;Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;Prénoms;M9N2Nc6wMnI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;modifpers;7;Genre;Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;Sexe;VZqQqA074nT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;modifpers;8;Lieu de provenance;Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;Lieu de Provenance;ajc7q44aFWL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;modifpers;9;Téléphone personne;Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;Contact téléphonique personne ou tuteur;YJE7czFbBaf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;modifpers;10;Code Opération;Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;Code Opération;g2gy1LlEUJL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
