ordreExecution;rapidpro_flowUuid;rapidpro_flowName;rapidpro_declancheur;rapidpro_position;rapidpro_name;dhis_orgUnitCode;dhis_periode;dhis_typePeriode;dhis_promptitude;dhis_reference;dhis_dataSetName;dhis_dataSetId;dhis_dataElementName;dhis_dataElementId;dhis_categorieComboName;dhis_categorieComboId;dhis_categorieComboOptionName;dhis_categorieComboOptionId;;;;;;;;
13;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;rapactvt1;1;Code ASBC;oui;;;;;RMA Agrégé Communautaire;dr47BUiECZJ;;;;;;;;;;;;;;
13;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;rapactvt1;2;date de l'operation;;;;oui;;RMA Agrégé Communautaire;dr47BUiECZJ;;;;;;;;;;;;;;
13;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;rapactvt1;3;Mois du rapport;;oui;MENSUELLE;;;RMA Agrégé Communautaire;dr47BUiECZJ;;;;;;;;;;;;;;
13;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;rapactvt1;4;A.2.2.1. Femmes enceintes vues à la 1ère visite dans le cadre des soins du nouveau-né à domicile;;;;;;RMA Agrégé Communautaire;dr47BUiECZJ;A.2.2.1. Femmes enceintes vues à la 1ère visite dans le cadre des soins du nouveau-né à domicile;Qm9FbmtAhU8;;;default;HllvX50cXC0;;;;;;;;
13;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;rapactvt1;5;A.2.2.2. Femmes enceintes vues à la 2ème visite dans le cadre des soins du nouveau-né à domicile;;;;;;RMA Agrégé Communautaire;dr47BUiECZJ;A.2.2.2. Femmes enceintes vues à la 2ème visite dans le cadre des soins du nouveau-né à domicile;DpnOzR0mby7;;;default;HllvX50cXC0;;;;;;;;
13;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;rapactvt1;6;A.2.2.3. Femmes enceintes vues à la 3ème visite dans le cadre des soins du nouveau-né à domicile;;;;;;RMA Agrégé Communautaire;dr47BUiECZJ;A.2.2.3. Femmes enceintes vues à la 3ème visite dans le cadre des soins du nouveau-né à domicile;J2KPwij5FIL;;;default;HllvX50cXC0;;;;;;;;
13;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;rapactvt1;7;A.2.2.4. Femmes enceintes suivies et accouchées dans le cadre des soins du nouveau-né à domicile;;;;;;RMA Agrégé Communautaire;dr47BUiECZJ;A.2.2.4. Femmes enceintes suivies et accouchées dans le cadre des soins du nouveau-né à domicile;y8RriVJSRHb;;;default;HllvX50cXC0;;;;;;;;
13;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;rapactvt1;8;A.2.2.5. Femmes enceintes référées par les ASBC dans le cadre des soins du nouveau-né à domicile;;;;;;RMA Agrégé Communautaire;dr47BUiECZJ;A.2.2.5. Femmes enceintes référées par les ASBC dans le cadre des soins du nouveau-né à domicile;v04r44Xav6D;;;default;HllvX50cXC0;;;;;;;;
13;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;rapactvt1;9;A.2.2.6. Bébés vus à la 1ère visite dans le cadre des soins du nouveau-né à domicile;;;;;;RMA Agrégé Communautaire;dr47BUiECZJ;A.2.2.6. Bébés vus à la 1ère visite dans le cadre des soins du nouveau-né à domicile;Ytnxq18lFZT;;;default;HllvX50cXC0;;;;;;;;
13;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;rapactvt1;10;A.2.2.7. Bébés vus à la 2ème visite dans le cadre des soins du nouveau-né à domicile;;;;;;RMA Agrégé Communautaire;dr47BUiECZJ;A.2.2.7. Bébés vus à la 2ème visite dans le cadre des soins du nouveau-né à domicile;ENYkCQ5W22o;;;default;HllvX50cXC0;;;;;;;;
13;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;rapactvt1;11;A.2.2.8. Bébés vus à la 3ème visite;;;;;;RMA Agrégé Communautaire;dr47BUiECZJ;A.2.2.8. Bébés vus à la 3ème visite;vd1eNkI4MnK;;;default;HllvX50cXC0;;;;;;;;
13;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;rapactvt1;12;A.2.2.9. Visites supplémentaires pour les bébés de faibles poids;;;;;;RMA Agrégé Communautaire;dr47BUiECZJ;A.2.2.9. Visites supplémentaires pour les bébés de faibles poids;sxLYyiIk9I5;;;default;HllvX50cXC0;;;;;;;;
13;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;rapactvt1;13;A.2.2.10. Bébés référés par les ASBC dans le cadre des soins du nouveau-né à domicile pour : Possibilité d’infections bactériennes graves;;;;;;RMA Agrégé Communautaire;dr47BUiECZJ;A.2.2.10. Bébés référés par les ASBC dans le cadre des soins du nouveau-né à domicile pour : Possibilité d’infections bactériennes graves;waQWgH3bYd8;;;default;HllvX50cXC0;;;;;;;;
