ordreExecution;rapidpro_flowUuid;rapidpro_flowName;rapidpro_declancheur;rapidpro_position;rapidpro_name;dhis_orgUnitCode;dhis_periode;dhis_typePeriode;dhis_promptitude;dhis_reference;dhis_dataSetName;dhis_dataSetId;dhis_dataElementName;dhis_dataElementId;dhis_categorieComboName;dhis_categorieComboId;dhis_categorieComboOptionName;dhis_categorieComboOptionId;;;;;;;;
11;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;rapsuivgross1;1;Code ASBC;oui;;;;;RMA Agrégé Communautaire;dr47BUiECZJ;;;;;10-14 ans;x4XZif2iWgF;;;;;;;;
11;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;rapsuivgross1;2;date de l'operation;;;;oui;;RMA Agrégé Communautaire;dr47BUiECZJ;;;;;;;;;;;;;;
11;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;rapsuivgross1;3;Mois du rapport;;oui;MENSUELLE;;;RMA Agrégé Communautaire;dr47BUiECZJ;;;;;;;;;;;;;;
11;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;rapsuivgross1;4;A.2.1.1. Femmes enceintes référées pour problème de santé;;;;;;RMA Agrégé Communautaire;dr47BUiECZJ;A-I.2.1.1. Femmes enceintes référées pour problème de santé;nWlUZ8N16r7;;;10-14 ans;x4XZif2iWgF;;;;;;;;
11;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;rapsuivgross1;5;A.2.1.2. Femmes enceintes référées pour soins prénatals;;;;;;RMA Agrégé Communautaire;dr47BUiECZJ;A-I.2.1.2. Femmes enceintes référées pour soins prénatals;vL8GSDeGbKv;;;10-14 ans;x4XZif2iWgF;;;;;;;;
11;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;rapsuivgross1;6;A.2.1.3. Femmes enceintes perdues de vue recherchées pour SPN;;;;;;RMA Agrégé Communautaire;dr47BUiECZJ;A-I.2.1.3. Femmes enceintes perdues de vue recherchées pour SPN;GyxFhTemHjo;;;10-14 ans;x4XZif2iWgF;;;;;;;;
11;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;rapsuivgross1;7;A.2.1.4. Femmes enceintes perdues de vue recherchées pour SPN retrouvées;;;;;;RMA Agrégé Communautaire;dr47BUiECZJ;A-I.2.1.4. Femmes enceintes perdues de vue recherchées pour SPN retrouvées;bPksFhKy5cZ;;;10-14 ans;x4XZif2iWgF;;;;;;;;
11;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;rapsuivgross1;8;A.2.1.5. Femmes accouchées référées pour problème de santé;;;;;;RMA Agrégé Communautaire;dr47BUiECZJ;A-I.2.1.5. Femmes accouchées référées pour problème de santé;YW8IHURlcfj;;;10-14 ans;x4XZif2iWgF;;;;;;;;
11;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;rapsuivgross1;9;A.2.1.6. Femmes enceintes ayant accouché à domicile;;;;;;RMA Agrégé Communautaire;dr47BUiECZJ;A-I.2.1.6. Femmes enceintes ayant accouché à domicile;VuNfOZ9Z4L3;;;10-14 ans;x4XZif2iWgF;;;;;;;;
11;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;rapsuivgross1;10;A.2.1.7. Femmes enceintes ayant accouché à domicile et référées au centre de santé;;;;;;RMA Agrégé Communautaire;dr47BUiECZJ;A-I.2.1.7. Femmes enceintes ayant accouché à domicile et référées au centre de santé;B3s0xmveM0R;;;10-14 ans;x4XZif2iWgF;;;;;;;;
11;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;rapsuivgross1;11;A.2.1.8. Femmes référées pour fistules obstétricale;;;;;;RMA Agrégé Communautaire;dr47BUiECZJ;A-I.2.1.8. Femmes référées pour fistules obstétricale;px23wizWdrF;;;10-14 ans;x4XZif2iWgF;;;;;;;;
