ordreExecution;rapidpro_flowUuid;rapidpro_flowName;rapidpro_declancheur;rapidpro_position;rapidpro_name;dhis_programName;dhis_programId;dhis_programEnrolmentDate;dhis_programIncidentDate;dhis_programOrgUnitCode;dhis_attributName;dhis_attributId;dhis_programStageName;dhis_programStageId;dhis_programStageOrgUnitCode;dhis_programStageEventDate;dhis_programStageDataElementName;dhis_programStageDataElementId;dhis_programMasterName;dhis_programMasterId;dhis_attributValueUniqueName;dhis_attributValueUniqueId;dhis_dataElementValueUniqueName;dhis_dataElementValueUniqueId;;;;;;;;;;;;;;;;;;;;
15;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;realgaspa;1;Code ASBC;Gestion des Gaspa;kbmpH4q6sVE;;;;;;Réalisation GASPA;y0AUSS3m84Y;oui;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;realgaspa;2;Date Opération;Gestion des Gaspa;kbmpH4q6sVE;;;;;;Réalisation GASPA;y0AUSS3m84Y;;oui;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;realgaspa;3;Code Mois de la GASPA planifié;Gestion des Gaspa;kbmpH4q6sVE;;;;;;Réalisation GASPA;y0AUSS3m84Y;;;;;Gestion des Gaspa;kbmpH4q6sVE;Mois de la GASPA planifié;qAj8agtQmEU;;;;;;;;;;;;;;;;;;;;;;
15;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;realgaspa;4;Code Etat de la femme;Gestion des Gaspa;kbmpH4q6sVE;;;;;;Réalisation GASPA;y0AUSS3m84Y;;;;;Gestion des Gaspa;kbmpH4q6sVE;Etat de la femme;zpSuU5WgJoL;;;;;;;;;;;;;;;;;;;;;;
15;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;realgaspa;5;Code Groupe affectation;Gestion des Gaspa;kbmpH4q6sVE;;;;;;Réalisation GASPA;y0AUSS3m84Y;;;;;Gestion des Gaspa;kbmpH4q6sVE;Groupe GASPA;j7gpuhI432A;;;;;;;;;;;;;;;;;;;;;;
15;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;realgaspa;6;Nombre de personnes présentes;Gestion des Gaspa;kbmpH4q6sVE;;;;;;Réalisation GASPA;y0AUSS3m84Y;;;Nombre de personnes présentes;l8yPx23u7vz;;;;;;;;;;;;;;;;;;;;;;;;;;
15;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;realgaspa;7;Femme 1 présente à la GASPA;Gestion des Gaspa;kbmpH4q6sVE;;;;;;Réalisation GASPA;y0AUSS3m84Y;;;Femme 1 présente à la GASPA;iOoDVb4QBra;;;;;;;;;;;;;;;;;;;;;;;;;;
15;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;realgaspa;8;Femme 2 présente à la GASPA;Gestion des Gaspa;kbmpH4q6sVE;;;;;;Réalisation GASPA;y0AUSS3m84Y;;;Femme 2 présente à la GASPA;eLvuOmnCwkq;;;;;;;;;;;;;;;;;;;;;;;;;;
15;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;realgaspa;9;Femme 3 présente à la GASPA;Gestion des Gaspa;kbmpH4q6sVE;;;;;;Réalisation GASPA;y0AUSS3m84Y;;;Femme 3 présente à la GASPA;tqioIzjLDyr;;;;;;;;;;;;;;;;;;;;;;;;;;
15;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;realgaspa;10;Femme 4 présente à la GASPA;Gestion des Gaspa;kbmpH4q6sVE;;;;;;Réalisation GASPA;y0AUSS3m84Y;;;Femme 4 présente à la GASPA;dPh4XsK9HKn;;;;;;;;;;;;;;;;;;;;;;;;;;
15;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;realgaspa;11;Femme 5 présente à la GASPA;Gestion des Gaspa;kbmpH4q6sVE;;;;;;Réalisation GASPA;y0AUSS3m84Y;;;Femme 5 présente à la GASPA;EQVoQqkhF15;;;;;;;;;;;;;;;;;;;;;;;;;;
15;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;realgaspa;12;Femme 6 présente à la GASPA;Gestion des Gaspa;kbmpH4q6sVE;;;;;;Réalisation GASPA;y0AUSS3m84Y;;;Femme 6 présente à la GASPA;f6r1RjRpPxb;;;;;;;;;;;;;;;;;;;;;;;;;;
15;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;realgaspa;13;Femme 7 présente à la GASPA;Gestion des Gaspa;kbmpH4q6sVE;;;;;;Réalisation GASPA;y0AUSS3m84Y;;;Femme 7 présente à la GASPA;D84MHxTsizo;;;;;;;;;;;;;;;;;;;;;;;;;;
15;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;realgaspa;14;Femme 8 présente à la GASPA;Gestion des Gaspa;kbmpH4q6sVE;;;;;;Réalisation GASPA;y0AUSS3m84Y;;;Femme 8 présente à la GASPA;Ymr3Xofg4aU;;;;;;;;;;;;;;;;;;;;;;;;;;
15;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;realgaspa;15;Femme 9 présente à la GASPA;Gestion des Gaspa;kbmpH4q6sVE;;;;;;Réalisation GASPA;y0AUSS3m84Y;;;Femme 9 présente à la GASPA;Kl2dXaDSMyj;;;;;;;;;;;;;;;;;;;;;;;;;;
15;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;realgaspa;16;Femme 10 présente à la GASPA;Gestion des Gaspa;kbmpH4q6sVE;;;;;;Réalisation GASPA;y0AUSS3m84Y;;;Femme 10 présente à la GASPA;SRcOMaMg6rZ;;;;;;;;;;;;;;;;;;;;;;;;;;
15;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;realgaspa;17;Femme 11 présente à la GASPA;Gestion des Gaspa;kbmpH4q6sVE;;;;;;Réalisation GASPA;y0AUSS3m84Y;;;Femme 11 présente à la GASPA;PMA0tW3nqPj;;;;;;;;;;;;;;;;;;;;;;;;;;
15;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;realgaspa;18;Femme 12 présente à la GASPA;Gestion des Gaspa;kbmpH4q6sVE;;;;;;Réalisation GASPA;y0AUSS3m84Y;;;Femme 12 présente à la GASPA;TVBem5pr33w;;;;;;;;;;;;;;;;;;;;;;;;;;
