ordreExecution;rapidpro_flowUuid;rapidpro_flowName;rapidpro_declancheur;rapidpro_position;rapidpro_name;dhis_programName;dhis_programId;dhis_programEnrolmentDate;dhis_programIncidentDate;dhis_programOrgUnitCode;dhis_attributName;dhis_attributId;dhis_programStageName;dhis_programStageId;dhis_programStageOrgUnitCode;dhis_programStageEventDate;dhis_programStageDataElementName;dhis_programStageDataElementId;dhis_programMasterName;dhis_programMasterId;dhis_attributValueUniqueName;dhis_attributValueUniqueId;dhis_dataElementValueUniqueName;dhis_dataElementValueUniqueId;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;snne;1;Code ASBC;Registre NOUVEAU NE;Cl2h4aptwQV;;;oui;;;Suivi NOUVEAU NE;rKB7w98cbXo;oui;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;snne;2;code personne;Registre NOUVEAU NE;Cl2h4aptwQV;;;;;;Suivi NOUVEAU NE;rKB7w98cbXo;;;;;Registre PRISE EN CHARGE;kFjVC6CTFrK;Code personne;vadegRbcklv;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;snne;3;Date de visite;Registre NOUVEAU NE;Cl2h4aptwQV;oui;oui;;;;Suivi NOUVEAU NE;rKB7w98cbXo;;oui;30.47.Date de visite;oQBBWyEiKl6;;;;;30.47.Date de visite;oQBBWyEiKl6;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;snne;4;30.70.Est-ce votre première visite ?;Registre NOUVEAU NE;Cl2h4aptwQV;;;;;;Suivi NOUVEAU NE;rKB7w98cbXo;;;30.70.Est-ce votre première visite ?;gIKdB2ll0gd;;;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;snne;5;Le lieu de naissance du bébé;Registre NOUVEAU NE;Cl2h4aptwQV;;;;;;Suivi NOUVEAU NE;rKB7w98cbXo;;;30.67.Le lieu de naissance du bébé;nxv6O1cvfSf;;;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;snne;6;Genre;Registre NOUVEAU NE;Cl2h4aptwQV;;;;;;Suivi NOUVEAU NE;rKB7w98cbXo;;;Genre;nHLxqC9HkgC;;;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;snne;8;**Voulez-vous effectuer une visite recommandée par le CSPS ?**;Registre NOUVEAU NE;Cl2h4aptwQV;;;;;;Suivi NOUVEAU NE;rKB7w98cbXo;;;30.71.Visite recommandee;p6N1mcXp88S;;;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;snne;8;L'enfant est-il de faible poids ?;Registre NOUVEAU NE;Cl2h4aptwQV;;;;;;Suivi NOUVEAU NE;rKB7w98cbXo;;;30.68.L'enfant est-il de faible poids ?;HPYDQTTBOTM;;;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;snne;9;Quel est le poids de l'enfant?;Registre NOUVEAU NE;Cl2h4aptwQV;;;;;;Suivi NOUVEAU NE;rKB7w98cbXo;;;30.69.Quel est le poids de l'enfant?;QkhPMpckOQg;;;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;snne;10;30.71.Visite recommandee;Registre NOUVEAU NE;Cl2h4aptwQV;;;;;;Suivi NOUVEAU NE;rKB7w98cbXo;;;30.71.Visite recommandee;p6N1mcXp88S;;;;;;;;;;;;;;;;;;;;;;;;;;
