ordreExecution;rapidpro_flowUuid;rapidpro_flowName;rapidpro_declancheur;rapidpro_position;rapidpro_name;dhis_programName;dhis_programId;dhis_programEnrolmentDate;dhis_programIncidentDate;dhis_programOrgUnitCode;dhis_attributName;dhis_attributId;dhis_programStageName;dhis_programStageId;dhis_programStageOrgUnitCode;dhis_programStageEventDate;dhis_programStageDataElementName;dhis_programStageDataElementId;dhis_programMasterName;dhis_programMasterId;dhis_attributValueUniqueName;dhis_attributValueUniqueId;dhis_dataElementValueUniqueName;dhis_dataElementValueUniqueId;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;1;Code ASBC;Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;oui;;30.1.Code ASBC;tJEGAbo90wB;;;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;2;code Personne;Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;;30.2.Code personne;JYoSCoz2VRf;Registre PRISE EN CHARGE;kFjVC6CTFrK;Code personne;vadegRbcklv;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;3;code PEC;Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;;30.3.Code de prise en charge;kvQS9gw12Rn;;;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;4;Date de suivi;Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;oui;30.4.Date de suivi de la prise en charge;KJLd19cNjmu;;;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;5;Suivi pneumo incapable de boire ou teter;Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;;Suivi pneumo incapable de boire ou téter;hhfzBlLjkFt;;;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;6;Suivi pneumo vomit tout;Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;;Suivi pneumo vomit tout;khdTXsHStwn;;;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;7;Suivi pneumo convulsion;Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;;Suivi pneumo convulsions;fAQRZHMyQpN;;;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;8;Suivi pneumo lethargie inconscient;Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;;Suivi pneumo lethargie inconscient;nibS3rEyJ4t;;;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;9;Suivi pneumo respiration;Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;;Suivi pneumo difficultés respiratoires;NTHFiS5MDeH;;;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;10;Suivi pneumo alimentation;Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;;Suivi pneumo difficultés alimentation;digKV0rFOfp;;;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;11;Suivi pneumo medicaments;Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;;Suivi pneumo administration medicaments;fAQRZHMyQpN;;;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;12;Suivi pneumo tirage sous-costal;Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;;Suivi pneumo tirage sous-costal;hh5tVW4BkP5;;;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;13;Nombre de mouvements respiratoire par minute :;Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;;Nombre de mouvements respiratoire par minute;N1811JXp04u;;;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;14;Suivi diarrhée medicaments;Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;;Suivi diarrhée administration medicaments;ZLo0lpO9b5p;;;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;15;Suivi diarrhée diarrhée;Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;;Suivi diarrhée persistence diarrhée;CHKTluEQtv9;;;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;16;Suivi diarrhée sang selle;Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;;Suivi diarrhée sang dans les selles;jN1da5HVMuG;;;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;17;Suivi diarrhée alimentation;Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;;Suivi diarrhée difficultés alimentation;laaIEdZJfkC;;;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;18;Suivi diarrhée vomit tout;Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;;Suivi diarrhée vomit tout;f4fgqQEDl0B;;;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;19;Suivi diarrhée convulsion;Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;;Suivi diarrhée convulsions;sOjKtGl9C36;;;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;20;Suivi diarrhée lethargie inconscient;Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;;Suivi diarrhée lethargie inconscient;dReiAkLtBde;;;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;21;Suivi diarrhée yeux enfoncé;Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;;Suivi diarrhée yeux enfoncés;yX2ZCwhVaDh;;;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;22;Suivi diarrhée assoiffé;Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;;Suivi diarrhée assoiffé;cKDoUKAPxsD;;;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;23;Suivi diarrhée agité irritable;Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;;Suivi diarrhée agité irritable;imSbwDANn9H;;;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;24;Suivi diarrhée plis cutané;Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;;Suivi diarrhée plis cutanés;JApyu1G2loS;;;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;25;Suivi paludisme medicaments;Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;;Suivi palu administration medicaments;NWMUlArV018;;;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;26;Suivi paludisme fièvre;Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;;Suivi palu fièvre;mz3h58UvFhO;;;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;27;Suivi paludisme alimentation;Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;;Suivi palu difficultés alimentation;VALrhRRT9aG;;;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;28;Suivi paludisme vomit tout;Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;;Suivi palu vomit tout;cGtZE97cst1;;;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;29;Suivi paludisme convulsion;Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;;Suivi palu convulsions;JMDW3rx4GaF;;;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;30;Suivi paludisme lethargie inconscient;Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;;Suivi palu lethargie inconscient;ajKSm0xkM2d;;;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;31;Code opération;Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;;Code Opération;QEpj5yfYAej;;;;;Code Opération;QEpj5yfYAej;;;;;;;;;;;;;;;;;;;;
