ordreExecution;rapidpro_flowUuid;rapidpro_flowName;rapidpro_declancheur;rapidpro_position;rapidpro_name;dhis_eventName;dhis_eventId;dhis_eventOrgUnitCode;dhis_eventDate;dhis_eventDataElementName;dhis_eventDataElementId;dhis_valueUnique;dhis_assignValue;;;;;;;;;;;;
9;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;survevent;1;Code ASBC;Surveillance basée sur les évènements;bpmE6dMM37h;oui;;;;;;;;;;;;;;;;;
9;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;survevent;2;date de l'operation;Surveillance basée sur les évènements;bpmE6dMM37h;;oui;;;;;;;;;;;;;;;;
9;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;survevent;3;Une (01) personne ou plus atteintes de fièvre et de toux sévère (absentéisme ou hospitalisation);Surveillance basée sur les évènements;bpmE6dMM37h;;;8.2.1. Une (01) personne ou plus atteintes de fièvre et de toux sévère (absentéisme ou hospitalisation);nEzbdWAHM4H;;;;;;;;;;;;;;
9;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;survevent;4;Le décès ou maladie d’une personne moins d’une semaine après son arrivée d’un voyage hors du pays ou à l’intérieur du pays;Surveillance basée sur les évènements;bpmE6dMM37h;;;8.2.2. Le décès ou maladie d’une personne moins d’une semaine après son arrivée d’un voyage hors du pays ou à l’intérieur du pays;IUBaxIxAMcF;;;;;;;;;;;;;;
9;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;survevent;5;Un (01) ou plusieurs décès survenus dans le village causés par une infection respiratoire chez les personnes qui ont des contacts avec des animaux ou pas.;Surveillance basée sur les évènements;bpmE6dMM37h;;;8.2.3. Un (01) ou plusieurs décès survenus dans le village causés par une infection respiratoire chez les personnes qui ont des contacts avec des animaux ou pas;Rl2g5ic8udF;;;;;;;;;;;;;;
9;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;survevent;6;Toute condition médicale atypique du fait de sa fréquence et/ou de sa présentation clinique, y compris les malformations congénitales et les faiblesses musculaires chez des enfants.;Surveillance basée sur les évènements;bpmE6dMM37h;;;8.2.4. Toute condition médicale atypique du fait de sa fréquence et/ou de sa présentation clinique, y compris les malformations congénitales et les faiblesses musculaires chez des enfants;tysCJwn05qo;;;;;;;;;;;;;;
9;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;survevent;7;Décès inexpliqué d’un agent de la santé, des ressources animales, de l’environnement, de l’agriculture, d’un ASBC/VVV/ Ecogardes / Pisteurs, d’un tradipraticien de santé/animateur endogène.;Surveillance basée sur les évènements;bpmE6dMM37h;;;8.2.5. Décès inexpliqué d’un agent de la santé, des ressources animales, de l’environnement, de l’agriculture, d’un ASBC/VVV/ Ecogardes / Pisteurs, d’un tradipraticien de santé/animateur endogène;PyrvMv7G9ZV;;;;;;;;;;;;;;
9;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;survevent;8;Deux (02) décès inexpliqués ou plus dans la même semaine, parmi un groupe de personnes;Surveillance basée sur les évènements;bpmE6dMM37h;;;8.2.6. Deux (02) décès inexpliqués ou plus dans la même semaine, parmi un groupe de personnes;V205nABtbi1;;;;;;;;;;;;;;
9;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;survevent;9;Deux (02) ou plusieurs personnes deviennent malades après avoir pris part aux funérailles, mariages, baptêmes ou tout autre regroupement.;Surveillance basée sur les évènements;bpmE6dMM37h;;;8.2.7. Deux (02) ou plusieurs personnes deviennent malades après avoir pris part aux funérailles, mariages, baptêmes ou tout autre regroupement;ZPIdpv5EImR;;;;;;;;;;;;;;
9;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;survevent;10;La mort de plusieurs volailles et/ou autres animaux dans le même village/Aire faunique et dans la même semaine ou maladie de plusieurs animaux de retour de transhumance;Surveillance basée sur les évènements;bpmE6dMM37h;;;8.2.8. La mort de plusieurs volailles et/ou autres animaux dans le même village/Aire faunique et dans la même semaine ou maladie de plusieurs animaux de retour de transhumance;byWnFdHHTlm;;;;;;;;;;;;;;
9;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;survevent;11;Deux (02) personnes ou plus issues du même milieu, présentant les mêmes signes nécessitants qu’elles soient alitées ou hospitalisées;Surveillance basée sur les évènements;bpmE6dMM37h;;;8.2.9. Deux (02) personnes ou plus issues du même milieu, présentant les mêmes signes nécessitants qu’elles soient alitées ou hospitalisées;BjAcoTIZ49e;;;;;;;;;;;;;;
9;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;survevent;12;Décès ou maladies inexpliqués de plusieurs personnes d’une même concession ou d’une même communauté suite à la consommation d’aliments;Surveillance basée sur les évènements;bpmE6dMM37h;;;8.2.10. Décès ou maladies inexpliqués de plusieurs personnes d’une même concession ou d’une même communauté suite à la consommation d’aliments;SAaQhJ2MGBN;;;;;;;;;;;;;;
9;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;survevent;13;La mort de plusieurs animaux, oiseaux et poissons quelques heures après consommation d’herbe et d’eau très proche d’un lieu de jardinage congénitales;Surveillance basée sur les évènements;bpmE6dMM37h;;;8.2.11. La mort de plusieurs animaux, oiseaux et poissons quelques heures après consommation d’herbe et d’eau très proche d’un lieu de jardinage congénitales;e09mnVrP1lk;;;;;;;;;;;;;;
9;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;survevent;14;Tout évènement sanitaire créant une inquiétude ou une psychose dans la communauté;Surveillance basée sur les évènements;bpmE6dMM37h;;;8.2.12. Tout évènement sanitaire créant une inquiétude ou une psychose dans la communauté;XFllBPBDgcy;;;;;;;;;;;;;;
9;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;survevent;15;Code opération;Surveillance basée sur les évènements;bpmE6dMM37h;;;Code Opération;QEpj5yfYAej;oui;;;;;;;;;;;;;
