typePeriode;source_indicatorName;source_indicatorId;source_dataElementName;source_dataElementId;source_categorieComboName;source_categorieComboId;source_categorieComboOptionName;source_categorieComboOptionId;source_orgUnitName;source_orgUnitId;source_orgUnitGroupName;source_orgUnitGroupId;source_orgUnitOfProgramName;source_orgUnitOfProgramId;source_orgUnitOfDataSetName;source_orgUnitOfDataSetId;destination_dataElementName;destination_dataElementId;destination_categorieComboName;destination_categorieComboId;destination_categorieComboOptionName;destination_categorieComboOptionId;destination_orgUnitName;destination_orgUnitId;destination_orgUnitGroupName;destination_orgUnitGroupId;destination_orgUnitOfProgramName;destination_orgUnitOfProgramId;destination_orgUnitOfDataSetName;destination_orgUnitOfDataSetId
;;;;;DCAPS_VARIABLES;D9URQhBFIKO;QUANTITE DISPONIBLE ET UTILISABLE AU DEBUT;zOIWjNiyZiV;;;;;;;;;;;Produits TB & VIH;t014WNt683s;Quantité disponible et utilisable en début de période;JumQxAmfKZn;;;;;;;;
;;;VIH - LAMIVUDINE 150 BTE/60 cp;wlAsplIaBqp;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Molécule-3TC150-B60;ryB7P4B379V;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;VIH - ABACAVIR 300 BTE/60 cp;BS1pWgTT0W5;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Molécule-ABC 300 -B60;FRGCRoerKvk;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;VIH - ABACAVIR 120mg + LAMIVUDINE 60mg cp disp. B/30;TOrO607o9aO;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Molécule-ABC/3TC 120/60 -B30;vD6wfuVsXZY;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;VIH - ABACAVIR 600+LAMIVUDINE 300 BTE/30 cp;KlJeIzMkzp8;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Molécule-ABC/3TC 600/300 -B30;jenSLNMOkDn;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;VIH - ABACAVIR 600 mg+DOLUTEGRAVIR 50 mg+LAMIVUDINE 300 mg cp B/30;LvAqbIz8EFw;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Molécule-ABC/3TC/DTG 600/300/50 -B30;I74oUXNVcjt;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;VIH - ZIDOVUDINE 50MG/5ML FL/240 ML;gktm8FAYqcz;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Molécule-AZT sup 50mg/5ml- Flacon/240ml;Zlz1z3L2lDg;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;VIH - ZIDOVUDINE 300 + LAMIVUDINE 150 BTE/60 cp;TzRfcAVEluV;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Molécule-AZT/3TC 300/150 -B60;OfWhytTJ0p2;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;VIH - ZIDOVUDINE 60 + LAMIVUDINE 30 BTE/60 cp dispersible;o7ALXw6yGaJ;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Molécule-AZT/3TC 60/30-B60;CGqb7AhTV7E;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;VIH - Cotrimoxazole 480mg cp. blister;zY4UwYwBNzA;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Molécule-CTX480mg Cp;zBEgGSIYOO9;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;VIH - DARUNAVIR 600 BTE/60 cp;cvKU1oZ132h;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Molécule-DRV 600 -B60;J5hXc8cG8AB;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;VIH - DARUNAVIR+RITONAVIR 400MG+50MG TABLET 60S;ZMU4SrnrThw;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Molécule-DRV/r 400/50 -B60;OhAa8Ce8myU;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;VIH - DOLUTEGRAVIR 10 mg cp dispersible, bte/90;eduplWkvE1s;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Molécule-DTG 10 -B90;z7vBoIByboD;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;VIH - DOLUTEGRAVIR 50 mg comp.;lwH23CpIpQ0;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Molécule-DTG 50 -B30;vGRm1xqXyad;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;VIH - ETRAVIRINE 100 BTE/120 cp;zBArjgfaQ6C;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Molécule-ETV 100 -B30;SiFpPNRgkAm;Produits TB & VIH;t014WNt683s;;;;;;;;;;
