typePeriode;source_indicatorName;source_indicatorId;source_dataElementName;source_dataElementId;source_categorieComboName;source_categorieComboId;source_categorieComboOptionName;source_categorieComboOptionId;source_orgUnitName;source_orgUnitId;source_orgUnitGroupName;source_orgUnitGroupId;source_orgUnitOfProgramName;source_orgUnitOfProgramId;source_orgUnitOfDataSetName;source_orgUnitOfDataSetId;destination_dataElementName;destination_dataElementId;destination_categorieComboName;destination_categorieComboId;destination_categorieComboOptionName;destination_categorieComboOptionId;destination_orgUnitName;destination_orgUnitId;destination_orgUnitGroupName;destination_orgUnitGroupId;destination_orgUnitOfProgramName;destination_orgUnitOfProgramId;destination_orgUnitOfDataSetName;destination_orgUnitOfDataSetId
;;;;;DCAPS_VARIABLES;D9URQhBFIKO;QUANTITE RECUE;zXdjYgji4gq;;;;;;;;;;;Produits TB & VIH;t014WNt683s;Quantité reçue au cours de période;EzS3Dx3y8hP;;;;;;;;
;;;;;DCAPS_VARIABLES;D9URQhBFIKO;QUANTITE CONSOMMEE;DNnMkkBbHS7;;;;;;;;;;;Produits TB & VIH;t014WNt683s;Quantité distribuée aux patients au cours de la période;lBltZ65GUUH;;;;;;;;
;;;;;DCAPS_VARIABLES;D9URQhBFIKO;QUANTITE PERIMEE;uM58j6EIdJl;;;;;;;;;;;Produits TB & VIH;t014WNt683s;Quantité périmée au cours de la période;STOzMpWFByG;;;;;;;;
;;;;;DCAPS_VARIABLES;D9URQhBFIKO;QUANTITE AUTRES PERTES;GCO3yIRydt8;;;;;;;;;;;Produits TB & VIH;t014WNt683s;Autres pertes au cours de la période;TjJKEtBQHXQ;;;;;;;;
;;;;;DCAPS_VARIABLES;D9URQhBFIKO;NOMBRE DE JOURS DE RUPTURE DE STOCK;ZFbVBq6YOKO;;;;;;;;;;;Produits TB & VIH;t014WNt683s;Nombre de jours de rupture au cours de la période dans la FS;CiIxqakydgY;;;;;;;;
TRIMESTRIELLE;;;TB - KIT GENEXPERT - MTB CE - IVD-50 tests;X66f3iSzQSp;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;;;CDT-Cartouche de GeneXpert;MjnSF1BmWgJ;Produits TB & VIH;t014WNt683s;;;;;CDT;ziVhKnwibql;;;;
TRIMESTRIELLE;;;TB - Clofazimine (Cfz) 100 mg gel.;MkmFtGbXKJj;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;;;CDT-Clofazimine 100 mg Comprime;IMkPtSMBboG;Produits TB & VIH;t014WNt683s;;;;;CDT;ziVhKnwibql;;;;
TRIMESTRIELLE;;;TB - Crachoirs unit√©;Hae4dgOPjuq;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;;;CDT-Crachoir;aVVtmsf1ilh;Produits TB & VIH;t014WNt683s;;;;;CDT;ziVhKnwibql;;;;
TRIMESTRIELLE;;;TB - Cycloserine 125mg 100cap bl;q5b1b8IslT8;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;;;CDT-Cycloserine 125 mg Gelule;CbbsA6j1RWP;Produits TB & VIH;t014WNt683s;;;;;CDT;ziVhKnwibql;;;;
TRIMESTRIELLE;;;TB - Cyclos√©rine (Cs) 250 mg g√©l.;EK7BflWWPZU;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;;;CDT-Cycloserine 250 mg Gelule;bb2vDKAA5il;Produits TB & VIH;t014WNt683s;;;;;CDT;ziVhKnwibql;;;;
TRIMESTRIELLE;;;TB - Delamanide 50mg cp, blister;Uxbz0XSp34n;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;;;CDT-Delamanide 50 mg Comprime;huS4u8JBdty;Produits TB & VIH;t014WNt683s;;;;;CDT;ziVhKnwibql;;;;
TRIMESTRIELLE;;;TB - Ethambutol (E) 100 mg . cp;rLnfWTVzfqi;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;;;CDT-E 100 mg Comprime;UGavsXtwLd3;Produits TB & VIH;t014WNt683s;;;;;CDT;ziVhKnwibql;;;;
TRIMESTRIELLE;;;TB - Ethambutol (E) 400 mg . cp;S578DuTapzf;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;;;CDT-Ethambutol 400 mg Comprime;lurzLXRM9H5;Produits TB & VIH;t014WNt683s;;;;;CDT;ziVhKnwibql;;;;
TRIMESTRIELLE;;;TB - Ethionamide (Eto) 250 mg cp.;ZgyLnDSoAUg;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;;;CDT-Ethionamide 250 mg Comprime;VrwItvMlsqP;Produits TB & VIH;t014WNt683s;;;;;CDT;ziVhKnwibql;;;;
TRIMESTRIELLE;;;TB - Isoniazide (H) 100 mg cp.;wNBJAcimCkn;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;;;CDT-H 100 mg Comprime;MUhiYQ7CEuU;Produits TB & VIH;t014WNt683s;;;;;CDT;ziVhKnwibql;;;;
TRIMESTRIELLE;;;TB - Isoniazide (H) 300 mg cp.;keWfEjSNFei;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;;;CDT-H 300 mg Comprime;LKgSgXga8Tz;Produits TB & VIH;t014WNt683s;;;;;CDT;ziVhKnwibql;;;;
TRIMESTRIELLE;;;TB - Levofloxacine 100mg cp, blister, dispersible;MzAAHaAvR3M;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;;;CDT-Levofloxacine 100 mg Comprime;lLCeRysxy75;Produits TB & VIH;t014WNt683s;;;;;CDT;ziVhKnwibql;;;;
TRIMESTRIELLE;;;TB - Levofloxcine (Lfx) 250 mg cp.;b7aLKoH7O9K;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;;;CDT-Levofloxacine 250 mg Comprime;JQJu0tOHm1R;Produits TB & VIH;t014WNt683s;;;;;CDT;ziVhKnwibql;;;;
TRIMESTRIELLE;;;TB - Moxifloxacine (Mfx) 400mg cp.;PyzUbVw2gRQ;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;;;CDT-Moxifloxacine 400 mg Comprime;R8LmjNRrfBU;Produits TB & VIH;t014WNt683s;;;;;CDT;ziVhKnwibql;;;;
TRIMESTRIELLE;;;TB - Linezolid 600mg bte/10;gLR8XWJeEAm;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;;;CDT-Linézolide 600 mg comprime;sAguMAwThFk;Produits TB & VIH;t014WNt683s;;;;;CDT;ziVhKnwibql;;;;
TRIMESTRIELLE;;;TB - Linezolid 150mg dispersible tablet;dxgqPWrXGDH;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;;;CDT-Linézolide 150 mg comprime;QuGtIRltN57;Produits TB & VIH;t014WNt683s;;;;;CDT;ziVhKnwibql;;;;
TRIMESTRIELLE;;;TB - Prothionamide (Pto) 250 mg cp;I7fxHuuIQek;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;;;CDT-Prothionamide 250 mg Comprime;hbi8bQndNty;Produits TB & VIH;t014WNt683s;;;;;CDT;ziVhKnwibql;;;;
TRIMESTRIELLE;;;TB - Pyrazinamide (Z) 400 mg cp.;gGbA42iJLmY;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;;;CDT-Pyrazinamide 400 mg Comprime;zA2sCxpnovO;Produits TB & VIH;t014WNt683s;;;;;CDT;ziVhKnwibql;;;;
TRIMESTRIELLE;;;TB - Pyrazinamide (Z) 150 mg cp dispersible;M0kbFWeIbV0;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;;;CDT-Pyrazinamide 150 mg cp comprime;ZBAfxj80yeP;Produits TB & VIH;t014WNt683s;;;;;CDT;ziVhKnwibql;;;;
TRIMESTRIELLE;;;TB - Rifampicine+Isoniazide (RH) (150/75) mg cp;DfjLAPxFe0R;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;;;CDT-RH 150/75 mg Comprime;T0pPOPFlU26;Produits TB & VIH;t014WNt683s;;;;;CDT;ziVhKnwibql;;;;
TRIMESTRIELLE;;;TB - Rifampicine+Isoniazide (RH) (75/50) mg cp dispersible.;lY1m7CfnlYc;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;;;CDT-RH 75/50 mg Comprime;NkLWy6J1z67;Produits TB & VIH;t014WNt683s;;;;;CDT;ziVhKnwibql;;;;
TRIMESTRIELLE;;;TB - Rifampicine+Isoniazide+ Pyrazinamide (RHZ) (75/50/150) mg cp;sh8pGXbZYl1;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;;;CDT-RHZ 75/50/150 mg Comprime;RB5h7Fht5kB;Produits TB & VIH;t014WNt683s;;;;;CDT;ziVhKnwibql;;;;
TRIMESTRIELLE;;;TB - Rifampicine+Isoniazide+ Pyrazinamide+Ethambutol (RHZE) (150/75/400/275) mg cp.;ftzGuCwHbRS;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;;;CDT-RHZE 150/75/400/275 mg Comprime;nfTgFJEdhVm;Produits TB & VIH;t014WNt683s;;;;;CDT;ziVhKnwibql;;;;
TRIMESTRIELLE;TB - Alcool-acide Auramine 0.5%_QUANTITE RECUE;i8KhZNC8QZT;;;;;;;;;;;;;;;CDT-Alcool-acide Auramine 0.5%;CM2jD4kZKt1;;;Quantité reçue au cours de période;EzS3Dx3y8hP;;;CDT;ziVhKnwibql;;;;
TRIMESTRIELLE;TB - Alcool-acide Auramine 0.5%_QUANTITE CONSOMMEE;nahnMYVTOsj;;;;;;;;;;;;;;;CDT-Alcool-acide Auramine 0.5%;CM2jD4kZKt1;;;Quantité distribuée aux patients au cours de la période;lBltZ65GUUH;;;CDT;ziVhKnwibql;;;;
TRIMESTRIELLE;TB - Alcool-acide Auramine 0.5%_QUANTITE PERIMEE;FWICw8qzFEz;;;;;;;;;;;;;;;CDT-Alcool-acide Auramine 0.5%;CM2jD4kZKt1;;;Quantité périmée au cours de la période;STOzMpWFByG;;;CDT;ziVhKnwibql;;;;
TRIMESTRIELLE;TB - Alcool-acide Auramine 0.5%_QUANTITE AUTRES PERTES;VyhUjWhVjfG;;;;;;;;;;;;;;;CDT-Alcool-acide Auramine 0.5%;CM2jD4kZKt1;;;Autres pertes au cours de la période;TjJKEtBQHXQ;;;CDT;ziVhKnwibql;;;;
TRIMESTRIELLE;TB - Alcool-acide Auramine 0.5%_NOMBRE DE JOURS DE RUPTURE DE STOCK;HOzIp3CpFal;;;;;;;;;;;;;;;CDT-Alcool-acide Auramine 0.5%;CM2jD4kZKt1;;;Nombre de jours de rupture au cours de la période dans la FS;CiIxqakydgY;;;CDT;ziVhKnwibql;;;;
TRIMESTRIELLE;TB - Auramine O Litre_QUANTITE RECUE;u1lmwIf1eLw;;;;;;;;;;;;;;;CDT-Auramine O Litre;ubRZWJi1wua;;;Quantité reçue au cours de période;EzS3Dx3y8hP;;;CDT;ziVhKnwibql;;;;
TRIMESTRIELLE;TB - Auramine O Litre_QUANTITE CONSOMMEE;xeGsUxIgC4C;;;;;;;;;;;;;;;CDT-Auramine O Litre;ubRZWJi1wua;;;Quantité distribuée aux patients au cours de la période;lBltZ65GUUH;;;CDT;ziVhKnwibql;;;;
TRIMESTRIELLE;TB - Auramine O Litre_QUANTITE PERIMEE;Ivcc0f3TkUN;;;;;;;;;;;;;;;CDT-Auramine O Litre;ubRZWJi1wua;;;Quantité périmée au cours de la période;STOzMpWFByG;;;CDT;ziVhKnwibql;;;;
TRIMESTRIELLE;TB - Auramine O Litre_QUANTITE AUTRES PERTES;gSwtDuP2Kcf;;;;;;;;;;;;;;;CDT-Auramine O Litre;ubRZWJi1wua;;;Autres pertes au cours de la période;TjJKEtBQHXQ;;;CDT;ziVhKnwibql;;;;
TRIMESTRIELLE;TB - Auramine O Litre_NOMBRE DE JOURS DE RUPTURE DE STOCK;PMpe965NFUf;;;;;;;;;;;;;;;CDT-Auramine O Litre;ubRZWJi1wua;;;Nombre de jours de rupture au cours de la période dans la FS;CiIxqakydgY;;;CDT;ziVhKnwibql;;;;
TRIMESTRIELLE;TB - Bleu de methylene Litre_QUANTITE RECUE;t5jSN4lRdwy;;;;;;;;;;;;;;;CDT-Bleu de methylene Litre;Am7qXhGvnWF;;;Quantité reçue au cours de période;EzS3Dx3y8hP;;;CDT;ziVhKnwibql;;;;
TRIMESTRIELLE;TB - Bleu de methylene Litre_QUANTITE CONSOMMEE;melF0AhWqwt;;;;;;;;;;;;;;;CDT-Bleu de methylene Litre;Am7qXhGvnWF;;;Quantité distribuée aux patients au cours de la période;lBltZ65GUUH;;;CDT;ziVhKnwibql;;;;
TRIMESTRIELLE;TB - Bleu de methylene Litre_QUANTITE PERIMEE;keWdNnMeYWV;;;;;;;;;;;;;;;CDT-Bleu de methylene Litre;Am7qXhGvnWF;;;Quantité périmée au cours de la période;STOzMpWFByG;;;CDT;ziVhKnwibql;;;;
TRIMESTRIELLE;TB - Bleu de methylene Litre_QUANTITE AUTRES PERTES;g8rNjNSfUgu;;;;;;;;;;;;;;;CDT-Bleu de methylene Litre;Am7qXhGvnWF;;;Autres pertes au cours de la période;TjJKEtBQHXQ;;;CDT;ziVhKnwibql;;;;
TRIMESTRIELLE;TB - Bleu de methylene Litre_NOMBRE DE JOURS DE RUPTURE DE STOCK;eMERhPiPUmd;;;;;;;;;;;;;;;CDT-Bleu de methylene Litre;Am7qXhGvnWF;;;Nombre de jours de rupture au cours de la période dans la FS;CiIxqakydgY;;;CDT;ziVhKnwibql;;;;
