typePeriode;source_indicatorName;source_indicatorId;source_dataElementName;source_dataElementId;source_categorieComboName;source_categorieComboId;source_categorieComboOptionName;source_categorieComboOptionId;source_orgUnitName;source_orgUnitId;source_orgUnitGroupName;source_orgUnitGroupId;source_orgUnitOfProgramName;source_orgUnitOfProgramId;source_orgUnitOfDataSetName;source_orgUnitOfDataSetId;destination_dataElementName;destination_dataElementId;destination_categorieComboName;destination_categorieComboId;destination_categorieComboOptionName;destination_categorieComboOptionId;destination_orgUnitName;destination_orgUnitId;destination_orgUnitGroupName;destination_orgUnitGroupId;destination_orgUnitOfProgramName;destination_orgUnitOfProgramId;destination_orgUnitOfDataSetName;destination_orgUnitOfDataSetId
;;;;;DCAPS_VARIABLES;D9URQhBFIKO;QUANTITE DISPONIBLE ET UTILISABLE AU DEBUT;zOIWjNiyZiV;;;;;;;;;;;Produits TB & VIH;t014WNt683s;Quantité disponible et utilisable en début de période;JumQxAmfKZn;;;;;;;;
;;;TB - KIT GENEXPERT - MTB CE - IVD-50 tests;X66f3iSzQSp;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;CDT-Cartouche de GeneXpert;MjnSF1BmWgJ;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;TB - Clofazimine (Cfz) 100 mg gel.;MkmFtGbXKJj;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;CDT-Clofazimine 100 mg Comprime;IMkPtSMBboG;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;TB - Crachoirs unit√©;Hae4dgOPjuq;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;CDT-Crachoir;aVVtmsf1ilh;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;TB - Cycloserine 125mg 100cap bl;q5b1b8IslT8;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;CDT-Cycloserine 125 mg Gelule;CbbsA6j1RWP;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;TB - Cyclos√©rine (Cs) 250 mg g√©l.;EK7BflWWPZU;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;CDT-Cycloserine 250 mg Gelule;bb2vDKAA5il;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;TB - Delamanide 50mg cp, blister;Uxbz0XSp34n;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;CDT-Delamanide 50 mg Comprime;huS4u8JBdty;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;TB - Ethambutol (E) 100 mg . cp;rLnfWTVzfqi;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;CDT-E 100 mg Comprime;UGavsXtwLd3;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;TB - Ethambutol (E) 400 mg . cp;S578DuTapzf;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;CDT-Ethambutol 400 mg Comprime;lurzLXRM9H5;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;TB - Ethionamide (Eto) 250 mg cp.;ZgyLnDSoAUg;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;CDT-Ethionamide 250 mg Comprime;VrwItvMlsqP;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;TB - Isoniazide (H) 100 mg cp.;wNBJAcimCkn;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;CDT-H 100 mg Comprime;MUhiYQ7CEuU;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;TB - Isoniazide (H) 300 mg cp.;keWfEjSNFei;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;CDT-H 300 mg Comprime;LKgSgXga8Tz;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;TB - Levofloxacine 100mg cp, blister, dispersible;MzAAHaAvR3M;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;CDT-Levofloxacine 100 mg Comprime;lLCeRysxy75;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;TB - Levofloxcine (Lfx) 250 mg cp.;b7aLKoH7O9K;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;CDT-Levofloxacine 250 mg Comprime;JQJu0tOHm1R;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;TB - Moxifloxacine (Mfx) 400mg cp.;PyzUbVw2gRQ;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;CDT-Moxifloxacine 400 mg Comprime;R8LmjNRrfBU;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;TB - Linezolid 600mg bte/10;gLR8XWJeEAm;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;CDT-Linézolide 600 mg comprime;sAguMAwThFk;Produits TB & VIH;t014WNt683s;;;;;;;;;;
