typePeriode;source_indicatorName;source_indicatorId;source_dataElementName;source_dataElementId;source_categorieComboName;source_categorieComboId;source_categorieComboOptionName;source_categorieComboOptionId;source_orgUnitName;source_orgUnitId;source_orgUnitGroupName;source_orgUnitGroupId;source_orgUnitOfProgramName;source_orgUnitOfProgramId;source_orgUnitOfDataSetName;source_orgUnitOfDataSetId;destination_dataElementName;destination_dataElementId;destination_categorieComboName;destination_categorieComboId;destination_categorieComboOptionName;destination_categorieComboOptionId;destination_orgUnitName;destination_orgUnitId;destination_orgUnitGroupName;destination_orgUnitGroupId;destination_orgUnitOfProgramName;destination_orgUnitOfProgramId;destination_orgUnitOfDataSetName;destination_orgUnitOfDataSetId
;;;;;DCAPS_VARIABLES;D9URQhBFIKO;QUANTITE DISPONIBLE ET UTILISABLE EN FIN;UQvRh6COF1P;;;;;;;;;;;Produits TB & VIH;t014WNt683s;Stock disponible et utilisable en fin de période dans la FS;t0lB4xvkNne;;;;;;;;
;;;TB - KIT GENEXPERT - MTB CE - IVD-50 tests;X66f3iSzQSp;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;CDT-Cartouche de GeneXpert;MjnSF1BmWgJ;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;TB - Clofazimine (Cfz) 100 mg gel.;MkmFtGbXKJj;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;CDT-Clofazimine 100 mg Comprime;IMkPtSMBboG;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;TB - Crachoirs unit√©;Hae4dgOPjuq;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;CDT-Crachoir;aVVtmsf1ilh;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;TB - Cycloserine 125mg 100cap bl;q5b1b8IslT8;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;CDT-Cycloserine 125 mg Gelule;CbbsA6j1RWP;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;TB - Cyclos√©rine (Cs) 250 mg g√©l.;EK7BflWWPZU;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;CDT-Cycloserine 250 mg Gelule;bb2vDKAA5il;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;TB - Delamanide 50mg cp, blister;Uxbz0XSp34n;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;CDT-Delamanide 50 mg Comprime;huS4u8JBdty;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;TB - Ethambutol (E) 100 mg . cp;rLnfWTVzfqi;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;CDT-E 100 mg Comprime;UGavsXtwLd3;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;TB - Ethambutol (E) 400 mg . cp;S578DuTapzf;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;CDT-Ethambutol 400 mg Comprime;lurzLXRM9H5;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;TB - Ethionamide (Eto) 250 mg cp.;ZgyLnDSoAUg;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;CDT-Ethionamide 250 mg Comprime;VrwItvMlsqP;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;TB - Isoniazide (H) 100 mg cp.;wNBJAcimCkn;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;CDT-H 100 mg Comprime;MUhiYQ7CEuU;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;TB - Isoniazide (H) 300 mg cp.;keWfEjSNFei;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;CDT-H 300 mg Comprime;LKgSgXga8Tz;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;TB - Levofloxacine 100mg cp, blister, dispersible;MzAAHaAvR3M;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;CDT-Levofloxacine 100 mg Comprime;lLCeRysxy75;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;TB - Levofloxcine (Lfx) 250 mg cp.;b7aLKoH7O9K;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;CDT-Levofloxacine 250 mg Comprime;JQJu0tOHm1R;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;TB - Moxifloxacine (Mfx) 400mg cp.;PyzUbVw2gRQ;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;CDT-Moxifloxacine 400 mg Comprime;R8LmjNRrfBU;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;TB - Linezolid 600mg bte/10;gLR8XWJeEAm;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;CDT-Linézolide 600 mg comprime;sAguMAwThFk;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;TB - Linezolid 150mg dispersible tablet;dxgqPWrXGDH;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;CDT-Linézolide 150 mg comprime;QuGtIRltN57;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;TB - Prothionamide (Pto) 250 mg cp;I7fxHuuIQek;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;CDT-Prothionamide 250 mg Comprime;hbi8bQndNty;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;TB - Pyrazinamide (Z) 400 mg cp.;gGbA42iJLmY;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;CDT-Pyrazinamide 400 mg Comprime;zA2sCxpnovO;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;TB - Pyrazinamide (Z) 150 mg cp dispersible;M0kbFWeIbV0;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;CDT-Pyrazinamide 150 mg cp comprime;ZBAfxj80yeP;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;TB - Rifampicine+Isoniazide (RH) (150/75) mg cp;DfjLAPxFe0R;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;CDT-RH 150/75 mg Comprime;T0pPOPFlU26;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;TB - Rifampicine+Isoniazide (RH) (75/50) mg cp dispersible.;lY1m7CfnlYc;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;CDT-RH 75/50 mg Comprime;NkLWy6J1z67;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;TB - Rifampicine+Isoniazide+ Pyrazinamide (RHZ) (75/50/150) mg cp;sh8pGXbZYl1;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;CDT-RHZ 75/50/150 mg Comprime;RB5h7Fht5kB;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;TB - Rifampicine+Isoniazide+ Pyrazinamide+Ethambutol (RHZE) (150/75/400/275) mg cp.;ftzGuCwHbRS;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;CDT-RHZE 150/75/400/275 mg Comprime;nfTgFJEdhVm;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;TB - Alcool-acide Auramine 0.5%_QUANTITE DISPONIBLE ET UTILISABLE EN FIN;CsxA3x2V4BO;;;;;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;CDT-Alcool-acide Auramine 0.5%;CM2jD4kZKt1;;;Stock disponible et utilisable en fin de période dans la FS;t0lB4xvkNne;;;;;;;;
;TB - Auramine O Litre_QUANTITE DISPONIBLE ET UTILISABLE EN FIN;z42QVJ2YlGG;;;;;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;CDT-Auramine O Litre;ubRZWJi1wua;;;Stock disponible et utilisable en fin de période dans la FS;t0lB4xvkNne;;;;;;;;
;TB - Bleu de methylene Litre_QUANTITE DISPONIBLE ET UTILISABLE EN FIN;U3vTvRI1HVX;;;;;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;CDT-Bleu de methylene Litre;Am7qXhGvnWF;;;Stock disponible et utilisable en fin de période dans la FS;t0lB4xvkNne;;;;;;;;
;TB - Fuschine de Ziehl Litre_QUANTITE DISPONIBLE ET UTILISABLE EN FIN;D7BxBMBz3L2;;;;;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;CDT-Fuschine de Ziehl Litre;DbUCYPuwOKE;;;Stock disponible et utilisable en fin de période dans la FS;t0lB4xvkNne;;;;;;;;
;TB - Lames porte-objets_QUANTITE DISPONIBLE ET UTILISABLE EN FIN;Ikhzn823u9x;;;;;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;CDT-Lames porte-objets;RHEngNvwHGz;;;Stock disponible et utilisable en fin de période dans la FS;t0lB4xvkNne;;;;;;;;
;TB - Clofazimine 50mg comp_QUANTITE DISPONIBLE ET UTILISABLE EN FIN;Gd4e7kTqyfo;;;;;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;CDT-Clofazimine 50 mg Comprime;yvzVaaj3Ggc;;;Stock disponible et utilisable en fin de période dans la FS;t0lB4xvkNne;;;;;;;;
