typePeriode;source_indicatorName;source_indicatorId;source_dataElementName;source_dataElementId;source_categorieComboName;source_categorieComboId;source_categorieComboOptionName;source_categorieComboOptionId;source_orgUnitName;source_orgUnitId;source_orgUnitGroupName;source_orgUnitGroupId;source_orgUnitOfProgramName;source_orgUnitOfProgramId;source_orgUnitOfDataSetName;source_orgUnitOfDataSetId;destination_dataElementName;destination_dataElementId;destination_categorieComboName;destination_categorieComboId;destination_categorieComboOptionName;destination_categorieComboOptionId;destination_orgUnitName;destination_orgUnitId;destination_orgUnitGroupName;destination_orgUnitGroupId;destination_orgUnitOfProgramName;destination_orgUnitOfProgramId;destination_orgUnitOfDataSetName;destination_orgUnitOfDataSetId
;;;;;DCAPS_VARIABLES;D9URQhBFIKO;QUANTITE DISPONIBLE ET UTILISABLE AU DEBUT;zOIWjNiyZiV;;;;;;;;;;;Produits TB & VIH;t014WNt683s;Quantité disponible et utilisable en début de période;JumQxAmfKZn;;;;;;;;
;;;;;DCAPS_VARIABLES;D9URQhBFIKO;QUANTITE RECUE;zXdjYgji4gq;;;;;;;;;;;Produits TB & VIH;t014WNt683s;Quantité reçue au cours de période;EzS3Dx3y8hP;;;;;;;;
;;;;;DCAPS_VARIABLES;D9URQhBFIKO;QUANTITE CONSOMMEE;DNnMkkBbHS7;;;;;;;;;;;Produits TB & VIH;t014WNt683s;Quantité distribuée aux patients au cours de la période;lBltZ65GUUH;;;;;;;;
;;;;;DCAPS_VARIABLES;D9URQhBFIKO;QUANTITE PERIMEE;uM58j6EIdJl;;;;;;;;;;;Produits TB & VIH;t014WNt683s;Quantité périmée au cours de la période;STOzMpWFByG;;;;;;;;
;;;;;DCAPS_VARIABLES;D9URQhBFIKO;QUANTITE AUTRES PERTES;GCO3yIRydt8;;;;;;;;;;;Produits TB & VIH;t014WNt683s;Autres pertes au cours de la période;TjJKEtBQHXQ;;;;;;;;
;;;;;DCAPS_VARIABLES;D9URQhBFIKO;QUANTITE DISPONIBLE ET UTILISABLE EN FIN;UQvRh6COF1P;;;;;;;;;;;Produits TB & VIH;t014WNt683s;Stock disponible et utilisable en fin de période dans la FS;t0lB4xvkNne;;;;;;;;
;;;;;DCAPS_VARIABLES;D9URQhBFIKO;NOMBRE DE JOURS DE RUPTURE DE STOCK;ZFbVBq6YOKO;;;;;;;;;;;Produits TB & VIH;t014WNt683s;Nombre de jours de rupture au cours de la période dans la FS;CiIxqakydgY;;;;;;;;
MENSUELLE;;;MEG - Acide acétique glacial;tWpYHYONzxt;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Intrant- Acide acetique solution;LHSCNSrcjQ0;Produits TB & VIH;t014WNt683s;;;;;;;;;;
MENSUELLE;;;MEG - Allopurinol 100mg cp. blister;Y7HkcQ7tVi7;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Intrant- Allopurinol 100mg cp;VBpuqDvbSaQ;Produits TB & VIH;t014WNt683s;;;;;;;;;;
MENSUELLE;;;MEG - Amoxicilline + acide clavulanique (500+62,5)mg comp blister;afafXmDrGcw;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Intrant-Amoxicilline + acide clavulaniq 500mg cp;EEX3xTGDU5h;Produits TB & VIH;t014WNt683s;;;;;;;;;;
