typePeriode;source_indicatorName;source_indicatorId;source_dataElementName;source_dataElementId;source_categorieComboName;source_categorieComboId;source_categorieComboOptionName;source_categorieComboOptionId;source_dimensionName;source_dimensionId;source_orgUnitName;source_orgUnitId;source_orgUnitGroupName;source_orgUnitGroupId;source_orgUnitOfProgramName;source_orgUnitOfProgramId;source_orgUnitOfDataSetName;source_orgUnitOfDataSetId;destination_dataElementName;destination_dataElementId;destination_categorieComboName;destination_categorieComboId;destination_categorieComboOptionName;destination_categorieComboOptionId;destination_orgUnitName;destination_orgUnitId;destination_orgUnitGroupName;destination_orgUnitGroupId;destination_orgUnitOfProgramName;destination_orgUnitOfProgramId;destination_orgUnitOfDataSetName;destination_orgUnitOfDataSetId
;;;;;DCAPS_VARIABLES;D9URQhBFIKO;QUANTITE RECUE;zXdjYgji4gq;;;;;;;;;;;;;Produits TB & VIH;t014WNt683s;Quantité reçue au cours de période;EzS3Dx3y8hP;;;;;;;;
;;;;;DCAPS_VARIABLES;D9URQhBFIKO;QUANTITE LIVREE;qcbvtZWfC2n;;;;;;;;;;;;;Produits TB & VIH;t014WNt683s;Quantité distribuée aux patients au cours de la période;lBltZ65GUUH;;;;;;;;
;;;;;DCAPS_VARIABLES;D9URQhBFIKO;QUANTITE PERIMEE;uM58j6EIdJl;;;;;;;;;;;;;Produits TB & VIH;t014WNt683s;Quantité périmée au cours de la période;STOzMpWFByG;;;;;;;;
;;;;;DCAPS_VARIABLES;D9URQhBFIKO;QUANTITE AUTRES PERTES;GCO3yIRydt8;;;;;;;;;;;;;Produits TB & VIH;t014WNt683s;Autres pertes au cours de la période;TjJKEtBQHXQ;;;;;;;;
;;;;;DCAPS_VARIABLES;D9URQhBFIKO;NOMBRE DE JOURS DE RUPTURE DE STOCK;ZFbVBq6YOKO;;;;;;;;;;;;;Produits TB & VIH;t014WNt683s;Nombre de jours de rupture au cours de la période dans la FS;CiIxqakydgY;;;;;;;;
TRIMESTRIELLE;;;TB - Bedaquiline 100mg comp;PagoyrtFGQW;DCAPS_VARIABLES;D9URQhBFIKO;;;DRD FACILITY;g0Gyxccwfzq:YuECXO8V4mr;;;;;;;NetSIGL 2 DRD Dataset;gb2U7Q4Eoxp;DRD-Bedaquilline 100 mg Comprime;p95shgwPi9U;Produits TB & VIH;t014WNt683s;;;;;;;;;;
TRIMESTRIELLE;;;TB - KIT GENEXPERT - MTB CE - IVD-50 tests;X66f3iSzQSp;DCAPS_VARIABLES;D9URQhBFIKO;;;DRD FACILITY;g0Gyxccwfzq:YuECXO8V4mr;;;;;;;NetSIGL 2 DRD Dataset;gb2U7Q4Eoxp;DRD-Cartouche de GeneXpert MTB /RIF Ultra;pyTSC2y6CVi;Produits TB & VIH;t014WNt683s;;;;;;;;;;
TRIMESTRIELLE;;;TB - Clofazimine (Cfz) 100 mg gel.;MkmFtGbXKJj;DCAPS_VARIABLES;D9URQhBFIKO;;;DRD FACILITY;g0Gyxccwfzq:YuECXO8V4mr;;;;;;;NetSIGL 2 DRD Dataset;gb2U7Q4Eoxp;DRD-Clofazimine 100 mg Comprime;KgexhvMpTe2;Produits TB & VIH;t014WNt683s;;;;;;;;;;
TRIMESTRIELLE;;;TB - Crachoirs unité;Hae4dgOPjuq;DCAPS_VARIABLES;D9URQhBFIKO;;;DRD FACILITY;g0Gyxccwfzq:YuECXO8V4mr;;;;;;;NetSIGL 2 DRD Dataset;gb2U7Q4Eoxp;DRD-Crachoir;zlPQFC58X4i;Produits TB & VIH;t014WNt683s;;;;;;;;;;
TRIMESTRIELLE;;;TB - Cycloserine 125mg 100cap bl;q5b1b8IslT8;DCAPS_VARIABLES;D9URQhBFIKO;;;DRD FACILITY;g0Gyxccwfzq:YuECXO8V4mr;;;;;;;NetSIGL 2 DRD Dataset;gb2U7Q4Eoxp;DRD-Cycloserine 125 mg Gelule;R5ubofnUmds;Produits TB & VIH;t014WNt683s;;;;;;;;;;
TRIMESTRIELLE;;;TB - Cyclosérine (Cs) 250 mg gél.;EK7BflWWPZU;DCAPS_VARIABLES;D9URQhBFIKO;;;DRD FACILITY;g0Gyxccwfzq:YuECXO8V4mr;;;;;;;NetSIGL 2 DRD Dataset;gb2U7Q4Eoxp;DRD-Cycloserine 250 mg Gelule;im7ajco3KYd;Produits TB & VIH;t014WNt683s;;;;;;;;;;
TRIMESTRIELLE;;;TB - Delamanide 50mg cp, blister;Uxbz0XSp34n;DCAPS_VARIABLES;D9URQhBFIKO;;;DRD FACILITY;g0Gyxccwfzq:YuECXO8V4mr;;;;;;;NetSIGL 2 DRD Dataset;gb2U7Q4Eoxp;DRD-Delamanide 50 mg Comprime;xmaYYOYhrWH;Produits TB & VIH;t014WNt683s;;;;;;;;;;
TRIMESTRIELLE;;;TB - Ethambutol (E) 100 mg . cp;rLnfWTVzfqi;DCAPS_VARIABLES;D9URQhBFIKO;;;DRD FACILITY;g0Gyxccwfzq:YuECXO8V4mr;;;;;;;NetSIGL 2 DRD Dataset;gb2U7Q4Eoxp;DRD-E 100 mg Comprime;VfQrtAhhENQ;Produits TB & VIH;t014WNt683s;;;;;;;;;;
TRIMESTRIELLE;;;TB - Ethambutol (E) 400 mg . cp;S578DuTapzf;DCAPS_VARIABLES;D9URQhBFIKO;;;DRD FACILITY;g0Gyxccwfzq:YuECXO8V4mr;;;;;;;NetSIGL 2 DRD Dataset;gb2U7Q4Eoxp;DRD-Ethambutol 400 mg Comprime;c86BLd4zxdv;Produits TB & VIH;t014WNt683s;;;;;;;;;;
TRIMESTRIELLE;;;TB - Isoniazide (H) 100 mg cp.;wNBJAcimCkn;DCAPS_VARIABLES;D9URQhBFIKO;;;DRD FACILITY;g0Gyxccwfzq:YuECXO8V4mr;;;;;;;NetSIGL 2 DRD Dataset;gb2U7Q4Eoxp;DRD-H 100 mg Comprime;Y6U09BNNxCj;Produits TB & VIH;t014WNt683s;;;;;;;;;;
TRIMESTRIELLE;;;TB - Isoniazide (H) 300 mg cp.;keWfEjSNFei;DCAPS_VARIABLES;D9URQhBFIKO;;;DRD FACILITY;g0Gyxccwfzq:YuECXO8V4mr;;;;;;;NetSIGL 2 DRD Dataset;gb2U7Q4Eoxp;DRD-H 300 mg Comprime;jKAEgvFN8wD;Produits TB & VIH;t014WNt683s;;;;;;;;;;
TRIMESTRIELLE;;;TB - Levofloxacine 100mg cp, blister, dispersible;MzAAHaAvR3M;DCAPS_VARIABLES;D9URQhBFIKO;;;DRD FACILITY;g0Gyxccwfzq:YuECXO8V4mr;;;;;;;NetSIGL 2 DRD Dataset;gb2U7Q4Eoxp;DRD-Levofloxacine 100 mg Comprime;pbDsLsCEJSO;Produits TB & VIH;t014WNt683s;;;;;;;;;;
TRIMESTRIELLE;;;TB - Levofloxcine (Lfx) 250 mg cp.;b7aLKoH7O9K;DCAPS_VARIABLES;D9URQhBFIKO;;;DRD FACILITY;g0Gyxccwfzq:YuECXO8V4mr;;;;;;;NetSIGL 2 DRD Dataset;gb2U7Q4Eoxp;DRD-Levofloxacine 250 mg Comprime;lXbugfvdFBm;Produits TB & VIH;t014WNt683s;;;;;;;;;;
TRIMESTRIELLE;;;TB - Linezolid 600mg bte/10;gLR8XWJeEAm;DCAPS_VARIABLES;D9URQhBFIKO;;;DRD FACILITY;g0Gyxccwfzq:YuECXO8V4mr;;;;;;;NetSIGL 2 DRD Dataset;gb2U7Q4Eoxp;DRD-Linezolide 600 mg;XlBWCW4hBTq;Produits TB & VIH;t014WNt683s;;;;;;;;;;
TRIMESTRIELLE;;;TB - Linezolid 150mg dispersible tablet;dxgqPWrXGDH;DCAPS_VARIABLES;D9URQhBFIKO;;;DRD FACILITY;g0Gyxccwfzq:YuECXO8V4mr;;;;;;;NetSIGL 2 DRD Dataset;gb2U7Q4Eoxp;DRD-Linezolide 150 mg;SixpRA4cOX0;Produits TB & VIH;t014WNt683s;;;;;;;;;;
TRIMESTRIELLE;;;TB - Moxifloxacine (Mfx) 400mg cp.;PyzUbVw2gRQ;DCAPS_VARIABLES;D9URQhBFIKO;;;DRD FACILITY;g0Gyxccwfzq:YuECXO8V4mr;;;;;;;NetSIGL 2 DRD Dataset;gb2U7Q4Eoxp;DRD-Moxifloxacine 400 mg Comprime;mV21Z80hZOd;Produits TB & VIH;t014WNt683s;;;;;;;;;;
TRIMESTRIELLE;;;TB - Prothionamide (Pto) 250 mg cp;I7fxHuuIQek;DCAPS_VARIABLES;D9URQhBFIKO;;;DRD FACILITY;g0Gyxccwfzq:YuECXO8V4mr;;;;;;;NetSIGL 2 DRD Dataset;gb2U7Q4Eoxp;DRD-Prothionamide 250 mg Comprime;WnfREVzADyy;Produits TB & VIH;t014WNt683s;;;;;;;;;;
TRIMESTRIELLE;;;TB - Pretomanid 200 mg Cp;PP4fG29GrC0;DCAPS_VARIABLES;D9URQhBFIKO;;;DRD FACILITY;g0Gyxccwfzq:YuECXO8V4mr;;;;;;;NetSIGL 2 DRD Dataset;gb2U7Q4Eoxp;DRD-Pretomanide 200 mg;AMRP7HQeJ8V;Produits TB & VIH;t014WNt683s;;;;;;;;;;
TRIMESTRIELLE;;;TB - Pyrazinamide (Z) 400 mg cp.;gGbA42iJLmY;DCAPS_VARIABLES;D9URQhBFIKO;;;DRD FACILITY;g0Gyxccwfzq:YuECXO8V4mr;;;;;;;NetSIGL 2 DRD Dataset;gb2U7Q4Eoxp;DRD-Pyrazinamide 400 mg Comprime;OybjAKaaByQ;Produits TB & VIH;t014WNt683s;;;;;;;;;;
