typePeriode;source_indicatorName;source_indicatorId;source_dataElementName;source_dataElementId;source_categorieComboName;source_categorieComboId;source_categorieComboOptionName;source_categorieComboOptionId;source_dimensionName;source_dimensionId;source_orgUnitName;source_orgUnitId;source_orgUnitGroupName;source_orgUnitGroupId;source_orgUnitOfProgramName;source_orgUnitOfProgramId;source_orgUnitOfDataSetName;source_orgUnitOfDataSetId;destination_dataElementName;destination_dataElementId;destination_categorieComboName;destination_categorieComboId;destination_categorieComboOptionName;destination_categorieComboOptionId;destination_orgUnitName;destination_orgUnitId;destination_orgUnitGroupName;destination_orgUnitGroupId;destination_orgUnitOfProgramName;destination_orgUnitOfProgramId;destination_orgUnitOfDataSetName;destination_orgUnitOfDataSetId
;;;;;DCAPS_VARIABLES;D9URQhBFIKO;QUANTITE DISPONIBLE ET UTILISABLE AU DEBUT;zOIWjNiyZiV;;;;;;;;;;;;;Produits TB & VIH;t014WNt683s;Quantité disponible et utilisable en début de période;JumQxAmfKZn;;;;;;;;
;;;TB - Bedaquiline 100mg comp;PagoyrtFGQW;DCAPS_VARIABLES;D9URQhBFIKO;;;DRD FACILITY;g0Gyxccwfzq:YuECXO8V4mr;;;;;;;NetSIGL 2 DRD Dataset;gb2U7Q4Eoxp;DRD-Bedaquilline 100 mg Comprime;p95shgwPi9U;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;TB - KIT GENEXPERT - MTB CE - IVD-50 tests;X66f3iSzQSp;DCAPS_VARIABLES;D9URQhBFIKO;;;DRD FACILITY;g0Gyxccwfzq:YuECXO8V4mr;;;;;;;NetSIGL 2 DRD Dataset;gb2U7Q4Eoxp;DRD-Cartouche de GeneXpert MTB /RIF Ultra;pyTSC2y6CVi;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;TB - Clofazimine (Cfz) 100 mg gel.;MkmFtGbXKJj;DCAPS_VARIABLES;D9URQhBFIKO;;;DRD FACILITY;g0Gyxccwfzq:YuECXO8V4mr;;;;;;;NetSIGL 2 DRD Dataset;gb2U7Q4Eoxp;DRD-Clofazimine 100 mg Comprime;KgexhvMpTe2;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;TB - Crachoirs unité;Hae4dgOPjuq;DCAPS_VARIABLES;D9URQhBFIKO;;;DRD FACILITY;g0Gyxccwfzq:YuECXO8V4mr;;;;;;;NetSIGL 2 DRD Dataset;gb2U7Q4Eoxp;DRD-Crachoir;zlPQFC58X4i;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;TB - Cycloserine 125mg 100cap bl;q5b1b8IslT8;DCAPS_VARIABLES;D9URQhBFIKO;;;DRD FACILITY;g0Gyxccwfzq:YuECXO8V4mr;;;;;;;NetSIGL 2 DRD Dataset;gb2U7Q4Eoxp;DRD-Cycloserine 125 mg Gelule;R5ubofnUmds;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;TB - Cyclosérine (Cs) 250 mg gél.;EK7BflWWPZU;DCAPS_VARIABLES;D9URQhBFIKO;;;DRD FACILITY;g0Gyxccwfzq:YuECXO8V4mr;;;;;;;NetSIGL 2 DRD Dataset;gb2U7Q4Eoxp;DRD-Cycloserine 250 mg Gelule;im7ajco3KYd;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;TB - Delamanide 50mg cp, blister;Uxbz0XSp34n;DCAPS_VARIABLES;D9URQhBFIKO;;;DRD FACILITY;g0Gyxccwfzq:YuECXO8V4mr;;;;;;;NetSIGL 2 DRD Dataset;gb2U7Q4Eoxp;DRD-Delamanide 50 mg Comprime;xmaYYOYhrWH;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;TB - Ethambutol (E) 100 mg . cp;rLnfWTVzfqi;DCAPS_VARIABLES;D9URQhBFIKO;;;DRD FACILITY;g0Gyxccwfzq:YuECXO8V4mr;;;;;;;NetSIGL 2 DRD Dataset;gb2U7Q4Eoxp;DRD-E 100 mg Comprime;VfQrtAhhENQ;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;TB - Ethambutol (E) 400 mg . cp;S578DuTapzf;DCAPS_VARIABLES;D9URQhBFIKO;;;DRD FACILITY;g0Gyxccwfzq:YuECXO8V4mr;;;;;;;NetSIGL 2 DRD Dataset;gb2U7Q4Eoxp;DRD-Ethambutol 400 mg Comprime;c86BLd4zxdv;Produits TB & VIH;t014WNt683s;;;;;;;;;;
