typePeriode;source_indicatorName;source_indicatorId;source_dataElementName;source_dataElementId;source_categorieComboName;source_categorieComboId;source_categorieComboOptionName;source_categorieComboOptionId;source_orgUnitName;source_orgUnitId;source_orgUnitGroupName;source_orgUnitGroupId;source_orgUnitOfProgramName;source_orgUnitOfProgramId;source_orgUnitOfDataSetName;source_orgUnitOfDataSetId;destination_dataElementName;destination_dataElementId;destination_categorieComboName;destination_categorieComboId;destination_categorieComboOptionName;destination_categorieComboOptionId;destination_orgUnitName;destination_orgUnitId;destination_orgUnitGroupName;destination_orgUnitGroupId;destination_orgUnitOfProgramName;destination_orgUnitOfProgramId;destination_orgUnitOfDataSetName;destination_orgUnitOfDataSetId
;;;;;DCAPS_VARIABLES;D9URQhBFIKO;QUANTITE DISPONIBLE ET UTILISABLE EN FIN;UQvRh6COF1P;;;;;;;;;;;Produits TB & VIH;t014WNt683s;Stock disponible et utilisable en fin de période dans la FS;t0lB4xvkNne;;;;;;;;
;;;DRD-Bedaquilline 100 mg Comprime;p95shgwPi9U;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 DRD Dataset;gb2U7Q4Eoxp;TB - Bedaquiline 100mg comp;PagoyrtFGQW;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;DRD-Cartouche de GeneXpert MTB /RIF Ultra;pyTSC2y6CVi;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 DRD Dataset;gb2U7Q4Eoxp;TB - KIT GENEXPERT - MTB CE - IVD-50 tests;X66f3iSzQSp;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;DRD-Clofazimine 100 mg Comprime;KgexhvMpTe2;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 DRD Dataset;gb2U7Q4Eoxp;TB - Clofazimine (Cfz) 100 mg gel.;MkmFtGbXKJj;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;DRD-Crachoir;zlPQFC58X4i;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 DRD Dataset;gb2U7Q4Eoxp;TB - Crachoirs unité;Hae4dgOPjuq;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;DRD-Cycloserine 125 mg Gelule;R5ubofnUmds;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 DRD Dataset;gb2U7Q4Eoxp;TB - Cycloserine 125mg 100cap bl;q5b1b8IslT8;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;DRD-Cycloserine 250 mg Gelule;im7ajco3KYd;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 DRD Dataset;gb2U7Q4Eoxp;TB - Cyclosérine (Cs) 250 mg gél.;EK7BflWWPZU;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;DRD-Delamanide 50 mg Comprime;xmaYYOYhrWH;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 DRD Dataset;gb2U7Q4Eoxp;TB - Delamanide 50mg cp, blister;Uxbz0XSp34n;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;DRD-E 100 mg Comprime;VfQrtAhhENQ;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 DRD Dataset;gb2U7Q4Eoxp;TB - Ethambutol (E) 100 mg . cp;rLnfWTVzfqi;Produits TB & VIH;t014WNt683s;;;;;;;;;;
;;;DRD-Ethambutol 400 mg Comprime;c86BLd4zxdv;DCAPS_VARIABLES;D9URQhBFIKO;;;;;;;;;NetSIGL 2 DRD Dataset;gb2U7Q4Eoxp;TB - Ethambutol (E) 400 mg . cp;S578DuTapzf;Produits TB & VIH;t014WNt683s;;;;;;;;;;
