typePeriode	source_indicatorName	source_indicatorId	source_dataElementName	source_dataElementId	source_categorieComboName	source_categorieComboId	source_categorieComboOptionName	source_categorieComboOptionId	source_dimensionName	source_dimensionId	source_orgUnitName	source_orgUnitId	source_orgUnitGroupName	source_orgUnitGroupId	source_orgUnitOfProgramName	source_orgUnitOfProgramId	source_orgUnitOfDataSetName	source_orgUnitOfDataSetId	destination_dataElementName	destination_dataElementId	destination_categorieComboName	destination_categorieComboId	destination_categorieComboOptionName	destination_categorieComboOptionId	destination_orgUnitName	destination_orgUnitId	destination_orgUnitGroupName	destination_orgUnitGroupId	destination_orgUnitOfProgramName	destination_orgUnitOfProgramId	destination_orgUnitOfDataSetName	destination_orgUnitOfDataSetId
					DCAPS_VARIABLES	D9URQhBFIKO	QUANTITE DISPONIBLE ET UTILISABLE EN FIN	UQvRh6COF1P													Gestion des intrants	VjqT31btO7y	Stock disponible et utilisable en fin de période dans la FS	oqc8yihlUg2								
			MEG - Albendazole 400mg comp ?† croquer blister	L8wvYcNEGo8	DCAPS_VARIABLES	D9URQhBFIKO			DRD FACILITY	g0Gyxccwfzq:YuECXO8V4mr							NetSIGL 2 DRD Dataset	gb2U7Q4Eoxp	DRD-Albendazole 400mg	PqbMMMQrdtZ	Gestion des intrants	VjqT31btO7y										
			MEG - Amoxicilline 125mg/5ml susp buv Fl/60ml, unitaris?©	N6FpGoH9SH5	DCAPS_VARIABLES	D9URQhBFIKO			DRD FACILITY	g0Gyxccwfzq:YuECXO8V4mr							NetSIGL 2 DRD Dataset	gb2U7Q4Eoxp	DRD-Amoxicilline 125mg	C9DwHNKypH0	Gestion des intrants	VjqT31btO7y										
			MEG - Amoxicilline 250mg/5ml 60ml sirop	UMe7ytl4Q7K	DCAPS_VARIABLES	D9URQhBFIKO			DRD FACILITY	g0Gyxccwfzq:YuECXO8V4mr							NetSIGL 2 DRD Dataset	gb2U7Q4Eoxp	DRD-Amoxicilline 250 mg Suspension Buvable	TltUP5uazL5	Gestion des intrants	VjqT31btO7y										
			MEG - Amoxicilline 500mg g?©lule blister	bYzfj33D4El	DCAPS_VARIABLES	D9URQhBFIKO			DRD FACILITY	g0Gyxccwfzq:YuECXO8V4mr							NetSIGL 2 DRD Dataset	gb2U7Q4Eoxp	DRD-Amoxicilline 500 mg gelule	oOJh2WGf6gD	Gestion des intrants	VjqT31btO7y										
			MEG - Ampicilline 0,5g poudre inject, Flacon	eIiF1bSBJ3I	DCAPS_VARIABLES	D9URQhBFIKO			DRD FACILITY	g0Gyxccwfzq:YuECXO8V4mr							NetSIGL 2 DRD Dataset	gb2U7Q4Eoxp	DRD-Ampicilline 0.5 g poudre inj	hSkGWQETUyd	Gestion des intrants	VjqT31btO7y										
			MEG - Ampicilline 1g poudre inject, Flacon	SiAdt9hIiqD	DCAPS_VARIABLES	D9URQhBFIKO			DRD FACILITY	g0Gyxccwfzq:YuECXO8V4mr							NetSIGL 2 DRD Dataset	gb2U7Q4Eoxp	DRD-Ampicilline 1 g poudre inj	AKyDU79dH48	Gestion des intrants	VjqT31btO7y										
			PALU - Art?©m?©ther 80mg/ml inject, amp/1ml	OpYMo8XrCvg	DCAPS_VARIABLES	D9URQhBFIKO			DRD FACILITY	g0Gyxccwfzq:YuECXO8V4mr							NetSIGL 2 DRD Dataset	gb2U7Q4Eoxp	DRD-Artemether 80 mg inj	mWv6sW9bWLR	Gestion des intrants	VjqT31btO7y										
			PALU - Artesunate 100mg suppositoire	m5TjtHs8YzJ	DCAPS_VARIABLES	D9URQhBFIKO			DRD FACILITY	g0Gyxccwfzq:YuECXO8V4mr							NetSIGL 2 DRD Dataset	gb2U7Q4Eoxp	DRD-Artesunate suppositoire 100 mg	pNVm0WYjLSx	Gestion des intrants	VjqT31btO7y										
			PALU - Art?©sunate 50 mg suppositoire	AJb0zCJn9xg	DCAPS_VARIABLES	D9URQhBFIKO			DRD FACILITY	g0Gyxccwfzq:YuECXO8V4mr							NetSIGL 2 DRD Dataset	gb2U7Q4Eoxp	DRD-Artesunate suppositoire 50 mg	q0LpmjlakG0	Gestion des intrants	VjqT31btO7y										
			MEG - Benzathine Benzylp?©nicilline 2,4MUI poudre inject, Flacon	TCxhPREQvyf	DCAPS_VARIABLES	D9URQhBFIKO			DRD FACILITY	g0Gyxccwfzq:YuECXO8V4mr							NetSIGL 2 DRD Dataset	gb2U7Q4Eoxp	DRD-Benzathine Benzyl Penicilline 2,4 Millions UI Injectable	iEY3SCdmvj2	Gestion des intrants	VjqT31btO7y										
			SR - Chlorhexidine gluconate 7,1% gel, tube de 25 grammes (Non disponible actuellement)	IrXnqyEU1g7	DCAPS_VARIABLES	D9URQhBFIKO			DRD FACILITY	g0Gyxccwfzq:YuECXO8V4mr							NetSIGL 2 DRD Dataset	gb2U7Q4Eoxp	DRD-Chlorhexidine 7,1% gel T/25	zD4wNn5uJYF	Gestion des intrants	VjqT31btO7y										
			MEG - Ciprofloxacine 500mg comp blister	KNiOpOjO3Qb	DCAPS_VARIABLES	D9URQhBFIKO			DRD FACILITY	g0Gyxccwfzq:YuECXO8V4mr							NetSIGL 2 DRD Dataset	gb2U7Q4Eoxp	DRD-Ciprofloxacine 500 mg cp	xriTKpW7Z26	Gestion des intrants	VjqT31btO7y										
			SR - Collier de Cycle	TFkQy3NxYSJ	DCAPS_VARIABLES	D9URQhBFIKO			DRD FACILITY	g0Gyxccwfzq:YuECXO8V4mr							NetSIGL 2 DRD Dataset	gb2U7Q4Eoxp	DRD-Collier de cycle	P4ZMkyLKX5U	Gestion des intrants	VjqT31btO7y										
			SR - Pr?©servatif f?©minin¬†lubrifi?©, unit?©	hbdFLhEgXhU	DCAPS_VARIABLES	D9URQhBFIKO			DRD FACILITY	g0Gyxccwfzq:YuECXO8V4mr							NetSIGL 2 DRD Dataset	gb2U7Q4Eoxp	DRD-Condom feminin	F6QNBMs6FHF	Gestion des intrants	VjqT31btO7y										
			SR - Pr?©servatif masculin lubrifi?©, unit?©	hNve3CjRBqc	DCAPS_VARIABLES	D9URQhBFIKO			DRD FACILITY	g0Gyxccwfzq:YuECXO8V4mr							NetSIGL 2 DRD Dataset	gb2U7Q4Eoxp	DRD-Condom masculin	SHzhs3QedIK	Gestion des intrants	VjqT31btO7y										
			MEG - Cotrimoxazole 240mg/5ml susp buv Fl/60ml, unitaris?©	GK2fRur6PnX	DCAPS_VARIABLES	D9URQhBFIKO			DRD FACILITY	g0Gyxccwfzq:YuECXO8V4mr							NetSIGL 2 DRD Dataset	gb2U7Q4Eoxp	DRD-Cotrimoxazole 240 mg /5ml suspension buvable	GC2AOPrT8Gt	Gestion des intrants	VjqT31btO7y										
			MEG - Cotrimoxazole 480mg comp blister	OjtgQwinTSI	DCAPS_VARIABLES	D9URQhBFIKO			DRD FACILITY	g0Gyxccwfzq:YuECXO8V4mr							NetSIGL 2 DRD Dataset	gb2U7Q4Eoxp	DRD-Cotrimoxazole 480 mg cp	Th1b3sNDnsp	Gestion des intrants	VjqT31btO7y										
			SR - Dispositif Intra Ut?©rin Tcu 380 A	qBU2PfcoqlI	DCAPS_VARIABLES	D9URQhBFIKO			DRD FACILITY	g0Gyxccwfzq:YuECXO8V4mr							NetSIGL 2 DRD Dataset	gb2U7Q4Eoxp	DRD-DIU	eN6mJqFzFxi	Gestion des intrants	VjqT31btO7y										
			SR - M?©droxyprogesterone (D?©po-provera) 150mg/ml inj.	MCT1JsImhEm	DCAPS_VARIABLES	D9URQhBFIKO			DRD FACILITY	g0Gyxccwfzq:YuECXO8V4mr							NetSIGL 2 DRD Dataset	gb2U7Q4Eoxp	DRD-DMPA-IM (Depo provera)	RFqHcY6mbVx	Gestion des intrants	VjqT31btO7y										
			SR - M?©droxyprogest?©rone (Sayana Press)104mg/0,65ml inj seringue pr?©rempli	hhnwd63JZUA	DCAPS_VARIABLES	D9URQhBFIKO			DRD FACILITY	g0Gyxccwfzq:YuECXO8V4mr							NetSIGL 2 DRD Dataset	gb2U7Q4Eoxp	DRD-DMPA-SC (Sayana Press)	EC9eCydbmzz	Gestion des intrants	VjqT31btO7y										
			MEG - Diaz?©pam 5mg/ml inject, amp/2ml	Al6uzR5yoiS	DCAPS_VARIABLES	D9URQhBFIKO			DRD FACILITY	g0Gyxccwfzq:YuECXO8V4mr							NetSIGL 2 DRD Dataset	gb2U7Q4Eoxp	DRD-Diazepam 5m/ml, 2 ml ampoule injectable	XQKDSy3o9zc	Gestion des intrants	VjqT31btO7y										
			MEG - Diclof?©nac 50mg comp gastro-r?©sist blister	lAGHzx47VLk	DCAPS_VARIABLES	D9URQhBFIKO			DRD FACILITY	g0Gyxccwfzq:YuECXO8V4mr							NetSIGL 2 DRD Dataset	gb2U7Q4Eoxp	DRD-Diclofenac 50 mg comprime	lreYzWtOvL5	Gestion des intrants	VjqT31btO7y										
			PALU - Dihydroartémisinine + Pipéraquine (20+160) mg comprimés pelliculés non dispersibles, B/3	jwyV4iw3wil	DCAPS_VARIABLES	D9URQhBFIKO			DRD FACILITY	g0Gyxccwfzq:YuECXO8V4mr							NetSIGL 2 DRD Dataset	gb2U7Q4Eoxp	DRD-Dihydroartemisinine + piperaquine (20+160 mg)	o709Jo3m6zn	Gestion des intrants	VjqT31btO7y										
			PALU - Dihydroartémisinine + Pipéraquine (40+320) mg comprimés pelliculés non dispersibles, B/9	tWrnWAsDRtp	DCAPS_VARIABLES	D9URQhBFIKO			DRD FACILITY	g0Gyxccwfzq:YuECXO8V4mr							NetSIGL 2 DRD Dataset	gb2U7Q4Eoxp	DRD-Dihydroartemisinine + piperaquine (40+320 mg)	l5TJW6wLErk	Gestion des intrants	VjqT31btO7y										
			MEG - Erythromycine 500mg comp blister	pUcnrCSuC23	DCAPS_VARIABLES	D9URQhBFIKO			DRD FACILITY	g0Gyxccwfzq:YuECXO8V4mr							NetSIGL 2 DRD Dataset	gb2U7Q4Eoxp	DRD-Erythromycine 500 mg, cp	rcVTrCcYDIp	Gestion des intrants	VjqT31btO7y										
			MEG - Fer sulfate + Acide folique (200+0,4)mg comp blister	aPO1RysF77P	DCAPS_VARIABLES	D9URQhBFIKO			DRD FACILITY	g0Gyxccwfzq:YuECXO8V4mr							NetSIGL 2 DRD Dataset	gb2U7Q4Eoxp	DRD-Fer+Acide Folique (200+0,4) mg	fkbo8Ure5Na	Gestion des intrants	VjqT31btO7y										
