MS_SURVEILLANCE_ID;MS_SURVEILLANCE_NAME;ENDOS_ID;ENDOS_NAME
eE7YawXYCu0;Burkina Faso/Plateau Central/CHR Ziniaré;faomHqdlhjQ;Burkina Faso/Plateau Central/CHR Ziniaré
RimZ10DSq7r;Burkina Faso/Plateau Central/Kourweogo/DS Boussé/Bousse/CSPS Gasma;arozEYMECOI;Burkina Faso/Plateau Central/Kourweogo/DS Boussé/Bousse/CSPS Gasma
nbeDUW1vvgi;Burkina Faso/Plateau Central/CHR Ziniaré/Laboratoire CHR Ziniaré;oF5aKXhoKtj;Burkina Faso/Plateau Central/CHR Ziniaré/Laboratoire CHR Ziniaré
a4wvFBB2H6V;Burkina Faso/Plateau Central/CHR Ziniaré/Pharmacie CHR Ziniaré;u1brsV2t1hE;Burkina Faso/Plateau Central/CHR Ziniaré/Pharmacie CHR Ziniaré
VGAkI9wkFnx;Burkina Faso/Boucle du Mouhoun/Banwa/DS Solenzo/Tansila/CSPS Kokouna;gOw7mF0Um5u;Burkina Faso/Boucle du Mouhoun/Banwa/DS Solenzo/Tansila/CSPS Kokouna
NAUvme1h83d;Burkina Faso/Cascades/Comoé/DS Banfora/Moussodougou/CSPS kolokolo;pOfB6OHUSMo;Burkina Faso/Cascades/Comoé/DS Banfora/Moussodougou/CSPS Kolokolo
rJr6haICpaP;Burkina Faso/Cascades/Comoé/DS Banfora/Soubakaniedougou/CSPS Baniagara;RhdXYeqjOU4;Burkina Faso/Cascades/Comoé/DS Banfora/Soubakaniedougou/CSPS Baniagara
meJhmojn03R;Burkina Faso/Cascades/Leraba/DS Sindou/Dakoro/CSPS Moadougou;kKpaXFvsEJx;Burkina Faso/Cascades/Leraba/DS Sindou/Dakoro/CSPS Moadougou
c0Gay5pcNQA;Burkina Faso/Centre Est/Boulgou/DS Garango/Boussouma/CSPS Ouazi;puq5W5yNToy;Burkina Faso/Centre Est/Boulgou/DS Garango/Boussouma/CSPS Ouazi
JLCNQaXfC4g;Burkina Faso/Centre Est/Boulgou/DS Garango/Boussouma/CSPS Zabga;FpcYl2w1Ugk;Burkina Faso/Centre Est/Boulgou/DS Garango/Boussouma/CSPS Zabga
jkT9BZwi78s;Burkina Faso/Centre Est/Boulgou/DS Garango/Niaogho/CSPS Niarba;Nk3vNBss1yy;Burkina Faso/Centre Est/Boulgou/DS Garango/Niaogho/CSPS Niarba
RlGMKCaMa4M;Burkina Faso/Centre Est/Kouritenga/DS Pouytenga/Kando/CSPS GUIRGO;cswNA6Kg597;Burkina Faso/Centre Est/Kouritenga/DS Pouytenga/Kando/CSPS Guirgo
fUjUiV3rQbM;Burkina Faso/Centre Est/Kouritenga/DS Pouytenga/Kando/SOALGA;P6bIutX86yG;Burkina Faso/Centre Est/Kouritenga/DS Pouytenga/Kando/CSPS Soalga
WDcCaY43PCS;Burkina Faso/Centre Nord/Bam/DS Kongoussi/Rouko/CSPS PITTENGA;BHCNwU8feRW;Burkina Faso/Centre Nord/Bam/DS Kongoussi/Rouko/CSPS Pittenga
NOuWNG55o3s;Burkina Faso/Centre Nord/Bam/DS Kongoussi/Rouko/CSPS SILMIDOUGOU;wNlFTFBKPFz;Burkina Faso/Centre Nord/Bam/DS Kongoussi/Rouko/CSPS Silmidougou
xjSVPlcypR4;Burkina Faso/Centre Nord/Sanmatenga/DS Boussouma/Boussouma /CSPS Bagkiemdé;lWXSnssTQX4;Burkina Faso/Centre Nord/Sanmatenga/DS Boussouma/Boussouma /CSPS Bangkiende
xufjK9VZ0by;Burkina Faso/Centre Nord/Sanmatenga/DS Boussouma/Boussouma /CSPS Ouga Yarcé;rGb3HMNmiq0;Burkina Faso/Centre Nord/Sanmatenga/DS Boussouma/Boussouma /CSPS Ouga-yarce
VtP7IIFXze8;Burkina Faso/Centre Nord/Sanmatenga/DS Boussouma/Ziga/CSPS Samboaga;uWLqa4EK8H7;Burkina Faso/Centre Nord/Sanmatenga/DS Boussouma/Ziga/CSPS Samboiaga
