source_dhis_programName;source_dhis_programId;source_dhis_programEnrolmentDate;source_dhis_programIncidentDate;source_dhis_programOrgUnitCode;source_dhis_attributName;source_dhis_attributId;source_dhis_programStageName;source_dhis_programStageId;source_dhis_programStageOrgUnitCode;source_dhis_programStageEventDate;source_dhis_programStageDataElementName;source_dhis_programStageDataElementId;source_dhis_programMasterName;source_dhis_programMasterId;source_dhis_attributValueUniqueName;source_dhis_attributValueUniqueId;source_dhis_dataElementValueUniqueName;source_dhis_dataElementValueUniqueId;destination_dhis_programName;destination_dhis_programId;destination_dhis_programEnrolmentDate;destination_dhis_programIncidentDate;destination_dhis_programOrgUnitCode;destination_dhis_attributName;destination_dhis_attributId;destination_dhis_programStageName;destination_dhis_programStageId;destination_dhis_programStageOrgUnitCode;destination_dhis_programStageEventDate;destination_dhis_programStageDataElementName;destination_dhis_programStageDataElementId;destination_dhis_programMasterName;destination_dhis_programMasterId;destination_dhis_attributValueUniqueName;destination_dhis_attributValueUniqueId;destination_dhis_dataElementValueUniqueName;destination_dhis_dataElementValueUniqueId;AllAttributValueMatching;AllDataElementValueMatching
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;oui;;;;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;oui;;;;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;;;Registre PRISE EN CHARGE;kFjVC6CTFrK;Code personne;vadegRbcklv;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;;;Enregistrement de personnes;kFjVC6CTFrK;Code personne;vadegRbcklv;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;code PEC;kvQS9gw12Rn;;;;;code PEC;kvQS9gw12Rn;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;code PEC;kvQS9gw12Rn;;;;;code PEC;kvQS9gw12Rn;;non
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;age en mois;HkFRGHc6iYy;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;age en mois;HkFRGHc6iYy;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;oui;;;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;oui;;;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;motif consultation Toux / difficulté respiratoire;lUHn2jpd3YU;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;motif consultation Toux / difficulté respiratoire;lUHn2jpd3YU;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;motif consultation Fièvre / Corps chaud;V8hnF1mIa2U;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;motif consultation Fièvre / Corps chaud;V8hnF1mIa2U;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;motif consultation Diarrhée;UHrCBdjL1WR;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;motif consultation Diarrhée;UHrCBdjL1WR;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;Autre motif consultation;NlhwuPPU6cW;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;Autre motif consultation;NlhwuPPU6cW;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;Danger incapable de boire ou téter;l1fHMgZ5bFw;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;Danger incapable de boire ou téter;l1fHMgZ5bFw;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;Danger vomit tout;OVIlz3FxZG6;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;Danger vomit tout;OVIlz3FxZG6;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;Danger convulsions;WCVNqViJByA;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;Danger convulsions;WCVNqViJByA;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;Danger léthargie;wdGjjFn0KgC;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;Danger léthargie;wdGjjFn0KgC;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;toux;WIKGCFAJ3iS;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;toux;WIKGCFAJ3iS;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;jours toux;ODUPh6jk9hD;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;jours toux;ODUPh6jk9hD;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;difficultés respiratoires;MgL8kdSeekj;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;difficultés respiratoires;MgL8kdSeekj;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;jours difficultés respiratoires;pQRC9eUrE0h;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;jours difficultés respiratoires;pQRC9eUrE0h;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;Stridor;HNUaJQzpQaG;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;Stridor;HNUaJQzpQaG;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;tirage sous-costal;KpnWD44Fhwl;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;tirage sous-costal;KpnWD44Fhwl;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;Respiration sifflante;Iw5T3iUcLP5;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;Respiration sifflante;Iw5T3iUcLP5;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;Nb respiration;x8bSHe6SMxr;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;Nb respiration;x8bSHe6SMxr;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;diarrhée;VYVopMdGAAs;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;diarrhée;VYVopMdGAAs;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;jours diarrhée;rnW8CzllYuA;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;jours diarrhée;rnW8CzllYuA;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;Sang dans selles;y4VU2V0I9KN;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;Sang dans selles;y4VU2V0I9KN;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;yeux enfoncés;bmgEFOOSFln;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;yeux enfoncés;bmgEFOOSFln;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;30.24.Assoiffé;eZR9bBZJPTn;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;30.24.Assoiffé;eZR9bBZJPTn;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;plis cutanés;Hs2h6HKu1EP;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;plis cutanés;Hs2h6HKu1EP;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;Eruption généralisée;cdLUbTobdZX;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;Eruption généralisée;cdLUbTobdZX;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;Ecoulement nasal;ws0HivMGjnQ;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;Ecoulement nasal;ws0HivMGjnQ;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;Yeux rouges;VH63nUjubD0;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;Yeux rouges;VH63nUjubD0;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;corps chaud;axgttkaB2Nt;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;corps chaud;axgttkaB2Nt;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;jours corps chaud;FY9cp2iGyKi;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;jours corps chaud;FY9cp2iGyKi;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;Traitement palu simple disponible;AtLMU1QCtkD;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;Traitement palu simple disponible;AtLMU1QCtkD;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;Traitement palu grave disponible;Jv8m4EX0ABy;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;Traitement palu grave disponible;Jv8m4EX0ABy;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;tdr paludisme;rdqOgNEbNdl;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;tdr paludisme;rdqOgNEbNdl;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;Urine foncées;hUneJr6kTs1;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;Urine foncées;hUneJr6kTs1;;;;;;;;
