source_dhis_programName;source_dhis_programId;source_dhis_programEnrolmentDate;source_dhis_programIncidentDate;source_dhis_programOrgUnitCode;source_dhis_attributName;source_dhis_attributId;source_dhis_programStageName;source_dhis_programStageId;source_dhis_programStageOrgUnitCode;source_dhis_programStageEventDate;source_dhis_programStageDataElementName;source_dhis_programStageDataElementId;source_dhis_programMasterName;source_dhis_programMasterId;source_dhis_attributValueUniqueName;source_dhis_attributValueUniqueId;source_dhis_dataElementValueUniqueName;source_dhis_dataElementValueUniqueId;destination_dhis_programName;destination_dhis_programId;destination_dhis_programEnrolmentDate;destination_dhis_programIncidentDate;destination_dhis_programOrgUnitCode;destination_dhis_attributName;destination_dhis_attributId;destination_dhis_programStageName;destination_dhis_programStageId;destination_dhis_programStageOrgUnitCode;destination_dhis_programStageEventDate;destination_dhis_programStageDataElementName;destination_dhis_programStageDataElementId;destination_dhis_programMasterName;destination_dhis_programMasterId;destination_dhis_attributValueUniqueName;destination_dhis_attributValueUniqueId;destination_dhis_dataElementValueUniqueName;destination_dhis_dataElementValueUniqueId;AllAttributValueMatching;AllDataElementValueMatching;changeValue
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Adultes;R9Y8EzL94I7;oui;;;;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;oui;;;;;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Adultes;R9Y8EzL94I7;;;;;Registre PRISE EN CHARGE;kFjVC6CTFrK;Code personne;vadegRbcklv;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;;;Enregistrement de personnes;kFjVC6CTFrK;Code personne;vadegRbcklv;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Adultes;R9Y8EzL94I7;;;30.3.Code de prise en charge;kvQS9gw12Rn;;;;;code PEC;kvQS9gw12Rn;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;code PEC;kvQS9gw12Rn;;;;;code PEC;kvQS9gw12Rn;;non;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Adultes;R9Y8EzL94I7;;;age en années;OA9Df9MHvrw;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;age en années;OA9Df9MHvrw;;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Adultes;R9Y8EzL94I7;;oui;;;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;oui;;;;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Adultes;R9Y8EzL94I7;;;30.5.Motif Toux;lUHn2jpd3YU;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;motif consultation Toux / difficulté respiratoire;lUHn2jpd3YU;;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Adultes;R9Y8EzL94I7;;;30.6.Motif - Fièvre;V8hnF1mIa2U;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;motif consultation Fièvre / Corps chaud;V8hnF1mIa2U;;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Adultes;R9Y8EzL94I7;;;30.7.Motif - Diarrhée;UHrCBdjL1WR;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;motif consultation Diarrhée;UHrCBdjL1WR;;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Adultes;R9Y8EzL94I7;;;30.8.Motif - Autre motif;NlhwuPPU6cW;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;Autre motif consultation;NlhwuPPU6cW;;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Adultes;R9Y8EzL94I7;;;30.38.Fievre dans les 72H;VtJp7wRer0Q;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;corps chaud;axgttkaB2Nt;;;;;;;;;
