source_dhis_programName;source_dhis_programId;source_dhis_programEnrolmentDate;source_dhis_programIncidentDate;source_dhis_programOrgUnitCode;source_dhis_attributName;source_dhis_attributId;source_dhis_programStageName;source_dhis_programStageId;source_dhis_programStageOrgUnitCode;source_dhis_programStageEventDate;source_dhis_programStageDataElementName;source_dhis_programStageDataElementId;source_dhis_programMasterName;source_dhis_programMasterId;source_dhis_attributValueUniqueName;source_dhis_attributValueUniqueId;source_dhis_dataElementValueUniqueName;source_dhis_dataElementValueUniqueId;destination_dhis_programName;destination_dhis_programId;destination_dhis_programEnrolmentDate;destination_dhis_programIncidentDate;destination_dhis_programOrgUnitCode;destination_dhis_attributName;destination_dhis_attributId;destination_dhis_programStageName;destination_dhis_programStageId;destination_dhis_programStageOrgUnitCode;destination_dhis_programStageEventDate;destination_dhis_programStageDataElementName;destination_dhis_programStageDataElementId;destination_dhis_programMasterName;destination_dhis_programMasterId;destination_dhis_attributValueUniqueName;destination_dhis_attributValueUniqueId;destination_dhis_dataElementValueUniqueName;destination_dhis_dataElementValueUniqueId;AllAttributValueMatching;AllDataElementValueMatching;changeValue
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;oui;;;;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;oui;;;;;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;;;;Registre PRISE EN CHARGE;kFjVC6CTFrK;Code personne;vadegRbcklv;;;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;;;;;Enregistrement de personnes;kFjVC6CTFrK;Code personne;vadegRbcklv;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;;30.3.Code de prise en charge;kvQS9gw12Rn;;;;;code PEC;kvQS9gw12Rn;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;;;30.3.Code de prise en charge;kvQS9gw12Rn;;;;;code PEC;kvQS9gw12Rn;;non;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;oui;Suivi pneumo incapable de boire ou téter;hhfzBlLjkFt;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;;oui;Suivi pneumo incapable de boire ou téter;hhfzBlLjkFt;;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;;Suivi pneumo vomit tout;khdTXsHStwn;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;;;Suivi pneumo vomit tout;khdTXsHStwn;;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;;Suivi pneumo convulsions;fAQRZHMyQpN;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;;;Suivi pneumo convulsions;fAQRZHMyQpN;;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;;Suivi pneumo lethargie inconscient;nibS3rEyJ4t;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;;;Suivi pneumo lethargie inconscient;nibS3rEyJ4t;;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;;Suivi pneumo difficultés respiratoires;NTHFiS5MDeH;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;;;Suivi pneumo difficultés respiratoires;NTHFiS5MDeH;;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;;Suivi pneumo difficultés alimentation;digKV0rFOfp;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;;;Suivi pneumo difficultés alimentation;digKV0rFOfp;;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;;Suivi pneumo administration medicaments;fAQRZHMyQpN;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;;;Suivi pneumo administration medicaments;fAQRZHMyQpN;;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;;Suivi pneumo tirage sous-costal;hh5tVW4BkP5;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;;;Suivi pneumo tirage sous-costal;hh5tVW4BkP5;;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;;Nombre de mouvements respiratoire par minute;N1811JXp04u;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;;;Nombre de mouvements respiratoire par minute;N1811JXp04u;;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;;Suivi diarrhée administration medicaments;ZLo0lpO9b5p;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;;;Suivi diarrhée administration medicaments;ZLo0lpO9b5p;;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;;Suivi diarrhée persistence diarrhée;CHKTluEQtv9;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;;;Suivi diarrhée persistence diarrhée;CHKTluEQtv9;;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;;Suivi diarrhée sang dans les selles;jN1da5HVMuG;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;;;Suivi diarrhée sang dans les selles;jN1da5HVMuG;;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;;Suivi diarrhée difficultés alimentation;laaIEdZJfkC;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;;;Suivi diarrhée difficultés alimentation;laaIEdZJfkC;;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;;Suivi diarrhée vomit tout;f4fgqQEDl0B;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;;;Suivi diarrhée vomit tout;f4fgqQEDl0B;;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;;Suivi diarrhée convulsions;sOjKtGl9C36;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;;;Suivi diarrhée convulsions;sOjKtGl9C36;;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;;Suivi diarrhée lethargie inconscient;dReiAkLtBde;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;;;Suivi diarrhée lethargie inconscient;dReiAkLtBde;;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;;Suivi diarrhée yeux enfoncés;yX2ZCwhVaDh;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;;;Suivi diarrhée yeux enfoncés;yX2ZCwhVaDh;;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;;Suivi diarrhée assoiffé;cKDoUKAPxsD;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;;;Suivi diarrhée assoiffé;cKDoUKAPxsD;;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;;Suivi diarrhée agité irritable;imSbwDANn9H;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;;;Suivi diarrhée agité irritable;imSbwDANn9H;;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;;Suivi diarrhée plis cutanés;JApyu1G2loS;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;;;Suivi diarrhée plis cutanés;JApyu1G2loS;;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;;Suivi palu administration medicaments;NWMUlArV018;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;;;Suivi palu administration medicaments;NWMUlArV018;;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;;Suivi palu fièvre;mz3h58UvFhO;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;;;Suivi palu fièvre;mz3h58UvFhO;;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;;Suivi palu difficultés alimentation;VALrhRRT9aG;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;;;Suivi palu difficultés alimentation;VALrhRRT9aG;;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;;Suivi palu vomit tout;cGtZE97cst1;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;;;Suivi palu vomit tout;cGtZE97cst1;;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;;Suivi palu convulsions;JMDW3rx4GaF;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;;;Suivi palu convulsions;JMDW3rx4GaF;;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;;Suivi palu lethargie inconscient;ajKSm0xkM2d;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;;;Suivi palu lethargie inconscient;ajKSm0xkM2d;;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PEC Suivi;L11S8WS5sy7;;;Code Opération;QEpj5yfYAej;;;;;Code Opération;QEpj5yfYAej;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;;;Code Opération;QEpj5yfYAej;;;;;Code Opération;QEpj5yfYAej;;non;
