ordreExecution;rapidpro_flowUuid;rapidpro_flowName;rapidpro_declancheur;rapidpro_position;rapidpro_name;dhis_programName;dhis_programId;dhis_programEnrolmentDate;dhis_programIncidentDate;dhis_programOrgUnitCode;dhis_attributName;dhis_attributId;dhis_programStageName;dhis_programStageId;dhis_programStageOrgUnitCode;dhis_programStageEventDate;dhis_programStageDataElementName;dhis_programStageDataElementId;dhis_programMasterName;dhis_programMasterId;dhis_attributValueUniqueName;dhis_attributValueUniqueId;dhis_DataElementValueUniqueName;dhis_DataElementValueUniqueId
7;2531ecdc-dcf2-44e2-83c7-f8132e17d8b8;SOINS DU NOUVEAU NE;snnref;1;Code ASBC;Registre NOUVEAU NE;Cl2h4aptwQV;;;orgUnitCode;;;Suivi NOUVEAU NE;rKB7w98cbXo;orgUnitCode;;;;;;;;;
7;2531ecdc-dcf2-44e2-83c7-f8132e17d8b8;SOINS DU NOUVEAU NE;snnref;2;code personne;Registre NOUVEAU NE;Cl2h4aptwQV;;;;;;Suivi NOUVEAU NE;rKB7w98cbXo;;;;;;;30.2.Code personne;JYoSCoz2VRf;;
7;2531ecdc-dcf2-44e2-83c7-f8132e17d8b8;SOINS DU NOUVEAU NE;snnref;3;Age personne;Registre NOUVEAU NE;Cl2h4aptwQV;;;;;;Suivi NOUVEAU NE;rKB7w98cbXo;;;30.43.Age en mois;HkFRGHc6iYy;;;;;;
7;2531ecdc-dcf2-44e2-83c7-f8132e17d8b8;SOINS DU NOUVEAU NE;snnref;4;Date de visite;Registre NOUVEAU NE;Cl2h4aptwQV;;;;;;Suivi NOUVEAU NE;rKB7w98cbXo;;;30.47.Date de visite;oQBBWyEiKl6;;;;;;
7;2531ecdc-dcf2-44e2-83c7-f8132e17d8b8;SOINS DU NOUVEAU NE;snnref;5;Le lieu de naissance du bébé;Registre NOUVEAU NE;Cl2h4aptwQV;;;;;;Suivi NOUVEAU NE;rKB7w98cbXo;;;30.67.Le lieu de naissance du bébé;nxv6O1cvfSf;;;;;;
7;2531ecdc-dcf2-44e2-83c7-f8132e17d8b8;SOINS DU NOUVEAU NE;snnref;6;L'enfant est-il de faible poids ?;Registre NOUVEAU NE;Cl2h4aptwQV;;;;;;Suivi NOUVEAU NE;rKB7w98cbXo;;;30.68.L'enfant est-il de faible poids ?;HPYDQTTBOTM;;;;;;
7;2531ecdc-dcf2-44e2-83c7-f8132e17d8b8;SOINS DU NOUVEAU NE;snnref;7;Quel est le poids de l'enfant?;Registre NOUVEAU NE;Cl2h4aptwQV;;;;;;Suivi NOUVEAU NE;rKB7w98cbXo;;;30.69.Quel est le poids de l'enfant?;QkhPMpckOQg;;;;;;
7;2531ecdc-dcf2-44e2-83c7-f8132e17d8b8;SOINS DU NOUVEAU NE;snnref;8;**Voulez-vous effectuer une visite recommandée par le CSPS ?**;Registre NOUVEAU NE;Cl2h4aptwQV;;;;;;Suivi NOUVEAU NE;rKB7w98cbXo;;;30.71.Visite recommandee;p6N1mcXp88S;;;;;;
7;2531ecdc-dcf2-44e2-83c7-f8132e17d8b8;SOINS DU NOUVEAU NE;snnref;9;Avez-vous suivi les recommandations / conseils de l'ICP ?;Registre NOUVEAU NE;Cl2h4aptwQV;;;;;;Suivi NOUVEAU NE;rKB7w98cbXo;;;snnref_Avez-vous suivi les recommandations / conseils de l'ICP ?;iBR16w6ugqn;;;;;;
7;2531ecdc-dcf2-44e2-83c7-f8132e17d8b8;SOINS DU NOUVEAU NE;snnref;10;Incapable de téter depuis la naissance, ou a cessé de bien téter;Registre NOUVEAU NE;Cl2h4aptwQV;;;;;;Suivi NOUVEAU NE;rKB7w98cbXo;;;snnref_Incapable de téter depuis la naissance, ou a cessé de bien téter;m0N8sfDdZhH;;;;;;
7;2531ecdc-dcf2-44e2-83c7-f8132e17d8b8;SOINS DU NOUVEAU NE;snnref;11;Convulse ou fait des crises depuis la naissance;Registre NOUVEAU NE;Cl2h4aptwQV;;;;;;Suivi NOUVEAU NE;rKB7w98cbXo;;;snnref_Convulse ou fait des crises depuis la naissance;XH8fcqCyu21;;;;;;
7;2531ecdc-dcf2-44e2-83c7-f8132e17d8b8;SOINS DU NOUVEAU NE;snnref;12;Respiration rapide: 60 respirations ou plus par minute (en deux comptages);Registre NOUVEAU NE;Cl2h4aptwQV;;;;;;Suivi NOUVEAU NE;rKB7w98cbXo;;;snnref_Respiration rapide: 60 respirations ou plus par minute (en deux comptages);o4jUne3i5ql;;;;;;
7;2531ecdc-dcf2-44e2-83c7-f8132e17d8b8;SOINS DU NOUVEAU NE;snnref;13;Tirage sous-costal marqué ou intercostal;Registre NOUVEAU NE;Cl2h4aptwQV;;;;;;Suivi NOUVEAU NE;rKB7w98cbXo;;;snnref_Tirage sous-costal marqué ou intercostal;BjfQdRn2dbK;;;;;;
