ordreExecution;rapidpro_flowUuid;rapidpro_flowName;rapidpro_declancheur;rapidpro_position;rapidpro_name;dhis_programName;dhis_programId;dhis_programEnrolmentDate;dhis_programIncidentDate;dhis_programOrgUnitCode;dhis_attributName;dhis_attributId;dhis_programStageName;dhis_programStageId;dhis_programStageOrgUnitCode;dhis_programStageEventDate;dhis_programStageDataElementName;dhis_programStageDataElementId;dhis_programMasterName;dhis_programMasterId;dhis_attributValueUniqueName;dhis_attributValueUniqueId;dhis_DataElementValueUniqueName;dhis_DataElementValueUniqueId
7;2531ecdc-dcf2-44e2-83c7-f8132e17d8b8;SOINS DU NOUVEAU NE;snne;1;Code ASBC;Registre NOUVEAU NE;Cl2h4aptwQV;;;orgUnitCode;;;Suivi NOUVEAU NE;rKB7w98cbXo;orgUnitCode;;;;;;;;;
7;2531ecdc-dcf2-44e2-83c7-f8132e17d8b8;SOINS DU NOUVEAU NE;snne;2;code personne;Registre NOUVEAU NE;Cl2h4aptwQV;;;;;;Suivi NOUVEAU NE;rKB7w98cbXo;;;;;Registre PRISE EN CHARGE;kFjVC6CTFrK;Code personne;vadegRbcklv;;
7;2531ecdc-dcf2-44e2-83c7-f8132e17d8b8;SOINS DU NOUVEAU NE;snne;3;Date de visite;Registre NOUVEAU NE;Cl2h4aptwQV;enrolmentDate;incidentDate;;;;Suivi NOUVEAU NE;rKB7w98cbXo;;eventDate;30.47.Date de visite;oQBBWyEiKl6;;;;;30.47.Date de visite;oQBBWyEiKl6
7;2531ecdc-dcf2-44e2-83c7-f8132e17d8b8;SOINS DU NOUVEAU NE;snne;4;30.70.Est-ce votre première visite ?;Registre NOUVEAU NE;Cl2h4aptwQV;;;;;;Suivi NOUVEAU NE;rKB7w98cbXo;;;30.70.Est-ce votre première visite ?;gIKdB2ll0gd;;;;;;
7;2531ecdc-dcf2-44e2-83c7-f8132e17d8b8;SOINS DU NOUVEAU NE;snne;5;Le lieu de naissance du bébé;Registre NOUVEAU NE;Cl2h4aptwQV;;;;;;Suivi NOUVEAU NE;rKB7w98cbXo;;;30.67.Le lieu de naissance du bébé;nxv6O1cvfSf;;;;;;
7;2531ecdc-dcf2-44e2-83c7-f8132e17d8b8;SOINS DU NOUVEAU NE;snne;6;Genre;Registre NOUVEAU NE;Cl2h4aptwQV;;;;;;Suivi NOUVEAU NE;rKB7w98cbXo;;;Genre;nHLxqC9HkgC;;;;;;
7;2531ecdc-dcf2-44e2-83c7-f8132e17d8b8;SOINS DU NOUVEAU NE;snne;8;**Voulez-vous effectuer une visite recommandée par le CSPS ?**;Registre NOUVEAU NE;Cl2h4aptwQV;;;;;;Suivi NOUVEAU NE;rKB7w98cbXo;;;30.71.Visite recommandee;p6N1mcXp88S;;;;;;
7;2531ecdc-dcf2-44e2-83c7-f8132e17d8b8;SOINS DU NOUVEAU NE;snne;8;L'enfant est-il de faible poids ?;Registre NOUVEAU NE;Cl2h4aptwQV;;;;;;Suivi NOUVEAU NE;rKB7w98cbXo;;;30.68.L'enfant est-il de faible poids ?;HPYDQTTBOTM;;;;;;
7;2531ecdc-dcf2-44e2-83c7-f8132e17d8b8;SOINS DU NOUVEAU NE;snne;9;Quel est le poids de l'enfant?;Registre NOUVEAU NE;Cl2h4aptwQV;;;;;;Suivi NOUVEAU NE;rKB7w98cbXo;;;30.69.Quel est le poids de l'enfant?;QkhPMpckOQg;;;;;;
7;2531ecdc-dcf2-44e2-83c7-f8132e17d8b8;SOINS DU NOUVEAU NE;snne;10;30.71.Visite recommandee;Registre NOUVEAU NE;Cl2h4aptwQV;;;;;;Suivi NOUVEAU NE;rKB7w98cbXo;;;30.71.Visite recommandee;p6N1mcXp88S;;;;;;
7;2531ecdc-dcf2-44e2-83c7-f8132e17d8b8;SOINS DU NOUVEAU NE;snne;11;30.76.Nombre de jour de visite;Registre NOUVEAU NE;Cl2h4aptwQV;;;;;;Suivi NOUVEAU NE;rKB7w98cbXo;;;30.76.Nombre de jour de visite;iKNHSpICMd9;;;;;;
7;2531ecdc-dcf2-44e2-83c7-f8132e17d8b8;SOINS DU NOUVEAU NE;snne;12;30.71.Visite recommandee;Registre NOUVEAU NE;Cl2h4aptwQV;;;;;;Suivi NOUVEAU NE;rKB7w98cbXo;;;30.71.Visite recommandee;p6N1mcXp88S;;;;;;
7;2531ecdc-dcf2-44e2-83c7-f8132e17d8b8;SOINS DU NOUVEAU NE;snne;13;30.73.Visite programmee;Registre NOUVEAU NE;Cl2h4aptwQV;;;;;;Suivi NOUVEAU NE;rKB7w98cbXo;;;30.73.Visite programmee;aMB2cR5WhqQ;;;;;;
7;2531ecdc-dcf2-44e2-83c7-f8132e17d8b8;SOINS DU NOUVEAU NE;snne;14;30.74.Visite pour faible poids;Registre NOUVEAU NE;Cl2h4aptwQV;;;;;;Suivi NOUVEAU NE;rKB7w98cbXo;;;30.74.Visite pour faible poids;TYVL9E6MYqL;;;;;;
7;2531ecdc-dcf2-44e2-83c7-f8132e17d8b8;SOINS DU NOUVEAU NE;snne;15;30.72.Signe de danger;Registre NOUVEAU NE;Cl2h4aptwQV;;;;;;Suivi NOUVEAU NE;rKB7w98cbXo;;;30.72.Signe de danger;oOJR0l5xCb8;;;;;;
