ordreExecution;rapidpro_flowUuid;rapidpro_flowName;rapidpro_declancheur;rapidpro_position;rapidpro_name;dhis_programName;dhis_programId;dhis_programEnrolmentDate;dhis_programIncidentDate;dhis_programOrgUnitCode;dhis_attributName;dhis_attributId;dhis_programStageName;dhis_programStageId;dhis_programStageOrgUnitCode;dhis_programStageEventDate;dhis_programStageDataElementName;dhis_programStageDataElementId;dhis_programMasterName;dhis_programMasterId;dhis_attributValueUniqueName;dhis_attributValueUniqueId;dhis_DataElementValueUniqueName;dhis_DataElementValueUniqueId
7;2531ecdc-dcf2-44e2-83c7-f8132e17d8b8;SOINS DU NOUVEAU NE;snne;1;Code ASBC;Registre NOUVEAU NE;Cl2h4aptwQV;;;orgUnitCode;;;Suivi NOUVEAU NE;rKB7w98cbXo;orgUnitCode;;;;;;;;;
7;2531ecdc-dcf2-44e2-83c7-f8132e17d8b8;SOINS DU NOUVEAU NE;snne;2;code personne;Registre NOUVEAU NE;Cl2h4aptwQV;;;;;;Suivi NOUVEAU NE;rKB7w98cbXo;;;;;Registre PRISE EN CHARGE;kFjVC6CTFrK;30.2.Code personne;JYoSCoz2VRf;;
7;2531ecdc-dcf2-44e2-83c7-f8132e17d8b8;SOINS DU NOUVEAU NE;snne;3;Age personne;Registre NOUVEAU NE;Cl2h4aptwQV;;;;;;Suivi NOUVEAU NE;rKB7w98cbXo;;;30.43.Age en mois;HkFRGHc6iYy;;;;;;
7;2531ecdc-dcf2-44e2-83c7-f8132e17d8b8;SOINS DU NOUVEAU NE;snne;4;Date de visite;Registre NOUVEAU NE;Cl2h4aptwQV;enrolmentDate;incidentDate;;;;Suivi NOUVEAU NE;rKB7w98cbXo;;eventDate;30.47.Date de visite;oQBBWyEiKl6;;;;;30.47.Date de visite;oQBBWyEiKl6
7;2531ecdc-dcf2-44e2-83c7-f8132e17d8b8;SOINS DU NOUVEAU NE;snne;5;Le lieu de naissance du bébé;Registre NOUVEAU NE;Cl2h4aptwQV;;;;;;Suivi NOUVEAU NE;rKB7w98cbXo;;;30.67.Le lieu de naissance du bébé;nxv6O1cvfSf;;;;;;
7;2531ecdc-dcf2-44e2-83c7-f8132e17d8b8;SOINS DU NOUVEAU NE;snne;6;L'enfant est-il de faible poids ?;Registre NOUVEAU NE;Cl2h4aptwQV;;;;;;Suivi NOUVEAU NE;rKB7w98cbXo;;;30.68.L'enfant est-il de faible poids ?;HPYDQTTBOTM;;;;;;
7;2531ecdc-dcf2-44e2-83c7-f8132e17d8b8;SOINS DU NOUVEAU NE;snne;7;Quel est le poids de l'enfant?;Registre NOUVEAU NE;Cl2h4aptwQV;;;;;;Suivi NOUVEAU NE;rKB7w98cbXo;;;30.69.Quel est le poids de l'enfant?;QkhPMpckOQg;;;;;;
7;2531ecdc-dcf2-44e2-83c7-f8132e17d8b8;SOINS DU NOUVEAU NE;snne;8;**Voulez-vous effectuer une visite recommandée par le CSPS ?**;Registre NOUVEAU NE;Cl2h4aptwQV;;;;;;Suivi NOUVEAU NE;rKB7w98cbXo;;;30.71.Visite recommandee;p6N1mcXp88S;;;;;;
7;2531ecdc-dcf2-44e2-83c7-f8132e17d8b8;SOINS DU NOUVEAU NE;snne;9;Avez-vous suivi les recommandations / conseils de l'ICP ?;Registre NOUVEAU NE;Cl2h4aptwQV;;;;;;Suivi NOUVEAU NE;rKB7w98cbXo;;;snne_Avez-vous suivi les recommandations / conseils de l'ICP ?;iBR16w6ugqn;;;;;;
7;2531ecdc-dcf2-44e2-83c7-f8132e17d8b8;SOINS DU NOUVEAU NE;snne;10;Incapable de téter depuis la naissance, ou a cessé de bien téter;Registre NOUVEAU NE;Cl2h4aptwQV;;;;;;Suivi NOUVEAU NE;rKB7w98cbXo;;;snne_Incapable de téter depuis la naissance, ou a cessé de bien téter;m0N8sfDdZhH;;;;;;
7;2531ecdc-dcf2-44e2-83c7-f8132e17d8b8;SOINS DU NOUVEAU NE;snne;11;Convulse ou fait des crises depuis la naissance;Registre NOUVEAU NE;Cl2h4aptwQV;;;;;;Suivi NOUVEAU NE;rKB7w98cbXo;;;snne_Convulse ou fait des crises depuis la naissance;XH8fcqCyu21;;;;;;
7;2531ecdc-dcf2-44e2-83c7-f8132e17d8b8;SOINS DU NOUVEAU NE;snne;12;Respiration rapide: 60 respirations ou plus par minute (en deux comptages);Registre NOUVEAU NE;Cl2h4aptwQV;;;;;;Suivi NOUVEAU NE;rKB7w98cbXo;;;snne_Respiration rapide: 60 respirations ou plus par minute (en deux comptages);o4jUne3i5ql;;;;;;
7;2531ecdc-dcf2-44e2-83c7-f8132e17d8b8;SOINS DU NOUVEAU NE;snne;13;Tirage sous-costal marqué ou intercostal;Registre NOUVEAU NE;Cl2h4aptwQV;;;;;;Suivi NOUVEAU NE;rKB7w98cbXo;;;snne_Tirage sous-costal marqué ou intercostal;BjfQdRn2dbK;;;;;;
7;2531ecdc-dcf2-44e2-83c7-f8132e17d8b8;SOINS DU NOUVEAU NE;snne;14;Température axillaire élevée: 37.5°C ou plus (remplacer par Corps chaud);Registre NOUVEAU NE;Cl2h4aptwQV;;;;;;Suivi NOUVEAU NE;rKB7w98cbXo;;;snne_Température axillaire élevée: 37.5°C ou plus (remplacer par Corps chaud);hfC44xFBmdM;;;;;;
7;2531ecdc-dcf2-44e2-83c7-f8132e17d8b8;SOINS DU NOUVEAU NE;snne;15;Température axillaire très basse: 35.4°C ou moins;Registre NOUVEAU NE;Cl2h4aptwQV;;;;;;Suivi NOUVEAU NE;rKB7w98cbXo;;;snne_Température axillaire très basse: 35.4°C ou moins;Tt9wmpacwL5;;;;;;
7;2531ecdc-dcf2-44e2-83c7-f8132e17d8b8;SOINS DU NOUVEAU NE;snne;16;Bouge uniquement après stimulation, ou ne bouge pas même après stimulation;Registre NOUVEAU NE;Cl2h4aptwQV;;;;;;Suivi NOUVEAU NE;rKB7w98cbXo;;;snne_Bouge uniquement après stimulation, ou ne bouge pas même après stimulation;wAeSL7cl8ES;;;;;;
7;2531ecdc-dcf2-44e2-83c7-f8132e17d8b8;SOINS DU NOUVEAU NE;snne;17;Plante des pieds jaune;Registre NOUVEAU NE;Cl2h4aptwQV;;;;;;Suivi NOUVEAU NE;rKB7w98cbXo;;;snne_Plante des pieds jaune;M39KUvMsWW7;;;;;;
7;2531ecdc-dcf2-44e2-83c7-f8132e17d8b8;SOINS DU NOUVEAU NE;snne;18;Signes d’infection locale: ombilic rouge ou laissant couler du pus, pustules cutanées, ou écoulement de pus des yeux;Registre NOUVEAU NE;Cl2h4aptwQV;;;;;;Suivi NOUVEAU NE;rKB7w98cbXo;;;snne_Signes d’infection locale: ombilic rouge ou laissant couler du pus, pustules cutanées, ou écoulement de pus des yeux;Gvf30GIhZIx;;;;;;
7;2531ecdc-dcf2-44e2-83c7-f8132e17d8b8;SOINS DU NOUVEAU NE;snne;19;Autres problèmes;Registre NOUVEAU NE;Cl2h4aptwQV;;;;;;Suivi NOUVEAU NE;rKB7w98cbXo;;;snne_Autres problèmes;K0QokPm6Z1P;;;;;;
