source_dhis_programName;source_dhis_programId;source_dhis_attributName;source_dhis_attributId;source_dhis_programStageName;source_dhis_programStageId;source_dhis_programStageDataElementName;source_dhis_programStageDataElementId;source_dhis_programMasterName;source_dhis_programMasterId;source_dhis_attributValueUniqueName;source_dhis_attributValueUniqueId;source_dhis_dataElementValueUniqueName;source_dhis_dataElementValueUniqueId;destination_dhis_programName;destination_dhis_programId;destination_dhis_attributName;destination_dhis_attributId;destination_dhis_programStageName;destination_dhis_programStageId;destination_dhis_programStageDataElementName;destination_dhis_programStageDataElementId;destination_dhis_programMasterName;destination_dhis_programMasterId;destination_dhis_attributValueUniqueName;destination_dhis_attributValueUniqueId;destination_dhis_dataElementValueUniqueName;destination_dhis_dataElementValueUniqueId;AllAttributValueMatching;AllDataElementValueMatching;changeValue
Surveillance épidémiologique;w7d5BQNFPrF;;;Surveillance épidémiologique;AjcutGKeZQW;SurVMal. 01. Cas de Rougeole;LmIrc3qlpHE;;;;;;;Surveillance épidémiologique;w7d5BQNFPrF;;;Surveillance épidémiologique;AjcutGKeZQW;SurVMal. 01. Cas de Rougeole;LmIrc3qlpHE;;;;;;;;;
Surveillance épidémiologique;w7d5BQNFPrF;;;Surveillance épidémiologique;AjcutGKeZQW;SurVMal. 02. Cas de Diarrhée sanguinolente (avec sang dans les selles);pOzwjxZO3VM;;;;;;;Surveillance épidémiologique;w7d5BQNFPrF;;;Surveillance épidémiologique;AjcutGKeZQW;SurVMal. 02. Cas de Diarrhée sanguinolente (avec sang dans les selles);pOzwjxZO3VM;;;;;;;;;
Surveillance épidémiologique;w7d5BQNFPrF;;;Surveillance épidémiologique;AjcutGKeZQW;SurVMal. 03. Cas de Tétanos néonatal;jWuQEOQHJV7;;;;;;;Surveillance épidémiologique;w7d5BQNFPrF;;;Surveillance épidémiologique;AjcutGKeZQW;SurVMal. 03. Cas de Tétanos néonatal;jWuQEOQHJV7;;;;;;;;;
Surveillance épidémiologique;w7d5BQNFPrF;;;Surveillance épidémiologique;AjcutGKeZQW;SurVMal. 04. Cas de Méningite;WJorV9wFAHV;;;;;;;Surveillance épidémiologique;w7d5BQNFPrF;;;Surveillance épidémiologique;AjcutGKeZQW;SurVMal. 04. Cas de Méningite;WJorV9wFAHV;;;;;;;;;
Surveillance épidémiologique;w7d5BQNFPrF;;;Surveillance épidémiologique;AjcutGKeZQW;SurVMal. 05. Cas de PFA;q53qhiTnmF1;;;;;;;Surveillance épidémiologique;w7d5BQNFPrF;;;Surveillance épidémiologique;AjcutGKeZQW;SurVMal. 05. Cas de PFA;q53qhiTnmF1;;;;;;;;;
Surveillance épidémiologique;w7d5BQNFPrF;;;Surveillance épidémiologique;AjcutGKeZQW;SurVMal. 06. Cas d’Ictère fébrile;TaFzbgk8brQ;;;;;;;Surveillance épidémiologique;w7d5BQNFPrF;;;Surveillance épidémiologique;AjcutGKeZQW;SurVMal. 06. Cas d’Ictère fébrile;TaFzbgk8brQ;;;;;;;;;
Surveillance épidémiologique;w7d5BQNFPrF;;;Surveillance épidémiologique;AjcutGKeZQW;SurVMal. 07. Cas de Dracunculose (ver de guinée);CI967YRN8T8;;;;;;;Surveillance épidémiologique;w7d5BQNFPrF;;;Surveillance épidémiologique;AjcutGKeZQW;SurVMal. 07. Cas de Dracunculose (ver de guinée);CI967YRN8T8;;;;;;;;;
Surveillance épidémiologique;w7d5BQNFPrF;;;Surveillance épidémiologique;AjcutGKeZQW;SurVMal. 08. Cas de Choléra;tItQtRYOyhe;;;;;;;Surveillance épidémiologique;w7d5BQNFPrF;;;Surveillance épidémiologique;AjcutGKeZQW;SurVMal. 08. Cas de Choléra;tItQtRYOyhe;;;;;;;;;
Surveillance épidémiologique;w7d5BQNFPrF;;;Surveillance épidémiologique;AjcutGKeZQW;SurVMal. 09. Cas de Maladie à virus Ebola (MVE);xzFH8rqCPLl;;;;;;;Surveillance épidémiologique;w7d5BQNFPrF;;;Surveillance épidémiologique;AjcutGKeZQW;SurVMal. 09. Cas de Maladie à virus Ebola (MVE);xzFH8rqCPLl;;;;;;;;;
Surveillance épidémiologique;w7d5BQNFPrF;;;Surveillance épidémiologique;AjcutGKeZQW;Code Opération;QEpj5yfYAej;;;;;Code Opération;QEpj5yfYAej;Surveillance épidémiologique;w7d5BQNFPrF;;;Surveillance épidémiologique;AjcutGKeZQW;Code Opération;QEpj5yfYAej;;;;;Code Opération;QEpj5yfYAej;;;
