ordreExecution;rapidpro_flowUuid;rapidpro_flowName;rapidpro_declancheur;rapidpro_position;rapidpro_name;pga_Name;pga_key
1;289bf3dd-d2f0-4456-a973-44f907c3237f;ENREGISTREMENT DES ASBC;enregasbcau;1;Code ASBC;Code ASBC;code_asbc
1;289bf3dd-d2f0-4456-a973-44f907c3237f;ENREGISTREMENT DES ASBC;enregasbcau;2;Date opération;Date opération;date_operation
1;289bf3dd-d2f0-4456-a973-44f907c3237f;ENREGISTREMENT DES ASBC;enregasbcau;3;Distance Aller village-Csps (KM);Distance Aller village-Csps (KM);distance_village_csps
1;289bf3dd-d2f0-4456-a973-44f907c3237f;ENREGISTREMENT DES ASBC;enregasbcau;6;Date de naissance (JJ/MM/AAAA);Date de naissance (JJ/MM/AAAA);date_naissance
1;289bf3dd-d2f0-4456-a973-44f907c3237f;ENREGISTREMENT DES ASBC;enregasbcau;7;Genre;Genre;genre
1;289bf3dd-d2f0-4456-a973-44f907c3237f;ENREGISTREMENT DES ASBC;enregasbcau;8;Niveau d'instruction;Niveau d'instruction;niveau_instruction
1;289bf3dd-d2f0-4456-a973-44f907c3237f;ENREGISTREMENT DES ASBC;enregasbcau;9;Date recrutement;Date recrutement;date_recrutement
1;289bf3dd-d2f0-4456-a973-44f907c3237f;ENREGISTREMENT DES ASBC;enregasbcau;10;Numéro CNIB;Numéro CNIB;numero_cnib
1;289bf3dd-d2f0-4456-a973-44f907c3237f;ENREGISTREMENT DES ASBC;enregasbcau;11;Date établissement. CNIB;Date établissement. CNIB;date_etablissement_cnib
1;289bf3dd-d2f0-4456-a973-44f907c3237f;ENREGISTREMENT DES ASBC;enregasbcau;12;Lieu étab. CNIB;Lieu étab. CNIB;lieu_etab_cnib
1;289bf3dd-d2f0-4456-a973-44f907c3237f;ENREGISTREMENT DES ASBC;enregasbcau;13;Num. paiement;Num. paiement;num_paiement
1;289bf3dd-d2f0-4456-a973-44f907c3237f;ENREGISTREMENT DES ASBC;enregasbcau;14;Num. mHealth;Num. mHealth;num_mhealth
1;289bf3dd-d2f0-4456-a973-44f907c3237f;ENREGISTREMENT DES ASBC;enregasbcau;15;Autre numéro;Autre numéro;autre_numero
1;289bf3dd-d2f0-4456-a973-44f907c3237f;ENREGISTREMENT DES ASBC;enregasbcau;16;NuméroICP;NuméroICP;numero_icp
1;289bf3dd-d2f0-4456-a973-44f907c3237f;ENREGISTREMENT DES ASBC;enregasbcau;17;NuméromHealth ASBC 2;NuméromHealth ASBC 2;numero_mhealth_asbc_2
1;289bf3dd-d2f0-4456-a973-44f907c3237f;ENREGISTREMENT DES ASBC;enregasbcau;18;Date Enregistrement ASBC;Date Enregistrement ASBC;date_enregistrement_asbc
1;289bf3dd-d2f0-4456-a973-44f907c3237f;ENREGISTREMENT DES ASBC;enregasbcau;19;Type d'ASBC;Type d'ASBC;type_asbc
1;289bf3dd-d2f0-4456-a973-44f907c3237f;ENREGISTREMENT DES ASBC;enregasbcau;20;Code Opération;Code Opération;code_operation
11;289bf3dd-d2f0-4456-a973-44f907c3237f;ENREGISTREMENT DES ASBC;modifasbcau;1;Code ASBC;Code ASBC;code_asbc
11;289bf3dd-d2f0-4456-a973-44f907c3237f;ENREGISTREMENT DES ASBC;modifasbcau;2;Date opération;Date opération;date_operation
11;289bf3dd-d2f0-4456-a973-44f907c3237f;ENREGISTREMENT DES ASBC;modifasbcau;3;Distance Aller village-Csps (KM);Distance Aller village-Csps (KM);distance_village_csps
11;289bf3dd-d2f0-4456-a973-44f907c3237f;ENREGISTREMENT DES ASBC;modifasbcau;4;Date de naissance (JJ/MM/AAAA);Date de naissance (JJ/MM/AAAA);date_naissance
11;289bf3dd-d2f0-4456-a973-44f907c3237f;ENREGISTREMENT DES ASBC;modifasbcau;5;Genre;Genre;genre
11;289bf3dd-d2f0-4456-a973-44f907c3237f;ENREGISTREMENT DES ASBC;modifasbcau;6;Niveau d'instruction;Niveau d'instruction;niveau_instruction
11;289bf3dd-d2f0-4456-a973-44f907c3237f;ENREGISTREMENT DES ASBC;modifasbcau;7;Date recrutement;Date recrutement;date_recrutement
11;289bf3dd-d2f0-4456-a973-44f907c3237f;ENREGISTREMENT DES ASBC;modifasbcau;8;Numéro CNIB;Numéro CNIB;numero_cnib
11;289bf3dd-d2f0-4456-a973-44f907c3237f;ENREGISTREMENT DES ASBC;modifasbcau;9;Date établissement. CNIB;Date établissement. CNIB;date_etablissement_cnib
11;289bf3dd-d2f0-4456-a973-44f907c3237f;ENREGISTREMENT DES ASBC;modifasbcau;10;Lieu étab. CNIB;Lieu étab. CNIB;lieu_etab_cnib
11;289bf3dd-d2f0-4456-a973-44f907c3237f;ENREGISTREMENT DES ASBC;modifasbcau;11;Num. paiement;Num. paiement;num_paiement
11;289bf3dd-d2f0-4456-a973-44f907c3237f;ENREGISTREMENT DES ASBC;modifasbcau;12;Num. mHealth;Num. mHealth;num_mhealth
11;289bf3dd-d2f0-4456-a973-44f907c3237f;ENREGISTREMENT DES ASBC;modifasbcau;13;Autre numéro;Autre numéro;autre_numero
11;289bf3dd-d2f0-4456-a973-44f907c3237f;ENREGISTREMENT DES ASBC;modifasbcau;14;NuméroICP;NuméroICP;numero_icp
11;289bf3dd-d2f0-4456-a973-44f907c3237f;ENREGISTREMENT DES ASBC;modifasbcau;15;NuméromHealth ASBC 2;NuméromHealth ASBC 2;numero_mhealth_asbc_2
11;289bf3dd-d2f0-4456-a973-44f907c3237f;ENREGISTREMENT DES ASBC;modifasbcau;16;Date Enregistrement ASBC;Date Enregistrement ASBC;date_enregistrement_asbc
11;289bf3dd-d2f0-4456-a973-44f907c3237f;ENREGISTREMENT DES ASBC;modifasbcau;17;Type d'ASBC;Type d'ASBC;type_asbc
11;289bf3dd-d2f0-4456-a973-44f907c3237f;ENREGISTREMENT DES ASBC;modifasbcau;18;Code Opération;Code Opération;code_operation
2;289bf3dd-d2f0-4456-a973-44f907c3237f;ENREGISTREMENT DES ASBC;enregasbcnp;1;Code ASBC;Code ASBC;code_asbc
