ordreExecution;rapidpro_flowUuid;rapidpro_flowName;rapidpro_declancheur;rapidpro_position;rapidpro_name;pga_Name;pga_key
3;cf92abae-5147-4c42-b903-81d8a3245b5d;ENREGISTREMENT DES AUTRES INFORMATIONS ASBC;enregasbcau;1;Code ASBC;Code ASBC;code_asbc
3;cf92abae-5147-4c42-b903-81d8a3245b5d;ENREGISTREMENT DES AUTRES INFORMATIONS ASBC;enregasbcau;2;Date opération;Date opération;date_operation
3;cf92abae-5147-4c42-b903-81d8a3245b5d;ENREGISTREMENT DES AUTRES INFORMATIONS ASBC;enregasbcau;3;Distance Aller village-Csps (KM);Distance Aller village-Csps (KM);distance_village_csps
3;cf92abae-5147-4c42-b903-81d8a3245b5d;ENREGISTREMENT DES AUTRES INFORMATIONS ASBC;enregasbcau;4;Date de naissance (JJ/MM/AAAA);Date de naissance (JJ/MM/AAAA);date_naissance
3;cf92abae-5147-4c42-b903-81d8a3245b5d;ENREGISTREMENT DES AUTRES INFORMATIONS ASBC;enregasbcau;5;Genre;Genre;genre
3;cf92abae-5147-4c42-b903-81d8a3245b5d;ENREGISTREMENT DES AUTRES INFORMATIONS ASBC;enregasbcau;6;Niveau d'instruction;Niveau d'instruction;niveau_instruction
3;cf92abae-5147-4c42-b903-81d8a3245b5d;ENREGISTREMENT DES AUTRES INFORMATIONS ASBC;enregasbcau;7;Date recrutement;Date recrutement;date_recrutement
3;cf92abae-5147-4c42-b903-81d8a3245b5d;ENREGISTREMENT DES AUTRES INFORMATIONS ASBC;enregasbcau;8;Numéro CNIB;Numéro CNIB;numero_cnib
3;cf92abae-5147-4c42-b903-81d8a3245b5d;ENREGISTREMENT DES AUTRES INFORMATIONS ASBC;enregasbcau;9;Date établissement. CNIB;Date établissement. CNIB;date_etablissement_cnib
3;cf92abae-5147-4c42-b903-81d8a3245b5d;ENREGISTREMENT DES AUTRES INFORMATIONS ASBC;enregasbcau;10;Lieu étab. CNIB;Lieu étab. CNIB;lieu_etab_cnib
3;cf92abae-5147-4c42-b903-81d8a3245b5d;ENREGISTREMENT DES AUTRES INFORMATIONS ASBC;enregasbcau;11;Num. paiement;Num. paiement;num_paiement
3;cf92abae-5147-4c42-b903-81d8a3245b5d;ENREGISTREMENT DES AUTRES INFORMATIONS ASBC;enregasbcau;12;Num. mHealth;Num. mHealth;num_mhealth
3;cf92abae-5147-4c42-b903-81d8a3245b5d;ENREGISTREMENT DES AUTRES INFORMATIONS ASBC;enregasbcau;13;Autre numéro;Autre numéro;autre_numero
3;cf92abae-5147-4c42-b903-81d8a3245b5d;ENREGISTREMENT DES AUTRES INFORMATIONS ASBC;enregasbcau;14;NuméroICP;NuméroICP;numero_icp
3;cf92abae-5147-4c42-b903-81d8a3245b5d;ENREGISTREMENT DES AUTRES INFORMATIONS ASBC;enregasbcau;15;NuméromHealth ASBC 2;NuméromHealth ASBC 2;numero_mhealth_asbc_2
3;cf92abae-5147-4c42-b903-81d8a3245b5d;ENREGISTREMENT DES AUTRES INFORMATIONS ASBC;enregasbcau;16;Date Enregistrement ASBC;Date Enregistrement ASBC;date_enregistrement_asbc
3;cf92abae-5147-4c42-b903-81d8a3245b5d;ENREGISTREMENT DES AUTRES INFORMATIONS ASBC;enregasbcau;17;Type d'ASBC;Type d'ASBC;type_asbc
3;cf92abae-5147-4c42-b903-81d8a3245b5d;ENREGISTREMENT DES AUTRES INFORMATIONS ASBC;enregasbcau;18;Code Opération;Code Opération;code_operation
4;cf92abae-5147-4c42-b903-81d8a3245b5d;ENREGISTREMENT DES AUTRES INFORMATIONS ASBC;modifasbcau;1;Code ASBC;Code ASBC;code_asbc
4;cf92abae-5147-4c42-b903-81d8a3245b5d;ENREGISTREMENT DES AUTRES INFORMATIONS ASBC;modifasbcau;2;Date opération;Date opération;date_operation
4;cf92abae-5147-4c42-b903-81d8a3245b5d;ENREGISTREMENT DES AUTRES INFORMATIONS ASBC;modifasbcau;3;Distance Aller village-Csps (KM);Distance Aller village-Csps (KM);distance_village_csps
4;cf92abae-5147-4c42-b903-81d8a3245b5d;ENREGISTREMENT DES AUTRES INFORMATIONS ASBC;modifasbcau;4;Date de naissance (JJ/MM/AAAA);Date de naissance (JJ/MM/AAAA);date_naissance
4;cf92abae-5147-4c42-b903-81d8a3245b5d;ENREGISTREMENT DES AUTRES INFORMATIONS ASBC;modifasbcau;5;Genre;Genre;genre
4;cf92abae-5147-4c42-b903-81d8a3245b5d;ENREGISTREMENT DES AUTRES INFORMATIONS ASBC;modifasbcau;6;Niveau d'instruction;Niveau d'instruction;niveau_instruction
4;cf92abae-5147-4c42-b903-81d8a3245b5d;ENREGISTREMENT DES AUTRES INFORMATIONS ASBC;modifasbcau;7;Date recrutement;Date recrutement;date_recrutement
4;cf92abae-5147-4c42-b903-81d8a3245b5d;ENREGISTREMENT DES AUTRES INFORMATIONS ASBC;modifasbcau;8;Numéro CNIB;Numéro CNIB;numero_cnib
4;cf92abae-5147-4c42-b903-81d8a3245b5d;ENREGISTREMENT DES AUTRES INFORMATIONS ASBC;modifasbcau;9;Date établissement. CNIB;Date établissement. CNIB;date_etablissement_cnib
