ordreExecution;rapidpro_flowUuid;rapidpro_flowName;rapidpro_declancheur;rapidpro_position;rapidpro_name;dhis_eventName;dhis_eventId;dhis_eventOrgUnitCode;dhis_eventDate;dhis_eventDataElementName;dhis_eventDataElementId;dhis_valueUnique;dhis_assignValue;;;;;;;;;;;;
10;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;ajuststock;;;Gestion intrant;XzFxUYlBIkN;;;1. Type d'opération;k3StAHJLRVj;;6;;;;;;;;;;;;
10;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;ajuststock;1;Code ASBC;Gestion intrant;XzFxUYlBIkN;oui;;;;;;;;;;;;;;;;;
10;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;ajuststock;2;date de l'operation;Gestion intrant;XzFxUYlBIkN;;oui;;;;;;;;;;;;;;;;
10;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;ajuststock;3;Paracetamol 500mg;Gestion intrant;XzFxUYlBIkN;;;Indiv_1.9 Paracetamol 500mg;HBdqe0zxKdR;;;;;;;;;;;;;;
10;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;ajuststock;4;Artéméther+ Luméfantrine 20/120mg comp (plaquette de 6);Gestion intrant;XzFxUYlBIkN;;;Indiv_1.1 Artemether-Lumefantrine 20/120mg comp (plaquette de 6);je9EZjk1J95;;;;;;;;;;;;;;
10;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;ajuststock;5;Artéméther+ Luméfantrine 20/120mg comp (plaquette de 12);Gestion intrant;XzFxUYlBIkN;;;Indiv_1.2 Artemether-Lumefantrine 20/120mg comp (plaquette de 12);b2jXscnYzU7;;;;;;;;;;;;;;
10;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;ajuststock;6;Artéméther+ Luméfantrine 20/120mg comp (plaquette de 18);Gestion intrant;XzFxUYlBIkN;;;Indiv_1.3 Artemether-Lumefantrine 20/120mg comp (plaquette de 18);KS0NpR8CFq9;;;;;;;;;;;;;;
10;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;ajuststock;7;Artéméther+ Luméfantrine 20/120mg comp (plaquette de 24);Gestion intrant;XzFxUYlBIkN;;;Indiv_1.4 Artemether-Lumefantrine 20/120mg comp (plaquette de 24);KfFBHoy6pK4;;;;;;;;;;;;;;
10;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;ajuststock;8;Dihydroartemisinine 20mg+ Pipéraquine 160mg;Gestion intrant;XzFxUYlBIkN;;;Indiv_1.5 Dihydroartemisinine 20mg-Piperaquine 160mg;WINtPvor73n;;;;;;;;;;;;;;
10;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;ajuststock;9;Dihydroartemisinine 20mg+ Pipéraquine 320mg;Gestion intrant;XzFxUYlBIkN;;;Indiv_1.6 Dihydroartemisinine 40mg-Piperaquine 320mg;pfErpI465XJ;;;;;;;;;;;;;;
