ordreExecution;rapidpro_flowUuid;rapidpro_flowName;rapidpro_declancheur;rapidpro_position;rapidpro_name;dhis_programName;dhis_programId;dhis_programEnrolmentDate;dhis_programIncidentDate;dhis_programOrgUnitCode;dhis_attributName;dhis_attributId;dhis_programStageName;dhis_programStageId;dhis_programStageOrgUnitCode;dhis_programStageEventDate;dhis_programStageDataElementName;dhis_programStageDataElementId;dhis_programMasterName;dhis_programMasterId;dhis_attributValueUniqueName;dhis_attributValueUniqueId;dhis_dataElementValueUniqueName;dhis_dataElementValueUniqueId;dhis_assignValue;changeValue
27;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;asbccaus;1;Code ASBC;Activité de groupe;DUqxmpHsIlR;;;;;;Causeries Educatives;g77fMvqYO4k;oui;;;;;;;;;;;
27;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;asbccaus;2;date de l'operation;Activité de groupe;DUqxmpHsIlR;;;;;;Causeries Educatives;g77fMvqYO4k;;oui;;;;;;;;;;
27;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;asbccaus;3;Sujet de causerie;Activité de groupe;DUqxmpHsIlR;;;;;;Causeries Educatives;g77fMvqYO4k;;;Sujet de causerie;q6S68lrtRvS;;;;;;;;
27;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;asbccaus;4;Participants Femmes 6 - 14 ans;Activité de groupe;DUqxmpHsIlR;;;;;;Causeries Educatives;g77fMvqYO4k;;;Participants Femmes 6 - 14 ans;Z9NE4mIvkr3;;;;;;;;
27;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;asbccaus;5;Participants Femmes 15 - 19 ans;Activité de groupe;DUqxmpHsIlR;;;;;;Causeries Educatives;g77fMvqYO4k;;;Participants Femmes 15 - 19 ans;Sh1AkjL9trT;;;;;;;;
27;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;asbccaus;6;Participants Femmes 20 et plus;Activité de groupe;DUqxmpHsIlR;;;;;;Causeries Educatives;g77fMvqYO4k;;;Participants Femmes 20 et plus;ngsBWiX9f5m;;;;;;;;
27;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;asbccaus;7;Participants Hommes 6 - 14 ans;Activité de groupe;DUqxmpHsIlR;;;;;;Causeries Educatives;g77fMvqYO4k;;;Participants Hommes 6 - 14 ans;NEBfSLZEZ3C;;;;;;;;
27;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;asbccaus;8;Participants Hommes 15 - 19 ans;Activité de groupe;DUqxmpHsIlR;;;;;;Causeries Educatives;g77fMvqYO4k;;;Participants Hommes 15 - 19 ans;NOBkiX1mk3N;;;;;;;;
27;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;asbccaus;9;Participants Hommes 20 et plus;Activité de groupe;DUqxmpHsIlR;;;;;;Causeries Educatives;g77fMvqYO4k;;;Participants Hommes 20 et plus;KZJu2qzPmr7;;;;;;;;
27;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;asbccaus;10;Code Opération;Activité de groupe;DUqxmpHsIlR;;;;;;Causeries Educatives;g77fMvqYO4k;;;Code Opération;QEpj5yfYAej;;;;;Code Opération;QEpj5yfYAej;;
27;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;asbccaus;;Code Mois de la planifié;Activité de groupe;DUqxmpHsIlR;;;;;;Causeries Educatives;g77fMvqYO4k;;;;;Activité de groupe;DUqxmpHsIlR;Mois planifié;LJbCn4X0FCe;;;00;
