ordreExecution;rapidpro_flowUuid;rapidpro_flowName;rapidpro_declancheur;rapidpro_position;rapidpro_name;dhis_orgUnitCode;dhis_periode;dhis_typePeriode;dhis_changeToPeriode;dhis_promptitude;dhis_reference;dhis_dataSetName;dhis_dataSetId;dhis_dataElementName;dhis_dataElementId;dhis_categorieComboName;dhis_categorieComboId;dhis_categorieComboOptionName;dhis_categorieComboOptionId;dhis_assignValue;dhis_addValue
1;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;asbccaus;1;Code ASBC;oui;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
1;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;asbccaus;2;Code Opération;;;;oui;oui;;Activité ASBC;tqIum6VDHOH;;;;;;;;
1;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;asbccaus;3;date de l'operation;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
1;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;asbccaus;4;Sujet de causerie;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
1;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;asbccaus;5;Participants Femmes 6 - 14 ans;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
1;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;asbccaus;6;Participants Femmes 15 - 19 ans;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
1;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;asbccaus;7;Participants Femmes 20 et plus;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
1;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;asbccaus;8;Participants Hommes 6 - 14 ans;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
1;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;asbccaus;9;Participants Hommes 15 - 19 ans;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
1;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;asbccaus;10;Participants Hommes 20 et plus;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
1;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;asbccaus;;;;;;;;;Activité ASBC;tqIum6VDHOH;Nombre de SMS;ehvoRQe4CJm;;;default;HllvX50cXC0;1;oui
