ordreExecution;rapidpro_flowUuid;rapidpro_flowName;rapidpro_declancheur;rapidpro_position;rapidpro_name;dhis_programName;dhis_programId;dhis_programEnrolmentDate;dhis_programIncidentDate;dhis_programOrgUnitCode;dhis_attributName;dhis_attributId;dhis_programStageName;dhis_programStageId;dhis_programStageOrgUnitCode;dhis_programStageEventDate;dhis_programStageDataElementName;dhis_programStageDataElementId;dhis_programMasterName;dhis_programMasterId;dhis_attributValueUniqueName;dhis_attributValueUniqueId;dhis_dataElementValueUniqueName;dhis_dataElementValueUniqueId;dhis_assignValue;changeValue
28;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;asbcvad;1;Code ASBC;Activité de groupe;DUqxmpHsIlR;;;;;;Visite à domicile;yP0iLIAblnR;oui;;;;;;;;;;;
28;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;asbcvad;2;date de l'operation;Activité de groupe;DUqxmpHsIlR;;;;;;Visite à domicile;yP0iLIAblnR;;oui;;;;;;;;;;
28;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;asbcvad;3;Code Mois de la planifié;Activité de groupe;DUqxmpHsIlR;;;;;;Visite à domicile;yP0iLIAblnR;;;;;Activité de groupe;DUqxmpHsIlR;Mois planifié;LJbCn4X0FCe;;;;
28;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;asbcvad;4;Sujet de visite;Activité de groupe;DUqxmpHsIlR;;;;;;Visite à domicile;yP0iLIAblnR;;;Sujet de visite;epuxvq3U569;;;;;;;;
28;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;asbcvad;5;Participants Femmes 6 - 14 ans;Activité de groupe;DUqxmpHsIlR;;;;;;Visite à domicile;yP0iLIAblnR;;;Participants Femmes 6 - 14 ans;Z9NE4mIvkr3;;;;;;;;
28;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;asbcvad;6;Participants Femmes 15 - 19 ans;Activité de groupe;DUqxmpHsIlR;;;;;;Visite à domicile;yP0iLIAblnR;;;Participants Femmes 15 - 19 ans;Sh1AkjL9trT;;;;;;;;
28;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;asbcvad;7;Participants Femmes 20 et plus;Activité de groupe;DUqxmpHsIlR;;;;;;Visite à domicile;yP0iLIAblnR;;;Participants Femmes 20 et plus;ngsBWiX9f5m;;;;;;;;
28;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;asbcvad;8;Participants Hommes 6 - 14 ans;Activité de groupe;DUqxmpHsIlR;;;;;;Visite à domicile;yP0iLIAblnR;;;Participants Hommes 6 - 14 ans;NEBfSLZEZ3C;;;;;;;;
28;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;asbcvad;9;Participants Hommes 15 - 19 ans;Activité de groupe;DUqxmpHsIlR;;;;;;Visite à domicile;yP0iLIAblnR;;;Participants Hommes 15 - 19 ans;NOBkiX1mk3N;;;;;;;;
28;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;asbcvad;10;Participants Hommes 20 et plus;Activité de groupe;DUqxmpHsIlR;;;;;;Visite à domicile;yP0iLIAblnR;;;Participants Hommes 20 et plus;KZJu2qzPmr7;;;;;;;;
28;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;asbcvad;11;Code Opération;Activité de groupe;DUqxmpHsIlR;;;;;;Visite à domicile;yP0iLIAblnR;;;Code Opération;QEpj5yfYAej;;;;;Code Opération;QEpj5yfYAej;;
