ordreExecution;rapidpro_flowUuid;rapidpro_flowName;rapidpro_declancheur;rapidpro_position;rapidpro_name;dhis_programName;dhis_programId;dhis_programEnrolmentDate;dhis_programIncidentDate;dhis_programOrgUnitCode;dhis_attributName;dhis_attributId;dhis_programStageName;dhis_programStageId;dhis_programStageOrgUnitCode;dhis_programStageEventDate;dhis_programStageDataElementName;dhis_programStageDataElementId;dhis_programMasterName;dhis_programMasterId;dhis_attributValueUniqueName;dhis_attributValueUniqueId;dhis_dataElementValueUniqueName;dhis_dataElementValueUniqueId;dhis_assignValue;changeValue;;;;;;;;;;;;;;;;
1;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;enregpers;1;Code ASBC;Enregistrement de personnes;kFjVC6CTFrK;;;oui;;;enregistrement de personne;mYCX7qEfkRJ;oui;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;enregpers;2;Code personne;Enregistrement de personnes;kFjVC6CTFrK;;;;Code personne;vadegRbcklv;enregistrement de personne;mYCX7qEfkRJ;;;30.2.Code personne;JYoSCoz2VRf;Enregistrement de personnes;kFjVC6CTFrK;Code personne;vadegRbcklv;30.2.Code personne;JYoSCoz2VRf;;;;;;;;;;;;;;;;;;
1;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;enregpers;3;Date de naissance;Enregistrement de personnes;kFjVC6CTFrK;;;;Date de naissance;AplXoOwAEHl;enregistrement de personne;mYCX7qEfkRJ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;enregpers;4;Nom;Enregistrement de personnes;kFjVC6CTFrK;;;;Nom;jJZYzvVCZnA;enregistrement de personne;mYCX7qEfkRJ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;enregpers;5;Prénom;Enregistrement de personnes;kFjVC6CTFrK;;;;Prénoms;M9N2Nc6wMnI;enregistrement de personne;mYCX7qEfkRJ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;enregpers;6;Nom de la maman;Enregistrement de personnes;kFjVC6CTFrK;;;;Nom de la mère;o8ERDfBXHSo;enregistrement de personne;mYCX7qEfkRJ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;enregpers;7;Genre;Enregistrement de personnes;kFjVC6CTFrK;;;;Sexe;VZqQqA074nT;enregistrement de personne;mYCX7qEfkRJ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;enregpers;8;Identifiant patient nationnal;Enregistrement de personnes;kFjVC6CTFrK;;;;Identifiant patient nationnal;MRXzjjr4IHZ;enregistrement de personne;mYCX7qEfkRJ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;enregpers;9;Lieu de provenance;Enregistrement de personnes;kFjVC6CTFrK;;;;Lieu de Provenance;ajc7q44aFWL;enregistrement de personne;mYCX7qEfkRJ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;enregpers;10;Téléphone personne;Enregistrement de personnes;kFjVC6CTFrK;;;;Contact téléphonique personne ou tuteur;YJE7czFbBaf;enregistrement de personne;mYCX7qEfkRJ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;enregpers;11;date de l'operation;Enregistrement de personnes;kFjVC6CTFrK;;;;Date de l'opération;vO7kFnxcrNj;enregistrement de personne;mYCX7qEfkRJ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;enregpers;12;Date Enregistrement Personne;Enregistrement de personnes;kFjVC6CTFrK;oui;oui;;;;enregistrement de personne;mYCX7qEfkRJ;;oui;;;;;;;;;;;;;;;;;;;;;;;;;;
1;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;enregpers;13;Code Opération;Enregistrement de personnes;kFjVC6CTFrK;;;;Code Opération;g2gy1LlEUJL;enregistrement de personne;mYCX7qEfkRJ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
