ordreExecution;rapidpro_flowUuid;rapidpro_flowName;rapidpro_declancheur;rapidpro_position;rapidpro_name;dhis_programName;dhis_programId;dhis_programEnrolmentDate;dhis_programIncidentDate;dhis_programOrgUnitCode;dhis_attributName;dhis_attributId;dhis_programStageName;dhis_programStageId;dhis_programStageOrgUnitCode;dhis_programStageEventDate;dhis_programStageDataElementName;dhis_programStageDataElementId;dhis_programMasterName;dhis_programMasterId;dhis_programStageMasterName;dhis_programStageMasterId;dhis_attributValueUniqueName;dhis_attributValueUniqueId;dhis_dataElementValueUniqueName;dhis_dataElementValueUniqueId;dhis_assignValue;changeValue
11;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;grossissue;1;Code ASBC;Registre Femme Enceinte;lkMR7ZVWWoU;;;;;;Issue de Grossesse;SLBhdUuUids;oui;;;;;;;;;;;;;
11;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;grossissue;2;code personne;Registre Femme Enceinte;lkMR7ZVWWoU;;;;;;Issue de Grossesse;SLBhdUuUids;;;;;Enregistrement de personnes;kFjVC6CTFrK;enregistrement de personne;mYCX7qEfkRJ;Code personne;vadegRbcklv;;;;
11;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;grossissue;3;Date issue grossesse;Registre Femme Enceinte;lkMR7ZVWWoU;;;;;;Issue de Grossesse;SLBhdUuUids;;oui;;;;;;;;;;;;
11;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;grossissue;4;Issue (motif) de fin de grossesse;Registre Femme Enceinte;lkMR7ZVWWoU;;;;;;Issue de Grossesse;SLBhdUuUids;;;30.48.Issue (motif) de fin de grossesse;GKhjEMbkH5P;;;;;;;;;;
11;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;grossissue;5;L'enfant est-il en vie?;Registre Femme Enceinte;lkMR7ZVWWoU;;;;;;Issue de Grossesse;SLBhdUuUids;;;30.49.L'enfant est-il en vie?;wCcF1iRd7YS;;;;;;;;;;
11;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;grossissue;6;La maman est-elle en vie?;Registre Femme Enceinte;lkMR7ZVWWoU;;;;;;Issue de Grossesse;SLBhdUuUids;;;30.50.La maman est-elle en vie?;UXsCKmi01Ff;;;;;;;;;;
11;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;grossissue;7;Date accouchement;Registre Femme Enceinte;lkMR7ZVWWoU;;;;;;Issue de Grossesse;SLBhdUuUids;;;30.51.Date accouchement;SMt9AeAvaAS;;;;;;;;;;
11;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;grossissue;8;Téléphone du parent ou du tuteur;Registre Femme Enceinte;lkMR7ZVWWoU;;;;;;Issue de Grossesse;SLBhdUuUids;;;30.52.Téléphone du parent ou du tuteur;bCDtKVObuQ9;;;;;;;;;;
11;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;grossissue;9;Est-ce que l’enfant est déjà déclaré ?;Registre Femme Enceinte;lkMR7ZVWWoU;;;;;;Issue de Grossesse;SLBhdUuUids;;;30.53.Est-ce que l’enfant est déjà déclaré ?;NOwsaUfddHv;;;;;;;;;;
11;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;grossissue;10;Date de décès de la mère;Registre Femme Enceinte;lkMR7ZVWWoU;;;;;;Issue de Grossesse;SLBhdUuUids;;;30.54.Date de décès de la mère;dS1oxQE9QqR;;;;;;;;;;
11;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;grossissue;11;Date décès de l'enfant;Registre Femme Enceinte;lkMR7ZVWWoU;;;;;;Issue de Grossesse;SLBhdUuUids;;;30.55.Date décès de l'enfant;WmnIdp7OJ7Q;;;;;;;;;;
11;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;grossissue;12;Code operation;Registre Femme Enceinte;lkMR7ZVWWoU;;;;;;Issue de Grossesse;SLBhdUuUids;;;Code Opération;QEpj5yfYAej;;;;;;;Code Opération;QEpj5yfYAej;;
