ordreExecution;rapidpro_flowUuid;rapidpro_flowName;rapidpro_declancheur;rapidpro_position;rapidpro_name;dhis_orgUnitCode;dhis_periode;dhis_typePeriode;dhis_changeToPeriode;dhis_promptitude;dhis_reference;dhis_dataSetName;dhis_dataSetId;dhis_dataElementName;dhis_dataElementId;dhis_categorieComboName;dhis_categorieComboId;dhis_categorieComboOptionName;dhis_categorieComboOptionId;dhis_assignValue;dhis_addValue
11;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;grossissue;1;Code ASBC;oui;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
11;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;grossissue;2;code personne;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
11;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;grossissue;3;Date issue grossesse;;;;oui;oui;;Activité ASBC;tqIum6VDHOH;;;;;;;;
11;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;grossissue;4;Issue (motif) de fin de grossesse;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
11;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;grossissue;5;L'enfant est-il en vie?;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
11;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;grossissue;6;La maman est-elle en vie?;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
11;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;grossissue;7;Date accouchement;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
11;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;grossissue;8;Téléphone du parent ou du tuteur;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
11;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;grossissue;9;Est-ce que l’enfant est déjà déclaré ?;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
11;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;grossissue;10;Date de décès de la mère;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
11;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;grossissue;11;Date décès de l'enfant;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
11;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;grossissue;12;Code operation;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
11;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;grossissue;;;;;;;;;Activité ASBC;tqIum6VDHOH;Nombre de SMS;ehvoRQe4CJm;;;default;HllvX50cXC0;1;oui
