ordreExecution;rapidpro_flowUuid;rapidpro_flowName;rapidpro_declancheur;rapidpro_position;rapidpro_name;dhis_programName;dhis_programId;dhis_programEnrolmentDate;dhis_programIncidentDate;dhis_programOrgUnitCode;dhis_attributName;dhis_attributId;dhis_programStageName;dhis_programStageId;dhis_programStageOrgUnitCode;dhis_programStageEventDate;dhis_programStageDataElementName;dhis_programStageDataElementId;dhis_programMasterName;dhis_programMasterId;dhis_programStageMasterName;dhis_programStageMasterId;dhis_attributValueUniqueName;dhis_attributValueUniqueId;dhis_dataElementValueUniqueName;dhis_dataElementValueUniqueId;dhis_assignValue;changeValue
10;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;grosssuivi;1;Code ASBC;Registre Femme Enceinte;lkMR7ZVWWoU;;;;;;Suivi Grossesse;BBaZrCovout;oui;;;;;;;;;;;;;
10;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;grosssuivi;2;code personne;Registre Femme Enceinte;lkMR7ZVWWoU;;;;;;Suivi Grossesse;BBaZrCovout;;;;;Enregistrement de personnes;kFjVC6CTFrK;enregistrement de personne;mYCX7qEfkRJ;Code personne;vadegRbcklv;;;;
10;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;grosssuivi;3;Date de visite;Registre Femme Enceinte;lkMR7ZVWWoU;;;;;;Suivi Grossesse;BBaZrCovout;;oui;;;;;;;;;;;;
10;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;grosssuivi;4;Etes-vous allée au SPN après la dernière visite?;Registre Femme Enceinte;lkMR7ZVWWoU;;;;;;Suivi Grossesse;BBaZrCovout;;;30.58.Etes-vous allée au SPN après la dernière visite?;L9FwvDey8xl;;;;;;;;;;
10;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;grosssuivi;5;La femme a-t-elle des saignements ?;Registre Femme Enceinte;lkMR7ZVWWoU;;;;;;Suivi Grossesse;BBaZrCovout;;;30.59.La femme a-t-elle des saignements ?;IjKUXkTasdS;;;;;;;;;;
10;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;grosssuivi;6;La femme a-t-elle une fievre et des frissions ?;Registre Femme Enceinte;lkMR7ZVWWoU;;;;;;Suivi Grossesse;BBaZrCovout;;;30.60.La femme a-t-elle une fievre et des frissions ?;swuarpffztN;;;;;;;;;;
10;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;grosssuivi;7;La femme a-t-elle des maux de tete ?;Registre Femme Enceinte;lkMR7ZVWWoU;;;;;;Suivi Grossesse;BBaZrCovout;;;30.61.La femme a-t-elle des maux de tete ?;ZOXgsEasDOQ;;;;;;;;;;
10;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;grosssuivi;8;La femme a-t-elle des convulsions ?;Registre Femme Enceinte;lkMR7ZVWWoU;;;;;;Suivi Grossesse;BBaZrCovout;;;30.62.La femme a-t-elle des convulsions ?;Jm8R5RhTt5l;;;;;;;;;;
10;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;grosssuivi;9;La femme a-t-elle des douleurs pelviennes ?;Registre Femme Enceinte;lkMR7ZVWWoU;;;;;;Suivi Grossesse;BBaZrCovout;;;30.63.La femme a-t-elle des douleurs pelviennes ?;UCVSlTno5VG;;;;;;;;;;
10;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;grosssuivi;10;Quantité de fer acide follique distribuée;Registre Femme Enceinte;lkMR7ZVWWoU;;;;;;Suivi Grossesse;BBaZrCovout;;;30.64.Quantité de fer acide follique distribuée;fX6kmt9LO90;;;;;;;;;;
10;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;grosssuivi;11;Quantité de MMS distribuée;Registre Femme Enceinte;lkMR7ZVWWoU;;;;;;Suivi Grossesse;BBaZrCovout;;;Quantité de micronutriments multiples distribuée;xo5o6mhEjR7;;;;;;;;;;
10;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;grosssuivi;12;Distribution de Sulfadoxine pyrimethamine (SP);Registre Femme Enceinte;lkMR7ZVWWoU;;;;;;Suivi Grossesse;BBaZrCovout;;;Distribution de sulfadoxine pyrimethamine;rZmtcxLDfWW;;;;;;;;;;
10;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;grosssuivi;13;Nombre de Sulfadoxine pyrimethamine (SP);Registre Femme Enceinte;lkMR7ZVWWoU;;;;;;Suivi Grossesse;BBaZrCovout;;;Nombre de sulfadoxine pyrimethamine;rYLLHChwA74;;;;;;;;;;
10;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;grosssuivi;14;Code operation;Registre Femme Enceinte;lkMR7ZVWWoU;;;;;;Suivi Grossesse;BBaZrCovout;;;Code Opération;QEpj5yfYAej;;;;;;;Code Opération;QEpj5yfYAej;;
