ordreExecution;rapidpro_flowUuid;rapidpro_flowName;rapidpro_declancheur;rapidpro_position;rapidpro_name;dhis_orgUnitCode;dhis_periode;dhis_typePeriode;dhis_changeToPeriode;dhis_promptitude;dhis_reference;dhis_dataSetName;dhis_dataSetId;dhis_dataElementName;dhis_dataElementId;dhis_categorieComboName;dhis_categorieComboId;dhis_categorieComboOptionName;dhis_categorieComboOptionId;dhis_assignValue;dhis_addValue
24;cf92abae-5147-4c42-b903-81d8a3245b5d;ENREGISTREMENT DES AUTRES INFORMATIONS ASBC;modifasbcau;1;Code ASBC;oui;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
24;cf92abae-5147-4c42-b903-81d8a3245b5d;ENREGISTREMENT DES AUTRES INFORMATIONS ASBC;modifasbcau;2;Date opération;;;;oui;oui;;Activité ASBC;tqIum6VDHOH;;;;;;;;
24;cf92abae-5147-4c42-b903-81d8a3245b5d;ENREGISTREMENT DES AUTRES INFORMATIONS ASBC;modifasbcau;3;Distance Aller village-Csps (KM);;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
24;cf92abae-5147-4c42-b903-81d8a3245b5d;ENREGISTREMENT DES AUTRES INFORMATIONS ASBC;modifasbcau;4;Date de naissance;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
24;cf92abae-5147-4c42-b903-81d8a3245b5d;ENREGISTREMENT DES AUTRES INFORMATIONS ASBC;modifasbcau;5;Genre;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
24;cf92abae-5147-4c42-b903-81d8a3245b5d;ENREGISTREMENT DES AUTRES INFORMATIONS ASBC;modifasbcau;6;Niveau d'instruction;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
24;cf92abae-5147-4c42-b903-81d8a3245b5d;ENREGISTREMENT DES AUTRES INFORMATIONS ASBC;modifasbcau;7;Date recrutement;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
24;cf92abae-5147-4c42-b903-81d8a3245b5d;ENREGISTREMENT DES AUTRES INFORMATIONS ASBC;modifasbcau;8;Numéro CNIB;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
24;cf92abae-5147-4c42-b903-81d8a3245b5d;ENREGISTREMENT DES AUTRES INFORMATIONS ASBC;modifasbcau;9;Date établissement. CNIB;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
24;cf92abae-5147-4c42-b903-81d8a3245b5d;ENREGISTREMENT DES AUTRES INFORMATIONS ASBC;modifasbcau;10;Lieu étab. CNIB;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
24;cf92abae-5147-4c42-b903-81d8a3245b5d;ENREGISTREMENT DES AUTRES INFORMATIONS ASBC;modifasbcau;11;Num. paiement;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
24;cf92abae-5147-4c42-b903-81d8a3245b5d;ENREGISTREMENT DES AUTRES INFORMATIONS ASBC;modifasbcau;12;Num. mHealth;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
24;cf92abae-5147-4c42-b903-81d8a3245b5d;ENREGISTREMENT DES AUTRES INFORMATIONS ASBC;modifasbcau;13;Autre numéro ;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
24;cf92abae-5147-4c42-b903-81d8a3245b5d;ENREGISTREMENT DES AUTRES INFORMATIONS ASBC;modifasbcau;14;Numéro ICP;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
24;cf92abae-5147-4c42-b903-81d8a3245b5d;ENREGISTREMENT DES AUTRES INFORMATIONS ASBC;modifasbcau;15;Numéro mHealth ASBC 2;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
24;cf92abae-5147-4c42-b903-81d8a3245b5d;ENREGISTREMENT DES AUTRES INFORMATIONS ASBC;modifasbcau;16;Date Enregistrement ASBC;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
24;cf92abae-5147-4c42-b903-81d8a3245b5d;ENREGISTREMENT DES AUTRES INFORMATIONS ASBC;modifasbcau;17;Type d'ASBC;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
24;cf92abae-5147-4c42-b903-81d8a3245b5d;ENREGISTREMENT DES AUTRES INFORMATIONS ASBC;modifasbcau;18;Code Opération;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
24;cf92abae-5147-4c42-b903-81d8a3245b5d;ENREGISTREMENT DES AUTRES INFORMATIONS ASBC;modifasbcau;;;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
24;cf92abae-5147-4c42-b903-81d8a3245b5d;ENREGISTREMENT DES AUTRES INFORMATIONS ASBC;modifasbcau;;;;;;;;;Activité ASBC;tqIum6VDHOH;Nombre de SMS;ehvoRQe4CJm;;;default;HllvX50cXC0;1;oui
