ordreExecution;rapidpro_flowUuid;rapidpro_flowName;rapidpro_declancheur;rapidpro_position;rapidpro_name;dhis_programName;dhis_programId;dhis_orgUnitCode;dhis_periode;dhis_typePeriode;dhis_changeToPeriode;dhis_promptitude;dhis_reference;dhis_dataSetName;dhis_dataSetId;dhis_dataElementName;dhis_dataElementId;dhis_categorieComboName;dhis_categorieComboId;dhis_categorieComboOptionName;dhis_categorieComboOptionId;dhis_assignValue;dhis_addValue
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;1;Code ASBC;Prise en charge;tMhPShM7JTF;oui;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;2;code Personne;Prise en charge;tMhPShM7JTF;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;3;code PEC;Prise en charge;tMhPShM7JTF;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;4;age en mois;Prise en charge;tMhPShM7JTF;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;5;Date pec;Prise en charge;tMhPShM7JTF;;;;oui;oui;;Activité ASBC;tqIum6VDHOH;Nombre de SMS;ehvoRQe4CJm;;;default;HllvX50cXC0;1;oui
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;6;motif consultation Toux / difficulté respiratoire;Prise en charge;tMhPShM7JTF;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;7;motif consultation Fièvre / Corps chaud;Prise en charge;tMhPShM7JTF;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;8;motif consultation Diarrhée;Prise en charge;tMhPShM7JTF;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;9;Autre motif consultation;Prise en charge;tMhPShM7JTF;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;10;Danger incapable de boire ou téter;Prise en charge;tMhPShM7JTF;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;11;Danger vomit tout;Prise en charge;tMhPShM7JTF;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;12;Danger convulsions;Prise en charge;tMhPShM7JTF;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;13;Danger léthargie;Prise en charge;tMhPShM7JTF;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;14;toux;Prise en charge;tMhPShM7JTF;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;15;jours toux;Prise en charge;tMhPShM7JTF;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;16;difficultés respiratoires;Prise en charge;tMhPShM7JTF;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;17;jours difficultés respiratoires;Prise en charge;tMhPShM7JTF;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;18;Stridor;Prise en charge;tMhPShM7JTF;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;19;tirage sous-costal;Prise en charge;tMhPShM7JTF;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;20;Respiration sifflante;Prise en charge;tMhPShM7JTF;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;21;Nb respiration;Prise en charge;tMhPShM7JTF;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;22;diarrhée;Prise en charge;tMhPShM7JTF;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
