ordreExecution;rapidpro_flowUuid;rapidpro_flowName;rapidpro_declancheur;rapidpro_position;rapidpro_name;dhis_orgUnitCode;dhis_periode;dhis_typePeriode;dhis_changeToPeriode;dhis_promptitude;dhis_reference;dhis_dataSetName;dhis_dataSetId;dhis_dataElementName;dhis_dataElementId;dhis_categorieComboName;dhis_categorieComboId;dhis_categorieComboOptionName;dhis_categorieComboOptionId;dhis_assignValue;dhis_addValue
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;1;Code ASBC;oui;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;2;code Personne;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;3;code PEC;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;4;age en mois;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;5;Date pec;;;;oui;oui;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;6;Toux / difficulté respiratoire;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;7;Fièvre / Corps chaud;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;8;Diarrhée;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;9;Autre motif consultation;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;10;Danger incapable de boire ou téter;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;11;Danger vomit tout;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;12;Danger convulsions;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;13;Danger léthargie;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;14;toux;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;15;jours toux;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;16;difficultés respiratoires;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;17;jours difficultés respiratoires;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;18;Stridor;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;19;tirage sous-costal;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;20;Respiration sifflante;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;21;Nb respiration;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;22;diarrhée;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;23;jours diarrhée;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;24;Sang dans selles;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;25;yeux enfoncés;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;26;assoiffé;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;27;plis cutanés;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;28;Eruption généralisée;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;29;Ecoulement nasal;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;30;yeux rouge;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;31;corps chaud;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;32;jours corps chaud;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;33;Traitement paludisme simple;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;34;Traitement paludisme grave;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;35;tdr paludisme;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;36;Urine foncées;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;37;Ictère;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;38;Pâleur (paumes- plantes des pieds);;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;39;30.33. pâleur palmaire;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;40;PB;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;41;oedemes;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;42;vaccins;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;43;Vitamine A;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;44;Autres problèmes;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
