ordreExecution;rapidpro_flowUuid;rapidpro_flowName;rapidpro_declancheur;rapidpro_position;rapidpro_name;dhis_eventName;dhis_eventId;dhis_eventOrgUnitCode;dhis_eventDate;dhis_eventDataElementName;dhis_eventDataElementId;dhis_valueUnique;dhis_assignValue;;;;;;;;;;;;
6;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pertstock;;;Gestion intrant;XzFxUYlBIkN;;;1. Type d'opération;k3StAHJLRVj;;4;;;;;;;;;;;;
6;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pertstock;1;Code ASBC;Gestion intrant;XzFxUYlBIkN;oui;;;;;;;;;;;;;;;;;
6;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pertstock;2;date de l'operation;Gestion intrant;XzFxUYlBIkN;;oui;;;;;;;;;;;;;;;;
6;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pertstock;3;Paracetamol 500mg;Gestion intrant;XzFxUYlBIkN;;;Indiv_1.9 Paracetamol 500mg;HBdqe0zxKdR;;;;;;;;;;;;;;
6;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pertstock;4;Artéméther+ Luméfantrine 20/120mg comp (plaquette de 6);Gestion intrant;XzFxUYlBIkN;;;Indiv_1.1 Artemether-Lumefantrine 20/120mg comp (plaquette de 6);je9EZjk1J95;;;;;;;;;;;;;;
6;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pertstock;5;Artéméther+ Luméfantrine 20/120mg comp (plaquette de 12);Gestion intrant;XzFxUYlBIkN;;;Indiv_1.2 Artemether-Lumefantrine 20/120mg comp (plaquette de 12);b2jXscnYzU7;;;;;;;;;;;;;;
6;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pertstock;6;Artéméther+ Luméfantrine 20/120mg comp (plaquette de 18);Gestion intrant;XzFxUYlBIkN;;;Indiv_1.3 Artemether-Lumefantrine 20/120mg comp (plaquette de 18);KS0NpR8CFq9;;;;;;;;;;;;;;
6;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pertstock;7;Artéméther+ Luméfantrine 20/120mg comp (plaquette de 24);Gestion intrant;XzFxUYlBIkN;;;Indiv_1.4 Artemether-Lumefantrine 20/120mg comp (plaquette de 24);KfFBHoy6pK4;;;;;;;;;;;;;;
6;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pertstock;8;Dihydroartemisinine 20mg+ Pipéraquine 160mg;Gestion intrant;XzFxUYlBIkN;;;Indiv_1.5 Dihydroartemisinine 20mg-Piperaquine 160mg;WINtPvor73n;;;;;;;;;;;;;;
6;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pertstock;9;Dihydroartemisinine 20mg+ Pipéraquine 320mg;Gestion intrant;XzFxUYlBIkN;;;Indiv_1.6 Dihydroartemisinine 40mg-Piperaquine 320mg;pfErpI465XJ;;;;;;;;;;;;;;
6;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pertstock;10;Artésunate rectal 50mg;Gestion intrant;XzFxUYlBIkN;;;Indiv_1.7 Artesunate rectal 50mg;mAxCBjMDS2d;;;;;;;;;;;;;;
6;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pertstock;11;Artésunate rectal 100mg;Gestion intrant;XzFxUYlBIkN;;;Indiv_1.8 Artesunate rectal 100mg;oU6XAVIG2jN;;;;;;;;;;;;;;
6;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pertstock;12;Amoxiciline Dispersible 250 Mg;Gestion intrant;XzFxUYlBIkN;;;Indiv_1.10 Amoxicilline dispersible250 mg;z2jmkfs0fhP;;;;;;;;;;;;;;
6;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pertstock;13;Sulfadoxine pyriméthamine;Gestion intrant;XzFxUYlBIkN;;;Indiv_1.11 Sulfadoxine pyrimethamine;I7I6CdSQ2LY;;;;;;;;;;;;;;
6;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pertstock;14;Fer acide folique;Gestion intrant;XzFxUYlBIkN;;;Indiv_1.12 Fer acide folique;GXGOBMCsZrQ;;;;;;;;;;;;;;
6;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pertstock;15;Micronutriments multiples (MMS);Gestion intrant;XzFxUYlBIkN;;;Indiv_1.13 Micronutriments multiples;UcaofPxKeEU;;;;;;;;;;;;;;
6;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pertstock;16;Poudre de micronutiments multiples (MNP);Gestion intrant;XzFxUYlBIkN;;;Indiv_1.14 Poudre de micronutriments multiples;lQcjxtYF8RP;;;;;;;;;;;;;;
