ordreExecution;rapidpro_flowUuid;rapidpro_flowName;rapidpro_declancheur;rapidpro_position;rapidpro_name;dhis_orgUnitCode;dhis_periode;dhis_typePeriode;dhis_changeToPeriode;dhis_promptitude;dhis_reference;dhis_dataSetName;dhis_dataSetId;dhis_dataElementName;dhis_dataElementId;dhis_categorieComboName;dhis_categorieComboId;dhis_categorieComboOptionName;dhis_categorieComboOptionId;dhis_assignValue;dhis_addValue
15;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;realgaspa;1;Code ASBC;oui;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
15;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;realgaspa;2;Date Opération;;;;oui;oui;;Activité ASBC;tqIum6VDHOH;;;;;;;;
15;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;realgaspa;3;Code Mois de la GASPA planifié;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
15;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;realgaspa;4;Code Etat de la femme;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
15;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;realgaspa;5;Code Groupe affectation;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
15;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;realgaspa;6;Nombre de personnes présentes;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
15;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;realgaspa;7;Femme 1 présente à la GASPA;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
15;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;realgaspa;8;Femme 2 présente à la GASPA;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
15;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;realgaspa;9;Femme 3 présente à la GASPA;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
15;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;realgaspa;10;Femme 4 présente à la GASPA;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
15;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;realgaspa;11;Femme 5 présente à la GASPA;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
15;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;realgaspa;12;Femme 6 présente à la GASPA;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
15;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;realgaspa;13;Femme 7 présente à la GASPA;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
15;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;realgaspa;14;Femme 8 présente à la GASPA;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
15;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;realgaspa;15;Femme 9 présente à la GASPA;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
15;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;realgaspa;16;Femme 10 présente à la GASPA;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
15;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;realgaspa;17;Femme 11 présente à la GASPA;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
15;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;realgaspa;18;Femme 12 présente à la GASPA;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
15;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;realgaspa;19;Femme 13 présente à la GASPA;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
15;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;realgaspa;20;Femme 14 présente à la GASPA;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
15;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;realgaspa;21;Femme 15 présente à la GASPA;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
15;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;realgaspa;22;Thème;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
15;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;realgaspa;23;Code Opération;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
15;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;realgaspa;;;;;;;;;Activité ASBC;tqIum6VDHOH;Nombre de SMS;ehvoRQe4CJm;;;default;HllvX50cXC0;1;oui
