ordreExecution;rapidpro_flowUuid;rapidpro_flowName;rapidpro_declancheur;rapidpro_position;rapidpro_name;dhis_orgUnitCode;dhis_periode;dhis_typePeriode;dhis_changeToPeriode;dhis_promptitude;dhis_reference;dhis_dataSetName;dhis_dataSetId;dhis_dataElementName;dhis_dataElementId;dhis_categorieComboName;dhis_categorieComboId;dhis_categorieComboOptionName;dhis_categorieComboOptionId;dhis_assignValue;dhis_addValue
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;recepstock;1;Code ASBC;oui;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;recepstock;2;date de l'operation;;;;oui;oui;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;recepstock;3;Paracetamol 500mg;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;recepstock;4;Artéméther+ Luméfantrine 20/120mg comp (plaquette de 6);;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;recepstock;5;Artéméther+ Luméfantrine 20/120mg comp (plaquette de 12);;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;recepstock;6;Artéméther+ Luméfantrine 20/120mg comp (plaquette de 18);;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;recepstock;7;Artéméther+ Luméfantrine 20/120mg comp (plaquette de 24);;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;recepstock;8;Dihydroartemisinine 20mg+ Pipéraquine 160mg;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;recepstock;9;Dihydroartemisinine 20mg+ Pipéraquine 320mg;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;recepstock;10;Artésunate rectal 50mg;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;recepstock;11;Artésunate rectal 100mg;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;recepstock;12;Amoxiciline Dispersible 250 Mg;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;recepstock;13;Sulfadoxine pyriméthamine;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;recepstock;14;Fer acide folique;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;recepstock;15;Micronutriments multiples (MMS);;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;recepstock;16;Poudre de micronutiments multiples (MNP);;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;recepstock;17;Contraceptif oraux combiné (COC);;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;recepstock;18;Contraceptif oraux progestatif (COP);;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;recepstock;19;Condom masculin;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;recepstock;20;Condom feminin;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;recepstock;21;Sayana Press;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;recepstock;22;TDR pour paludisme;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;recepstock;23;Kit SRO/ZINC;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;recepstock;24;Gants en vrac;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;recepstock;25;Code Opération;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;recepstock;;;;;;;;;Activité ASBC;tqIum6VDHOH;Nombre de SMS;ehvoRQe4CJm;;;default;HllvX50cXC0;1;oui
