ordreExecution;rapidpro_flowUuid;rapidpro_flowName;rapidpro_declancheur;rapidpro_position;rapidpro_name;dhis_orgUnitCode;dhis_periode;dhis_typePeriode;dhis_changeToPeriode;dhis_promptitude;dhis_reference;dhis_dataSetName;dhis_dataSetId;dhis_dataElementName;dhis_dataElementId;dhis_categorieComboName;dhis_categorieComboId;dhis_categorieComboOptionName;dhis_categorieComboOptionId;dhis_assignValue;dhis_addValue
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;snne;1;Code ASBC;oui;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;snne;2;code personne;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;snne;3;Date de visite;;;;oui;oui;;Activité ASBC;tqIum6VDHOH;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;snne;4;30.70.Est-ce votre première visite ?;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;snne;5;Le lieu de naissance du bébé;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;snne;6;Genre;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;snne;8;**Voulez-vous effectuer une visite recommandée par le CSPS ?**;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;snne;8;L'enfant est-il de faible poids ?;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;snne;9;Quel est le poids de l'enfant?;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;snne;10;30.71.Visite recommandee;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;snne;11;30.76.Nombre de jour de visite;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;snne;12;30.71.Visite recommandee;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;snne;13;30.73.Visite programmee;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;snne;14;30.74.Visite pour faible poids;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;snne;15;30.72.Signe de danger;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;snne;;;;;;;;;Activité ASBC;tqIum6VDHOH;Nombre de SMS;ehvoRQe4CJm;;;default;HllvX50cXC0;1;oui
