ordreExecution;rapidpro_flowUuid;rapidpro_flowName;rapidpro_declancheur;rapidpro_position;rapidpro_name;dhis_orgUnitCode;dhis_periode;dhis_typePeriode;dhis_changeToPeriode;dhis_promptitude;dhis_reference;dhis_dataSetName;dhis_dataSetId;dhis_dataElementName;dhis_dataElementId;dhis_categorieComboName;dhis_categorieComboId;dhis_categorieComboOptionName;dhis_categorieComboOptionId;dhis_assignValue;dhis_addValue
1;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;stockheb;1;Code ASBC;oui;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
1;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;stockheb;2;date de l'operation;;;;oui;oui;;Activité ASBC;tqIum6VDHOH;;;;;;;;
1;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;stockheb;3;Semaine du rapport;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
1;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;stockheb;4;Paracetamol 500mg;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
1;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;stockheb;5;Artéméther+ Luméfantrine 20/120mg comp (plaquette de 6);;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
1;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;stockheb;6;Artéméther+ Luméfantrine 20/120mg comp (plaquette de 12);;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
1;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;stockheb;7;Artéméther+ Luméfantrine 20/120mg comp (plaquette de 18);;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
1;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;stockheb;8;Artéméther+ Luméfantrine 20/120mg comp (plaquette de 24);;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
1;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;stockheb;9;Dihydroartemisinine 20mg+ Pipéraquine 160mg;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
1;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;stockheb;10;Dihydroartemisinine 20mg+ Pipéraquine 320mg;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
1;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;stockheb;11;Artésunate rectal 50mg;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
1;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;stockheb;12;Artésunate rectal 100mg;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
1;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;stockheb;13;Amoxiciline Dispersible 250 Mg;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
1;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;stockheb;14;Sulfadoxine pyriméthamine;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
1;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;stockheb;15;Fer acide folique;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
1;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;stockheb;16;Micronutriments multiples (MMS);;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
1;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;stockheb;17;Poudre de micronutiments multiples (MNP);;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
1;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;stockheb;18;Contraceptif oraux combiné (COC);;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
1;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;stockheb;19;Contraceptif oraux progestatif (COP);;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
1;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;stockheb;20;Condom masculin;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
1;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;stockheb;21;Condom feminin;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
1;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;stockheb;22;Sayana Press;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
1;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;stockheb;23;TDR pour paludisme;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
1;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;stockheb;24;Kit SRO/ZINC;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
1;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;stockheb;;;;;;;;;Activité ASBC;tqIum6VDHOH;Nombre de SMS;ehvoRQe4CJm;;;default;HllvX50cXC0;1;oui
