ordreExecution;rapidpro_flowUuid;rapidpro_flowName;rapidpro_declancheur;rapidpro_position;rapidpro_name;dhis_programName;dhis_programId;dhis_programEnrolmentDate;dhis_programIncidentDate;dhis_programOrgUnitCode;dhis_attributName;dhis_attributId;dhis_programStageName;dhis_programStageId;dhis_programStageOrgUnitCode;dhis_programStageEventDate;dhis_programStageDataElementName;dhis_programStageDataElementId;dhis_programMasterName;dhis_programMasterId;dhis_attributValueUniqueName;dhis_attributValueUniqueId;dhis_dataElementValueUniqueName;dhis_dataElementValueUniqueId;dhis_assignValue;changeValue;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;1;Code ASBC;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;oui;;30.1.Code ASBC;tJEGAbo90wB;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;2;code Personne;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;;;30.2.Code personne;JYoSCoz2VRf;Enregistrement de personnes;kFjVC6CTFrK;Code personne;vadegRbcklv;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;3;code PEC;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;;;30.3.Code de prise en charge;kvQS9gw12Rn;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;4;Date de suivi;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;;oui;30.4.Date de suivi de la prise en charge;KJLd19cNjmu;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;5;Suivi pneumo incapable de boire ou teter;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;;;Suivi pneumo incapable de boire ou téter;hhfzBlLjkFt;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;6;Suivi pneumo vomit tout;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;;;Suivi pneumo vomit tout;khdTXsHStwn;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;7;Suivi pneumo convulsion;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;;;Suivi pneumo convulsions;fAQRZHMyQpN;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;8;Suivi pneumo lethargie inconscient;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;;;Suivi pneumo lethargie inconscient;nibS3rEyJ4t;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;9;Suivi pneumo respiration;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;;;Suivi pneumo difficultés respiratoires;NTHFiS5MDeH;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;10;Suivi pneumo medicaments;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;;;Suivi pneumo administration medicaments;fAQRZHMyQpN;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;11;Suivi pneumo tirage sous-costal;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;;;Suivi pneumo tirage sous-costal;hh5tVW4BkP5;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;12;Nombre de mouvements respiratoire par minute;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;;;Nombre de mouvements respiratoire par minute;N1811JXp04u;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;13;Suivi diarrhée medicaments;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;;;Suivi diarrhée administration medicaments;ZLo0lpO9b5p;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;14;Suivi diarrhée diarrhée;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;;;Suivi diarrhée persistence diarrhée;CHKTluEQtv9;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;15;Suivi diarrhée sang selle;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;;;Suivi diarrhée sang dans les selles;jN1da5HVMuG;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;16;Suivi diarrhée vomit tout;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;;;Suivi diarrhée vomit tout;f4fgqQEDl0B;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;17;Suivi diarrhée convulsion;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;;;Suivi diarrhée convulsions;sOjKtGl9C36;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;18;Suivi diarrhée lethargie inconscient;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;;;Suivi diarrhée lethargie inconscient;dReiAkLtBde;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;19;Suivi diarrhée yeux enfoncé;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;;;Suivi diarrhée yeux enfoncés;yX2ZCwhVaDh;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;20;Suivi diarrhée assoiffé;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;;;Suivi diarrhée assoiffé;cKDoUKAPxsD;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;21;Suivi diarrhée agité irritable;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;;;Suivi diarrhée agité irritable;imSbwDANn9H;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;22;Suivi diarrhée plis cutané;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;;;Suivi diarrhée plis cutanés;JApyu1G2loS;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;23;Suivi paludisme medicaments;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;;;Suivi palu administration medicaments;NWMUlArV018;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;24;Suivi paludisme fièvre;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;;;Suivi palu fièvre;mz3h58UvFhO;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;25; incapable_boire_teter;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;;;Suivi palu incapable boire/teter;I51hxXfE2iJ;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;26;Suivi paludisme vomit tout;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;;;Suivi palu vomit tout;cGtZE97cst1;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;27;Suivi paludisme convulsion;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;;;Suivi palu convulsions;JMDW3rx4GaF;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;28;Suivi paludisme lethargie inconscient;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;;;Suivi palu lethargie inconscient;ajKSm0xkM2d;;;;;;;;;;;;;;;;;;;;;;;;
7;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;suivipec;29;Code opération;Prise en charge;tMhPShM7JTF;;;;;;PEC Suivi;QRCmBU0I6Ad;;;Code Opération;QEpj5yfYAej;;;;;Code Opération;QEpj5yfYAej;;;;;;;;;;;;;;;;;;
