ordreExecution;rapidpro_flowUuid;rapidpro_flowName;rapidpro_declancheur;rapidpro_position;rapidpro_name;dhis_orgUnitCode;dhis_periode;dhis_typePeriode;dhis_changeToPeriode;dhis_promptitude;dhis_reference;dhis_dataSetName;dhis_dataSetId;dhis_dataElementName;dhis_dataElementId;dhis_categorieComboName;dhis_categorieComboId;dhis_categorieComboOptionName;dhis_categorieComboOptionId;dhis_assignValue;dhis_addValue
9;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;survevent;1;Code ASBC;oui;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
9;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;survevent;2;date de l'operation;;;;oui;oui;;Activité ASBC;tqIum6VDHOH;;;;;;;;
9;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;survevent;3;Une (01) personne ou plus atteintes de fièvre et de toux sévère (absentéisme ou hospitalisation);;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
9;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;survevent;4;Le décès ou maladie d’une personne moins d’une semaine après son arrivée d’un voyage hors du pays ou à l’intérieur du pays;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
9;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;survevent;5;Un (01) ou plusieurs décès survenus dans le village causés par une infection respiratoire chez les personnes qui ont des contacts avec des animaux ou pas.;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
9;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;survevent;6;Toute condition médicale atypique du fait de sa fréquence et/ou de sa présentation clinique, y compris les malformations congénitales et les faiblesses musculaires chez des enfants.;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
9;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;survevent;7;Décès inexpliqué d’un agent de la santé, des ressources animales, de l’environnement, de l’agriculture, d’un ASBC/VVV/ Ecogardes / Pisteurs, d’un tradipraticien de santé/animateur endogène.;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
9;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;survevent;8;Deux (02) décès inexpliqués ou plus dans la même semaine, parmi un groupe de personnes;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
9;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;survevent;9;Deux (02) ou plusieurs personnes deviennent malades après avoir pris part aux funérailles, mariages, baptêmes ou tout autre regroupement.;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
9;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;survevent;10;La mort de plusieurs volailles et/ou autres animaux dans le même village/Aire faunique et dans la même semaine ou maladie de plusieurs animaux de retour de transhumance;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
9;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;survevent;11;Deux (02) personnes ou plus issues du même milieu, présentant les mêmes signes nécessitants qu’elles soient alitées ou hospitalisées;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
9;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;survevent;12;Décès ou maladies inexpliqués de plusieurs personnes d’une même concession ou d’une même communauté suite à la consommation d’aliments;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
9;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;survevent;13;La mort de plusieurs animaux, oiseaux et poissons quelques heures après consommation d’herbe et d’eau très proche d’un lieu de jardinage congénitales;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
9;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;survevent;14;Tout évènement sanitaire créant une inquiétude ou une psychose dans la communauté;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
9;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;survevent;15;Code opération;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
9;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;survevent;;;;;;;;;Activité ASBC;tqIum6VDHOH;Nombre de SMS;ehvoRQe4CJm;;;default;HllvX50cXC0;1;oui
