ordreExecution;rapidpro_flowUuid;rapidpro_flowName;rapidpro_declancheur;rapidpro_position;rapidpro_name;dhis_orgUnitCode;dhis_periode;dhis_typePeriode;dhis_changeToPeriode;dhis_promptitude;dhis_reference;dhis_dataSetName;dhis_dataSetId;dhis_dataElementName;dhis_dataElementId;dhis_categorieComboName;dhis_categorieComboId;dhis_categorieComboOptionName;dhis_categorieComboOptionId;dhis_assignValue;dhis_addValue
8;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;survmal;1;Code ASBC;oui;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
8;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;survmal;2;date de l'operation;;;;oui;oui;;Activité ASBC;tqIum6VDHOH;;;;;;;;
8;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;survmal;3;Cas de Rougeole;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
8;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;survmal;4;Cas de Diarrhée sanguinolente (avec sang dans les selles);;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
8;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;survmal;5;Cas de Tétanos néonatal;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
8;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;survmal;6;Cas de Méningite;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
8;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;survmal;7;Cas de PFA;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
8;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;survmal;8;Cas d’Ictère fébrile;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
8;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;survmal;9;Cas de Dracunculose (ver de guinée);;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
8;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;survmal;10;Cas de Choléra;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
8;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;survmal;11;Cas de Maladie à virus Ebola (MVE);;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
8;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;survmal;12;Code opération;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
8;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;survmal;;;;;;;;;Activité ASBC;tqIum6VDHOH;Nombre de SMS;ehvoRQe4CJm;;;default;HllvX50cXC0;1;oui
