source_dhis_programName;source_dhis_programId;source_dhis_programEnrolmentDate;source_dhis_programIncidentDate;source_dhis_programOrgUnitCode;source_dhis_attributName;source_dhis_attributId;source_dhis_programStageName;source_dhis_programStageId;source_dhis_programStageOrgUnitCode;source_dhis_programStageEventDate;source_dhis_programStageDataElementName;source_dhis_programStageDataElementId;source_dhis_programMasterName;source_dhis_programMasterId;source_dhis_attributValueUniqueName;source_dhis_attributValueUniqueId;source_dhis_dataElementValueUniqueName;source_dhis_dataElementValueUniqueId;destination_dhis_programName;destination_dhis_programId;destination_dhis_programEnrolmentDate;destination_dhis_programIncidentDate;destination_dhis_programOrgUnitCode;destination_dhis_attributName;destination_dhis_attributId;destination_dhis_programStageName;destination_dhis_programStageId;destination_dhis_programStageOrgUnitCode;destination_dhis_programStageEventDate;destination_dhis_programStageDataElementName;destination_dhis_programStageDataElementId;destination_dhis_programMasterName;destination_dhis_programMasterId;destination_dhis_programStageMasterName;destination_dhis_programStageMasterId;destination_dhis_attributValueUniqueName;destination_dhis_attributValueUniqueId;destination_dhis_dataElementValueUniqueName;destination_dhis_dataElementValueUniqueId
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;oui;;;;;;;;;;;;;;;Enregistrement de personnes;kFjVC6CTFrK;;;oui;;;enregistrement de personne;mYCX7qEfkRJ;oui;;;;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;Code personne;vadegRbcklv;;;;;;;Registre PRISE EN CHARGE;kFjVC6CTFrK;Code personne;vadegRbcklv;;;Enregistrement de personnes;kFjVC6CTFrK;;;;Code personne;vadegRbcklv;enregistrement de personne;mYCX7qEfkRJ;;;30.2.Code personne;JYoSCoz2VRf;Enregistrement de personnes;kFjVC6CTFrK;enregistrement de personne;mYCX7qEfkRJ;Code personne;vadegRbcklv;30.2.Code personne;JYoSCoz2VRf
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;Date de naissance;AplXoOwAEHl;;;;;;;;;;;;;Enregistrement de personnes;kFjVC6CTFrK;;;;Date de naissance;AplXoOwAEHl;enregistrement de personne;mYCX7qEfkRJ;;;;;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;Nom;jJZYzvVCZnA;;;;;;;;;;;;;Enregistrement de personnes;kFjVC6CTFrK;;;;Nom;jJZYzvVCZnA;enregistrement de personne;mYCX7qEfkRJ;;;;;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;Prénoms;M9N2Nc6wMnI;;;;;;;;;;;;;Enregistrement de personnes;kFjVC6CTFrK;;;;Prénoms;M9N2Nc6wMnI;enregistrement de personne;mYCX7qEfkRJ;;;;;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;Nom de la mère;o8ERDfBXHSo;;;;;;;;;;;;;Enregistrement de personnes;kFjVC6CTFrK;;;;Nom de la mère;o8ERDfBXHSo;enregistrement de personne;mYCX7qEfkRJ;;;;;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;Sexe;VZqQqA074nT;;;;;;;;;;;;;Enregistrement de personnes;kFjVC6CTFrK;;;;Sexe;VZqQqA074nT;enregistrement de personne;mYCX7qEfkRJ;;;;;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;Lieu de Provenance;ajc7q44aFWL;;;;;;;;;;;;;Enregistrement de personnes;kFjVC6CTFrK;;;;Lieu de Provenance;ajc7q44aFWL;enregistrement de personne;mYCX7qEfkRJ;;;;;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;Contact téléphonique personne ou tuteur;YJE7czFbBaf;;;;;;;;;;;;;Enregistrement de personnes;kFjVC6CTFrK;;;;Contact téléphonique personne ou tuteur;YJE7czFbBaf;enregistrement de personne;mYCX7qEfkRJ;;;;;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;Date de l'opération;vO7kFnxcrNj;;;;;;;;;;;;;Enregistrement de personnes;kFjVC6CTFrK;;;;Date de l'opération;vO7kFnxcrNj;enregistrement de personne;mYCX7qEfkRJ;;;;;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;oui;oui;;;;;;;;;;;;;;;;Enregistrement de personnes;kFjVC6CTFrK;oui;oui;;;;enregistrement de personne;mYCX7qEfkRJ;;oui;;;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;Code Opération;g2gy1LlEUJL;;;;;;;;;;;;;Enregistrement de personnes;kFjVC6CTFrK;;;;Code Opération;g2gy1LlEUJL;enregistrement de personne;mYCX7qEfkRJ;;;;;;;;;;;;
