typePeriode;source_indicatorName;source_indicatorId;source_dataElementName;source_dataElementId;source_categorieComboName;source_categorieComboId;source_categorieComboOptionName;source_categorieComboOptionId;source_dimensionName;source_dimensionId;source_orgUnitName;source_orgUnitId;source_orgUnitGroupName;source_orgUnitGroupId;source_orgUnitOfProgramName;source_orgUnitOfProgramId;source_orgUnitOfDataSetName;source_orgUnitOfDataSetId;destination_dataElementName;destination_dataElementId;destination_categorieComboName;destination_categorieComboId;destination_categorieComboOptionName;destination_categorieComboOptionId;destination_orgUnitName;destination_orgUnitId;destination_orgUnitGroupName;destination_orgUnitGroupId;destination_orgUnitOfProgramName;destination_orgUnitOfProgramId;destination_orgUnitOfDataSetName;destination_orgUnitOfDataSetId
QUOTIDIEN;Environ_Evenement 1_ Une (01) personne ou plus atteintes de fièvre et de toux sévère (absentéisme ou hospitalisation);ZuSr0BlGTtw;;;;;;;;;;;;;Formulaire de surveillance sanitaire faune;Kt2NmJ9Kxqe;;;Environ_Evenement 1_ Une (01) personne ou plus atteintes de fièvre et de toux sévère (absentéisme ou hospitalisation);ett71Ay39U2;;;;;;;;;;;;
QUOTIDIEN;Environ_Evenement 10_ Décès ou maladies inexpliqués de plusieurs personnes d’une même concession ou d’une même communauté suite à la consommation d’aliments;oDlSVrE3LIf;;;;;;;;;;;;;Formulaire de surveillance sanitaire faune;Kt2NmJ9Kxqe;;;Environ_Evenement 10_ Décès ou maladies inexpliqués de plusieurs personnes d’une même concession ou d’une même communauté suite à la consommation d’aliments;HmrEiSEpt2u;;;;;;;;;;;;
QUOTIDIEN;Environ_Evenement 11_ La mort de plusieurs animaux, oiseaux et poissons quelques heures après consommation d’herbe et d’eau très proche d’un lieu de jardinage congénitales;pEfVe5JNvPY;;;;;;;;;;;;;Formulaire de surveillance sanitaire faune;Kt2NmJ9Kxqe;;;Environ_Evenement 11_ La mort de plusieurs animaux, oiseaux et poissons quelques heures après consommation d’herbe et d’eau très proche d’un lieu de jardinage congénitales;cvBnXwyQCot;;;;;;;;;;;;
QUOTIDIEN;Environ_Evenement 12_ Tout évènement sanitaire créant une inquiétude ou une psychose dans la communauté;qQntl41ydds;;;;;;;;;;;;;Formulaire de surveillance sanitaire faune;Kt2NmJ9Kxqe;;;Environ_Evenement 12_ Tout évènement sanitaire créant une inquiétude ou une psychose dans la communauté;DgZTGWPiKa2;;;;;;;;;;;;
QUOTIDIEN;Environ_Evenement 2_ Le décès ou maladie d’une personne moins d’une semaine après son arrivée d’un voyage hors du pays ou à l’intérieur du pays;Arjv8OUtA6K;;;;;;;;;;;;;Formulaire de surveillance sanitaire faune;Kt2NmJ9Kxqe;;;Environ_Evenement 2_ Le décès ou maladie d’une personne moins d’une semaine après son arrivée d’un voyage hors du pays ou à l’intérieur du pays;uou7iawsiHU;;;;;;;;;;;;
QUOTIDIEN;Environ_Evenement 3_ Un (01) ou plusieurs décès survenus dans le village causés par une infection respiratoire chez les personnes qui ont des contacts avec des animaux ou pas;KoWkurRQ2rF;;;;;;;;;;;;;Formulaire de surveillance sanitaire faune;Kt2NmJ9Kxqe;;;Environ_Evenement 3_ Un (01) ou plusieurs décès survenus dans le village causés par une infection respiratoire chez les personnes qui ont des contacts avec des animaux ou pas;hkgFaDhIBYz;;;;;;;;;;;;
QUOTIDIEN;Environ_Evenement 4_ Toute condition médicale atypique du fait de sa fréquence et/ou de sa présentation clinique, y compris les malformations congénitales et les faiblesses musculaires chez des enfants;xQtCQYbLTLv;;;;;;;;;;;;;Formulaire de surveillance sanitaire faune;Kt2NmJ9Kxqe;;;Environ_Evenement 4_ Toute condition médicale atypique du fait de sa fréquence et/ou de sa présentation clinique, y compris les malformations congénitales et les faiblesses musculaires chez des enfants;SuMRHbPAMjl;;;;;;;;;;;;
QUOTIDIEN;Environ_Evenement 5_ Décès inexpliqué d’un agent de la santé, des ressources animales, de l’environnement, de l’agriculture, d’un ASBC/VVV/ Ecogardes / Pisteurs, d’un tradipraticien de santé/animateur endogène;MEPHgrd4M9L;;;;;;;;;;;;;Formulaire de surveillance sanitaire faune;Kt2NmJ9Kxqe;;;Environ_Evenement 5_ Décès inexpliqué d’un agent de la santé, des ressources animales, de l’environnement, de l’agriculture, d’un ASBC/VVV/ Ecogardes / Pisteurs, d’un tradipraticien de santé/animateur endogène;qC9jyCcY2xk;;;;;;;;;;;;
QUOTIDIEN;Environ_Evenement 6_ Deux (02) décès inexpliqués ou plus dans la même semaine, parmi un groupe de personnes;vdBxgWv45rw;;;;;;;;;;;;;Formulaire de surveillance sanitaire faune;Kt2NmJ9Kxqe;;;Environ_Evenement 6_ Deux (02) décès inexpliqués ou plus dans la même semaine, parmi un groupe de personnes;QQPbvx3gFCx;;;;;;;;;;;;
QUOTIDIEN;Environ_Evenement 7_ Deux (02) ou plusieurs personnes deviennent malades après avoir pris part aux funérailles, mariages, baptêmes ou tout autre regroupement;CTem3L1wKkc;;;;;;;;;;;;;Formulaire de surveillance sanitaire faune;Kt2NmJ9Kxqe;;;Environ_Evenement 7_ Deux (02) ou plusieurs personnes deviennent malades après avoir pris part aux funérailles, mariages, baptêmes ou tout autre regroupement;sXjjaXJl22Z;;;;;;;;;;;;
